"id","title","firstName","lastName","name","stateAbbreviation","partyShort","leadershipRole"
"A000014","Representative","Neil","Abercrombie","Neil Abercrombie","HI","D",""
"A000022","Representative","Gary","Ackerman","Gary Ackerman","NY","D",""
"A000055","Representative","Robert","Aderholt","Robert Aderholt","AL","R",""
"A000210","Representative","Robert","Andrews","Robert Andrews","NJ","D",""
"A000358","Representative","Todd","Akin","Todd Akin","MO","R",""
"A000361","Representative","Rodney","Alexander","Rodney Alexander","LA","R",""
"A000362","Representative","Jason","Altmire","Jason Altmire","PA","D",""
"A000363","Representative","Michael","Arcuri","Michael Arcuri","NY","D",""
"A000364","Representative","John","Adler","John Adler","NJ","D",""
"A000365","Representative","Steve","Austria","Steve Austria","OH","R",""
"B000013","Representative","Spencer","Bachus","Spencer Bachus","AL","R",""
"B000208","Representative","Roscoe","Bartlett","Roscoe Bartlett","MD","R",""
"B000213","Representative","Joe","Barton","Joe Barton","TX","R",""
"B000287","Representative","Xavier","Becerra","Xavier Becerra","CA","D",""
"B000410","Representative","Howard","Berman","Howard Berman","CA","D",""
"B000420","Representative","Marion","Berry","Marion Berry","AR","D",""
"B000461","Representative","Brian","Bilbray","Brian Bilbray","CA","R",""
"B000490","Representative","Sanford","Bishop","Sanford Bishop","GA","D",""
"B000574","Representative","Earl","Blumenauer","Earl Blumenauer","OR","D",""
"B000575","Representative","Roy","Blunt","Roy Blunt","MO","R",""
"B000589","Representative","John","Boehner","John Boehner","OH","R",""
"B000652","Representative","Leonard","Boswell","Leonard Boswell","IA","D",""
"B000657","Representative","Rick","Boucher","Rick Boucher","VA","D",""
"B000716","Representative","Allen","Boyd","Allen Boyd","FL","D",""
"B000755","Representative","Kevin","Brady","Kevin Brady","TX","R",""
"B000911","Representative","Corrine","Brown","Corrine Brown","FL","D",""
"B001149","Representative","Dan","Burton","Dan Burton","IN","R",""
"B001203","Representative","Steve","Buyer","Steve Buyer","IN","R",""
"B001227","Representative","Robert","Brady","Robert Brady","PA","D",""
"B001228","Representative","Mary","Bono Mack","Mary Bono Mack","CA","R",""
"B001229","Representative","Brian","Baird","Brian Baird","WA","D",""
"B001230","Representative","Tammy","Baldwin","Tammy Baldwin","WI","D",""
"B001231","Representative","Shelley","Berkley","Shelley Berkley","NV","D",""
"B001232","Representative","Judy","Biggert","Judy Biggert","IL","R",""
"B001234","Representative","Joe","Baca","Joe Baca","CA","D",""
"B001235","Representative","Henry","Brown","Henry Brown","SC","R",""
"B001236","Representative","John","Boozman","John Boozman","AR","R",""
"B001239","Representative","J.","Barrett","J. Barrett","SC","R",""
"B001242","Representative","Timothy","Bishop","Timothy Bishop","NY","D",""
"B001243","Representative","Marsha","Blackburn","Marsha Blackburn","TN","R",""
"B001244","Representative","Jo","Bonner","Jo Bonner","AL","R",""
"B001245","Delegate","Madeleine","Bordallo","Madeleine Bordallo","GU","D",""
"B001247","Representative","Ginny","Brown-Waite","Ginny Brown-Waite","FL","R",""
"B001248","Representative","Michael","Burgess","Michael Burgess","TX","R",""
"B001250","Representative","Rob","Bishop","Rob Bishop","UT","R",""
"B001251","Representative","G.","Butterfield","G. Butterfield","NC","D",""
"B001252","Representative","John","Barrow","John Barrow","GA","D",""
"B001253","Representative","Melissa","Bean","Melissa Bean","IL","D",""
"B001254","Representative","Dan","Boren","Dan Boren","OK","D",""
"B001255","Representative","Charles","Boustany","Charles Boustany","LA","R",""
"B001256","Representative","Michele","Bachmann","Michele Bachmann","MN","R",""
"B001257","Representative","Gus","Bilirakis","Gus Bilirakis","FL","R",""
"B001259","Representative","Bruce","Braley","Bruce Braley","IA","D",""
"B001260","Representative","Vern","Buchanan","Vern Buchanan","FL","R",""
"B001262","Representative","Paul","Broun","Paul Broun","GA","R",""
"B001263","Representative","John","Boccieri","John Boccieri","OH","D",""
"B001264","Representative","Bobby","Bright","Bobby Bright","AL","D",""
"C000059","Representative","Ken","Calvert","Ken Calvert","CA","R",""
