"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap","priceChangedFiveDayPercent","priceChangedOneMonthPercent","priceChangedThreeMonthsPercent"
"A32","UPCOM","32 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Footwear","2018-10-23",6800000,197880000000,"N/A","N/A","N/A"
"AAA","HOSE","An Phat Bioplastics Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2016-11-25",382274496,4663748851200,0.82,-2.05,-0.41
"AAM","HOSE","Mekong Fisheries Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2009-09-24",12346411,127504420400,1.23,4.1,-2.87
"AAS","UPCOM","SmartInvest Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2020-07-23",80000000,1590720000000,0.51,-11.62,-26.26
"AAT","HOSE","Tien Son Thanh Hoa Group Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2021-03-24",63801489,778378165800,6.15,0.41,-9.43
"AAV","HNX","AAV Group joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-06-25",66656180,634686481200,3.26,2.28,-16.52
"ABB","UPCOM","An Binh Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-12-28",940947082,11071183366812,2.54,0,4.24
"ABC","UPCOM","VMG Media Joint Stock Company","Telecommunications","Telecommunications","Mobile Telecommunications","Mobile Telecommunications","2016-08-18",20393000,194633394000,"N/A","N/A","N/A"
"ABI","UPCOM","Agriculture Bank Insurance Joint Stock Corporation (ABIC)","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2009-07-16",43157815,1965959978535,1.08,-1.08,-7.31
"ABR","HOSE","Viet Brand Invest Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Support Services","2018-06-12",20000000,255000000000,"N/A","N/A","N/A"
"ABS","HOSE","BinhThuan Agriculture Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2020-03-18",80000000,1036000000000,6.56,1.54,-5.02
"ABT","HOSE","Bentre Aquaproduct Import And Export Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2006-12-25",14387207,486400714100,5.33,"N/A","N/A"
"ACB","HOSE","Asia Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2006-11-21",3377435094,83760390331200,0.6,-0.81,-2.02
"ACC","HOSE","ACC Binh Duong Investment and Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2011-06-30",104999993,1884749874350,-0.28,-7.52,11.14
"ACE","UPCOM","An Giang Centrifugal Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2009-11-10",3050781,116234756100,"N/A","N/A","N/A"
"ACG","UPCOM","An Cuong Wood - Working Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2021-08-04",135846122,8959912827642,2.26,0.45,-1.78
"ACL","HOSE","Cuu Long An Giang Fish Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2007-09-05",50159019,1005688330950,6.23,5.74,-42.14
"ACM","UPCOM","A Cuong Mineral Group Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2015-07-23",51000000,79611000000,"N/A","N/A","N/A"
"ACS","UPCOM","Architects & Construction Service Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-13",4000000,40000000000,"N/A","N/A","N/A"
"ACV","UPCOM","Airports Corporation of Vietnam","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2016-11-21",2177173236,195864584627792,2.87,2.54,6.08
"ADC","HNX","Art Design and Communication Joint Stock Company","Consumer Services","Media","Media","Publishing","2010-12-24",3977936,64840356800,"N/A","N/A","N/A"
"ADG","HOSE","Clever Group Corporation","Consumer Services","Media","Media","Media Agencies","2019-12-26",19889098,863186853200,6.91,5.53,-4.15
"ADP","UPCOM","A Dong Paint Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2010-02-02",23039850,562172340000,"N/A","N/A","N/A"
"ADS","HOSE","Damsan Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2016-06-29",38069450,730933440000,6.25,-1.04,-52.6
"AFX","UPCOM","An Giang Agriculture and Foods Import - Export Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Food Retailers & Wholesalers","2016-12-02",35000000,489335000000,3.57,-6.43,-4.29
"AG1","UPCOM","28.1 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-01-10",4863386,30799823538,"N/A","N/A","N/A"
"AGE","UPCOM","An Giang Urban Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2022-08-15",19893200,368024200000,"N/A","N/A","N/A"
"AGF","UPCOM","An Giang Fisheries Import and Export Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2002-05-02",28109743,88939226852,"N/A","N/A","N/A"
"AGG","HOSE","An Gia Real Estate Investment And Development Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2020-01-09",111713195,4122216895500,0.68,-0.54,-2.44
"AGM","HOSE","An Giang Import Export Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2012-12-14",18200000,545090000000,4.84,5.34,-0.17
"AGP","UPCOM","AGIMEXPHARM Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2015-10-06",17969247,377695602693,0,-3.81,"N/A"
"AGR","HOSE","AgriBank Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","2009-12-10",212000000,2787799381950,1.9,9.51,6.46
"AGX","UPCOM","Sai Gon Export Foodstuffs and Agricultural Products Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Food Retailers & Wholesalers","2015-09-14",10800000,393120000000,"N/A","N/A","N/A"
"AIC","UPCOM","Vietnam National Aviation Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2021-01-08",100000000,1107600000000,1.82,3.64,"N/A"
"ALT","HNX","Alta Company","Consumer Services","Media","Media","Publishing","2006-11-22",6172523,124486585300,"N/A","N/A","N/A"
"ALV","UPCOM","ALVICO Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-09-17",5657936,32499184384,1.72,-22.41,-27.59
"AMC","HNX","Asia Mineral Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2012-02-15",2850000,66975000000,"N/A","N/A","N/A"
"AMD","HOSE","FLC Stone Mining and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2014-08-11",163504874,433287916100,-8.3,-15.09,-30.19
"AME","HNX","Alphanam E&amp;C Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2010-06-02",65200000,736760000000,5.31,2.65,3.54
"AMP","UPCOM","Armephaco Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-01-12",13000000,123500000000,"N/A","N/A","N/A"
"AMS","UPCOM","AMECC Mechanical Construction Joint Stock Company ","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","2017-02-06",36629865,318753085230,-1.14,2.27,-12.5
"AMV","HNX","American Vietnamese Biotech Incorporation","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","2009-12-20",131105650,1075066330000,1.22,2.44,-20.73
"ANT","UPCOM","An Giang Fruit-Vegetables &amp; Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2016-12-22",8000000,98576000000,-1.6,1.6,"N/A"
"ANV","HOSE","Nam Viet Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2007-12-07",127539625,6648787862500,0.57,13.96,-8.22
"APC","HOSE","An Phu Irradiation Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Biotechnology","2010-02-05",20121395,364261957500,-1.64,0.82,"N/A"
"APF","UPCOM","Quang Ngai Agricultural Products And Foodstuff Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-06-08",20007784,1465754311800,-0.45,0,9.91
"APG","HOSE","APG Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2016-11-30",146306612,1215807945720,-0.6,16.97,-9.27
"APH","HOSE","An Phat Holdings Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2020-07-28",243884268,3316826044800,2.57,0.74,-6.62
"API","HNX","Asia - Pacific Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-09-13",38220000,2216760000000,28.97,35.52,21.9
"APL","UPCOM","VVMI - Mechanical And Pressure Equipment Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2016-10-14",1200000,29760000000,"N/A","N/A","N/A"
"APP","UPCOM","Additives and Petroleum Products Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2010-10-05",4724632,34017350400,"N/A","N/A","N/A"
"APS","HNX","Asia - Pacific Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2010-04-19",83000000,1485700000000,-0.56,16.2,-9.5
"APT","UPCOM","Saigon Aquatic Product Trading Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2019-06-07",8800000,29920000000,"N/A","N/A","N/A"
"ARM","HNX","General Aviation Import Export Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","2010-10-26",3111283,123517935100,"N/A","N/A","N/A"
"ART","HNX","BOS Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2017-08-02",96922509,455535792300,-8.51,-4.26,-12.77
"ASA","UPCOM","ASA Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2012-03-12",10000000,126000000000,"N/A","N/A","N/A"
"ASG","HOSE","ASG Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2020-09-24",75653891,2088047391600,-1.45,-3.26,-7.61
"ASM","HOSE","Sao Mai Group Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2010-01-18",336526752,5266643668800,3.19,0,-17.57
"ASP","HOSE","An Pha Petrol Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2008-02-15",37339929,302450290200,9.26,13.83,-11.11
"AST","HOSE","Taseco Air Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2018-01-04",45000000,2700000000000,0.67,-2.5,7.67
"ATA","UPCOM","NTACO Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2009-09-08",11999998,29651995058,"N/A","N/A","N/A"
"ATB","UPCOM","An Thinh Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-08-25",13884000,19104384000,"N/A","N/A","N/A"
"ATG","UPCOM","An Truong An Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2016-08-22",15220000,68672640000,"N/A","N/A","N/A"
"ATS","HNX","Atesco Pharmaceutical Group Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Restaurants & Bars","2016-03-29",3500000,54250000000,"N/A","N/A","N/A"
"AUM","UPCOM","Vinacafe Son Thanh Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2016-09-26",1000000,10500000000,"N/A","N/A","N/A"
"AVC","UPCOM","A Vuong Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2018-01-08",75052052,2957050848800,"N/A","N/A","N/A"
"AVF","UPCOM","Anvifish Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2010-11-23",43338000,47715138000,"N/A","N/A","N/A"
"B82","UPCOM","Joint Stock - Company No 482","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2008-03-17",5000000,6665000000,"N/A","N/A","N/A"
"BAB","HNX","Bac A Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2017-12-28",753135500,13827567780000,-0.59,0.59,-2.94
"BAF","HOSE","BAF Vietnam Agriculture Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2021-12-03",143520000,4334304000000,1.32,-7.12,-5.79
"BAL","UPCOM","Beer - Alcohol - Beverage Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2018-01-12",2000000,18000000000,"N/A","N/A","N/A"
"BAX","HNX","Thong Nhat Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-03-24",8200000,639600000000,"N/A","N/A","N/A"
"BBC","HOSE","Bibica Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2001-12-19",18752687,1218924655000,-0.15,"N/A","N/A"
"BBH","UPCOM","Hoang Thach Joint Stock Bagging Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2020-05-14",2047932,30923773200,"N/A","N/A","N/A"
"BBM","UPCOM","Ha Noi - Nam Dinh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-01-05",2000000,22200000000,"N/A","N/A","N/A"
"BBS","HNX","VICEM Packing But Son Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2005-12-28",6000000,69000000000,"N/A","N/A","N/A"
"BBT","UPCOM","Bach Tuyet Cotton Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2018-06-12",9800000,122500000000,"N/A","N/A","N/A"
"BCA","UPCOM","B.C.H Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2021-09-08",19000000,146110000000,3.85,7.69,-29.49
"BCB","UPCOM","397 Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","2018-10-29",5000000,2000000000,"N/A","N/A","N/A"
"BCC","HNX","Bim Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-11-24",123209812,1909752086000,3.74,1.29,-4.39
"BCE","HOSE","Binh Duong Construction And Civil Engineering Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-06-28",35000000,343350000000,1.33,5.81,-10.6
"BCF","HNX","Bich Chi Food Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2020-03-16",27830412,1010243955600,-0.83,"N/A","N/A"
"BCG","HOSE","Bamboo Capital Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","2015-07-16",503305437,8349837186400,3.8,7.03,-16.96
"BCM","HOSE","Investment and Industrial Development Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-02-21",1035000000,93667500000000,5.41,16.69,23.43
"BCP","UPCOM","Enlie Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2015-09-14",6000000,60000000000,"N/A","N/A","N/A"
"BCV","UPCOM","Vimico - Cao Bang Bang Giang Travel And Trading Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2021-03-16",1800000,38700000000,"N/A","N/A","N/A"
"BDB","HNX","Binh Dinh Book and Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2010-01-29",1126474,12053271800,"N/A","N/A","N/A"
"BDG","UPCOM","Protrade Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2016-04-06",12000000,551220000000,2.15,"N/A","N/A"
"BDT","UPCOM","DongThap Building Materials & Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-09-06",38600000,1686618980000,"N/A","N/A","N/A"
"BDW","UPCOM","Binh Dinh Water Supply and Sewerage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2015-10-14",12410800,193608480000,"N/A","N/A","N/A"
"BED","HNX","Da Nang Books & Educational Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2009-10-21",3000000,119100000000,"N/A","N/A","N/A"
"BEL","UPCOM","Viettronics Bien Hoa Joint Stock Company","Consumer Goods","Personal & Household Goods","Leisure Goods","Consumer Electronics","2016-07-12",6000000,73200000000,"N/A","N/A","N/A"
"BFC","HOSE","Binh Dien Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2015-10-07",57167993,1477792619050,10.25,11.61,-21.08
"BGW","UPCOM","Bac Giang Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-10-31",18149446,317615305000,"N/A","N/A","N/A"
"BHA","UPCOM","Bac Ha Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-08-02",66000000,924000000000,-10.71,"N/A","N/A"
"BHC","UPCOM","Bien Hoa Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2009-05-15",4500000,10822500000,"N/A","N/A","N/A"
"BHG","UPCOM","Bien Ho Tea Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2018-10-30",8935643,120631180500,"N/A","N/A","N/A"
"BHK","UPCOM","Ha Noi - Kim Bai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2018-04-05",3986000,49825000000,"N/A","N/A","N/A"
"BHN","HOSE","Hanoi Beer Alcohol and Beverage Joint Stock Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","2016-10-28",231800000,12517200000000,-1.3,-0.74,"N/A"
"BHP","UPCOM","Ha Noi - Hai Phong Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2013-01-21",9179290,73902463790,"N/A","N/A","N/A"
"BHT","UPCOM","Bach Dang TMC Construction Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-01-11",4565000,59340000000,"N/A","N/A","N/A"
"BIC","HOSE","BIDV Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2011-09-06",117276895,3576945297500,1.64,8.2,9.84
"BID","HOSE","Joint Stock Commercial Bank for Investment and Development of Vietnam","Banks","Banks","Banks","Banks","2014-01-24",5058523816,199305838350400,2.41,1.02,13.2
"BIG","UPCOM","BIG Invest Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2022-01-10",5000000,75385000000,1.32,-7.24,-13.82
"BII","HNX","Louis Land Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2014-09-22",57680000,294168000000,-3.92,21.57,3.92
"BIO","UPCOM","Nha Trang Vaccines and Biological Products Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2018-08-30",8562000,234311100000,"N/A","N/A","N/A"
"BKC","HNX","Bac Kan Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2009-08-18",11737728,115029734400,-4.08,"N/A","N/A"
"BKG","HOSE","BKG Vietnam Investment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2020-12-31",62000000,404240000000,2.3,4.91,-5.83
"BKH","UPCOM","Hanoi Confectionery Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2019-06-26",1750000,52500000000,"N/A","N/A","N/A"
"BLF","HNX","Bac Lieu Fisheries Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2008-06-02",11500000,37949996700,"N/A","N/A","N/A"
"BLI","UPCOM","Bao Long Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2015-12-11",60000000,992991294700,3.64,"N/A","N/A"
"BLN","UPCOM","Lien Ninh Transport and Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-09-09",5000000,43740000000,"N/A","N/A","N/A"
"BLT","UPCOM","Binh Dinh Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-07-10",4000000,104000000000,"N/A","N/A","N/A"
"BLW","UPCOM","Bac Lieu Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-10-19",11168800,184285200000,"N/A","N/A","N/A"
"BMC","HOSE","Binh Dinh Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2006-12-28",12392630,213153236000,1.74,-1.16,5.23
"BMD","UPCOM","Binh Thuan Environmental Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-06-14",2753280,14867712000,"N/A","N/A","N/A"
