id,name
airlines,Airlines
aluminum,Aluminum
apparel-retailers,Apparel Retailers
automobiles,Automobiles
banks,Banks
biotechnology,Biotechnology
brewers,Brewers
broadcasting-&-entertainment,Broadcasting & Entertainment
broadline-retailers,Broadline Retailers
building-materials-&-fixtures,Building Materials & Fixtures
business-support-services,Business Support Services
business-training-&-employment-agencies,Business Training & Employment Agencies
clothing-&-accessories,Clothing & Accessories
coal,Coal
commercial-vehicles-&-trucks,Commercial Vehicles & Trucks
commodity-chemicals,Commodity Chemicals
computer-hardware,Computer Hardware
computer-services,Computer Services
consumer-electronics,Consumer Electronics
consumer-finance,Consumer Finance
containers-&-packaging,Containers & Packaging
conventional-electricity,Conventional Electricity
delivery-services,Delivery Services
distillers-&-vintners,Distillers & Vintners
diversified-industrials,Diversified Industrials
drug-retailers,Drug Retailers
durable-household-products,Durable Household Products
electrical-components-&-equipment,Electrical Components & Equipment
electronic-equipment,Electronic Equipment
electronic-office-equipment,Electronic Office Equipment
exploration-&-production,Exploration & Production
farming-&-fishing,Farming & Fishing
fixed-line-telecommunications,Fixed Line Telecommunications
food-products,Food Products
food-retailers-&-wholesalers,Food Retailers & Wholesalers
footwear,Footwear
forestry,Forestry
furnishings,Furnishings
gas-distribution,Gas Distribution
general-mining,General Mining
gold-mining,Gold Mining
health-care-providers,Health Care Providers
heavy-construction,Heavy Construction
hotels,Hotels
industrial-machinery,Industrial Machinery
industrial-suppliers,Industrial Suppliers
internet,Internet
investment-services,Investment Services
life-insurance,Life Insurance
marine-transportation,Marine Transportation
media-agencies,Media Agencies
medical-equipment,Medical Equipment
medical-supplies,Medical Supplies
mobile-telecommunications,Mobile Telecommunications
multiutilities,Multiutilities
nondurable-household-products,Nondurable Household Products
nonferrous-metals,Nonferrous Metals
oil-equipment-&-services,Oil Equipment & Services
paper,Paper
personal-products,Personal Products
pharmaceuticals,Pharmaceuticals
property-&-casualty-insurance,Property & Casualty Insurance
publishing,Publishing
railroads,Railroads
real-estate-holding-&-development,Real Estate Holding & Development
real-estate-services,Real Estate Services
recreational-services,Recreational Services
reinsurance,Reinsurance
soft-drinks,Soft Drinks
software,Software
specialized-consumer-services,Specialized Consumer Services
specialty-chemicals,Specialty Chemicals
specialty-finance,Specialty Finance
specialty-retailers,Specialty Retailers
steel,Steel
telecommunications-equipment,Telecommunications Equipment
tires,Tires
tobacco,Tobacco
toys,Toys
transportation-services,Transportation Services
travel-&-tourism,Travel & Tourism
trucking,Trucking
waste-&-disposal-services,Waste & Disposal Services
water,Water
