industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Consumer Goods,6800000.0,6800000.0,23/10/2018 00:00:00,205360000000.0,32 Joint Stock Company,Personal Goods,Footwear,Personal & Household Goods,A32
Basic Materials,382274496.0,382274496.0,25/11/2016 00:00:00,2733262646400.0,An Phat Bioplastics Joint Stock Company,Chemicals,Commodity Chemicals,Chemicals,AAA
Consumer Goods,12346411.0,12346411.0,24/09/2009 00:00:00,126981861300.0,Mekong Fisheries Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,AAM
Financials,80000000.0,80000000.0,23/07/2020 00:00:00,775520000000.0,SmartInvest Securities Joint Stock Company,Financial Services,Investment Services,Financial Services,AAS
Consumer Goods,63801489.0,63801489.0,24/03/2021 00:00:00,326025608790.0,Tien Son Thanh Hoa Group Joint Stock Company,Personal Goods,Clothing & Accessories,Personal & Household Goods,AAT
Financials,68987661.0,68987661.0,25/06/2018 00:00:00,310444474500.0,AAV Group joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AAV
Banks,940947082.0,940947082.0,28/12/2020 00:00:00,7612261893380.0,An Binh Commercial Joint Stock Bank,Banks,Banks,Banks,ABB
Telecommunications,20393000.0,20393000.0,18/08/2016 00:00:00,113933732000.0,VMG Media Joint Stock Company,Mobile Telecommunications,Mobile Telecommunications,Telecommunications,ABC
Financials,51557417.0,51557417.0,16/07/2009 00:00:00,1755152732025.0,Agriculture Bank Insurance Joint Stock Corporation (ABIC),Nonlife Insurance,Property & Casualty Insurance,Insurance,ABI
Industrials,20000000.0,20000000.0,12/06/2018 00:00:00,186600000000.0,Viet Brand Invest Joint Stock Company,Support Services,Business Support Services,Industrial Goods & Services,ABR
Consumer Services,80000000.0,80000000.0,18/03/2020 00:00:00,448800000000.0,BinhThuan Agriculture Services Joint Stock Company,General Retailers,Specialty Retailers,Retail,ABS
Consumer Goods,14387207.0,14387207.0,25/12/2006 00:00:00,408670817900.0,Bentre Aquaproduct Import And Export Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,ABT
Banks,3377435094.0,3377435094.0,21/11/2006 00:00:00,77343263652600.0,Asia Commercial Joint Stock Bank,Banks,Banks,Banks,ACB
Industrials,104999993.0,104999993.0,30/06/2011 00:00:00,1196999920200.0,ACC Binh Duong Investment and Construction Joint Stock Company,Construction & Materials,Building Materials & Fixtures,Construction & Materials,ACC
Industrials,3050781.0,3050781.0,10/11/2009 00:00:00,112878897000.0,An Giang Centrifugal Concrete Joint Stock Company,Construction & Materials,Building Materials & Fixtures,Construction & Materials,ACE
Basic Materials,135846122.0,135846122.0,04/08/2021 00:00:00,4754278270000.0,An Cuong Wood - Working Joint Stock Company,Forestry & Paper,Forestry,Basic Resources,ACG
Consumer Goods,50159019.0,50159019.0,05/09/2007 00:00:00,529177650450.0,Cuu Long An Giang Fish Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,ACL
Basic Materials,51000000.0,51000000.0,23/07/2015 00:00:00,40800000000.0,A Cuong Mineral Group Joint Stock Company,Mining,General Mining,Basic Resources,ACM
Industrials,4000000.0,4000000.0,13/07/2017 00:00:00,56800000000.0,Architects & Construction Service Corporation,Construction & Materials,Heavy Construction,Construction & Materials,ACS
Industrials,2177173236.0,2177173236.0,21/11/2016 00:00:00,184927585637328.0,Airports Corporation of Vietnam,Industrial Transportation,Transportation Services,Industrial Goods & Services,ACV
Consumer Services,3977936.0,3977936.0,24/12/2010 00:00:00,74785196800.0,Art Design and Communication Joint Stock Company,Media,Publishing,Media,ADC
Consumer Services,19889098.0,19889098.0,26/12/2019 00:00:00,555893546000.0,Clever Group Corporation,Media,Media Agencies,Media,ADG
Industrials,23039850.0,23039850.0,02/02/2010 00:00:00,357117675000.0,A Dong Paint Joint Stock Company,Construction & Materials,Building Materials & Fixtures,Construction & Materials,ADP
Consumer Goods,43779034.0,43779034.0,29/06/2016 00:00:00,446546146800.0,Damsan Joint Stock Company,Personal Goods,Clothing & Accessories,Personal & Household Goods,ADS
Consumer Services,35000000.0,35000000.0,02/12/2016 00:00:00,423115000000.0,An Giang Agriculture and Foods Import - Export Joint Stock Company,Food & Drug Retailers,Food Retailers & Wholesalers,Retail,AFX
Consumer Goods,4863386.0,4863386.0,10/01/2018 00:00:00,23344252800.0,28.1 Joint Stock Company,Personal Goods,Clothing & Accessories,Personal & Household Goods,AG1
Industrials,19893000.0,19893000.0,15/08/2022 00:00:00,258609000000.0,An Giang Urban Environment Joint Stock Company,Support Services,Waste & Disposal Services,Industrial Goods & Services,AGE
Consumer Goods,28109743.0,28109743.0,02/05/2002 00:00:00,61841434600.0,An Giang Fisheries Import and Export Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,AGF
Financials,111713195.0,111713195.0,09/01/2020 00:00:00,3766062876800.0,An Gia Real Estate Investment And Development Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AGG
Consumer Goods,18200000.0,18200000.0,14/12/2012 00:00:00,174538000000.0,An Giang Import Export Company,Food Producers,Food Products,Food & Beverage,AGM
Health Care,17969247.0,17969247.0,06/10/2015 00:00:00,393831986499.0,AGIMEXPHARM Pharmaceutical Joint Stock Company,Pharmaceuticals & Biotechnology,Pharmaceuticals,Health Care,AGP
Financials,212000000.0,212000000.0,10/12/2009 00:00:00,1653599633400.0,AgriBank Securities Corporation,Financial Services,Investment Services,Financial Services,AGR
Consumer Services,10800000.0,10800000.0,14/09/2015 00:00:00,362091600000.0,Sai Gon Export Foodstuffs and Agricultural Products Joint Stock Company,Food & Drug Retailers,Food Retailers & Wholesalers,Retail,AGX
Financials,100000000.0,100000000.0,08/01/2021 00:00:00,820000000000.0,Vietnam National Aviation Insurance Corporation,Nonlife Insurance,Property & Casualty Insurance,Insurance,AIC
Consumer Services,6172523.0,6172523.0,22/11/2006 00:00:00,86050635000.0,Alta Company,Media,Publishing,Media,ALT
Industrials,5657936.0,5657936.0,17/09/2010 00:00:00,17160519888.0,ALVICO Construction Joint Stock Company,Construction & Materials,Heavy Construction,Construction & Materials,ALV
Basic Materials,2850000.0,2850000.0,15/02/2012 00:00:00,64125000000.0,Asia Mineral Joint Stock Company,Mining,General Mining,Basic Resources,AMC
Financials,163504874.0,163504874.0,11/08/2014 00:00:00,186395556360.0,FLC Stone Mining and Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AMD
Industrials,65200000.0,65200000.0,02/06/2010 00:00:00,710680000000.0,Alphanam E&C Joint Stock Company,Electronic & Electrical Equipment,Electronic Equipment,Industrial Goods & Services,AME
Health Care,13000000.0,13000000.0,12/01/2017 00:00:00,141700000000.0,Armephaco Joint Stock Company,Pharmaceuticals & Biotechnology,Pharmaceuticals,Health Care,AMP
Industrials,36629865.0,36629865.0,06/02/2017 00:00:00,209779236855.0,AMECC Mechanical Construction Joint Stock Company ,Support Services,Industrial Suppliers,Industrial Goods & Services,AMS
Health Care,131105650.0,131105650.0,20/12/2009 00:00:00,458869775000.0,American Vietnamese Biotech Incorporation,Health Care Equipment & Services,Medical Equipment,Health Care,AMV
Consumer Goods,8000000.0,8000000.0,22/12/2016 00:00:00,64000000000.0,An Giang Fruit-Vegetables &amp; Foodstuff Joint Stock Company,Food Producers,Food Products,Food & Beverage,ANT
Consumer Goods,127539625.0,127539625.0,07/12/2007 00:00:00,2860377187500.0,Nam Viet Corporation,Food Producers,Farming & Fishing,Food & Beverage,ANV
Health Care,20121395.0,20121395.0,05/02/2010 00:00:00,276679847500.0,An Phu Irradiation Joint Stock Company,Pharmaceuticals & Biotechnology,Biotechnology,Health Care,APC
Consumer Goods,22553997.0,22553997.0,08/06/2017 00:00:00,1422435482796.0,Quang Ngai Agricultural Products And Foodstuff Stock Company,Food Producers,Food Products,Food & Beverage,APF
Financials,146306612.0,146306612.0,30/11/2016 00:00:00,971475903680.0,APG Securities Joint Stock Company,Financial Services,Investment Services,Financial Services,APG
Industrials,243884268.0,243884268.0,28/07/2020 00:00:00,1787671684440.0,An Phat Holdings Joint Stock Company,General Industrials,Containers & Packaging,Industrial Goods & Services,APH
Financials,84083976.0,84083976.0,13/09/2010 00:00:00,781980976800.0,Asia - Pacific Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,API
Industrials,1200000.0,1200000.0,14/10/2016 00:00:00,29760000000.0,VVMI - Mechanical And Pressure Equipment Joint Stock Company,Industrial Engineering,Industrial Machinery,Industrial Goods & Services,APL
Basic Materials,4724632.0,4724632.0,05/10/2010 00:00:00,23150696800.0,Additives and Petroleum Products Joint Stock Company,Chemicals,Specialty Chemicals,Chemicals,APP
Financials,83000000.0,83000000.0,19/04/2010 00:00:00,722100000000.0,Asia - Pacific Securities Joint Stock Company,Financial Services,Investment Services,Financial Services,APS
Consumer Goods,8800000.0,8800000.0,07/06/2019 00:00:00,21120000000.0,Saigon Aquatic Product Trading Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,APT
Industrials,3111283.0,3111283.0,26/10/2010 00:00:00,155564150000.0,General Aviation Import Export Joint Stock Company,Support Services,Industrial Suppliers,Industrial Goods & Services,ARM
Financials,96922509.0,96922509.0,02/08/2017 00:00:00,125999261700.0,BOS Securities Joint Stock Company,Financial Services,Investment Services,Financial Services,ART
Consumer Goods,10000000.0,10000000.0,12/03/2012 00:00:00,126000000000.0,ASA Joint Stock Company,Personal Goods,Personal Products,Personal & Household Goods,ASA
Industrials,75653891.0,75653891.0,24/09/2020 00:00:00,1967001166000.0,ASG Corporation,Industrial Transportation,Transportation Services,Industrial Goods & Services,ASG
Consumer Goods,336526752.0,336526752.0,18/01/2010 00:00:00,2735962493760.0,Sao Mai Group Corporation,Food Producers,Farming & Fishing,Food & Beverage,ASM
Utilities,37339929.0,37339929.0,15/02/2008 00:00:00,193792222980.0,An Pha Petrol Joint Stock Company,"Gas, Water & Multi-utilities",Gas Distribution,Utilities,ASP
Consumer Services,45000000.0,45000000.0,04/01/2018 00:00:00,2430000000000.0,Taseco Air Services Joint Stock Company,General Retailers,Specialty Retailers,Retail,AST
Consumer Goods,11999998.0,11999998.0,08/09/2009 00:00:00,15971997338.0,NTACO Corporation,Food Producers,Farming & Fishing,Food & Beverage,ATA
Industrials,13884000.0,13884000.0,25/08/2017 00:00:00,13925652000.0,An Thinh Joint Stock Company,Construction & Materials,Heavy Construction,Construction & Materials,ATB
Basic Materials,15220000.0,15220000.0,22/08/2016 00:00:00,48430040000.0,An Truong An Joint Stock Company,Mining,General Mining,Basic Resources,ATG
,,,,,,,,,ATG
Consumer Goods,1000000.0,1000000.0,26/09/2016 00:00:00,10500000000.0,Vinacafe Son Thanh Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,AUM
Utilities,75052052.0,75052052.0,08/01/2018 00:00:00,2904514412400.0,A Vuong Hydropower Joint Stock Company,Electricity,Conventional Electricity,Utilities,AVC
Consumer Goods,43338000.0,43338000.0,23/11/2010 00:00:00,26176152000.0,Anvifish Joint Stock Company,Food Producers,Farming & Fishing,Food & Beverage,AVF
,,,,,,,,,AVF
Banks,813386340.0,813386340.0,28/12/2017 00:00:00,10818038322000.0,Bac A Commercial Joint Stock Bank,Banks,Banks,Banks,BAB
