"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap"
"A32","UPCOM","32 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Footwear","2018-10-23",6800000,217600000000
"AAA","HOSE","An Phat Bioplastics Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2016-11-25",326434496,4682862576000
"AAM","HOSE","Mekong Fisheries Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2009-09-24",12346411,124369065800
"AAS","UPCOM","SmartInvest Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2020-07-23",80000000,1684160000000
"AAT","HOSE","Tien Son Thanh Hoa Group Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2021-03-24",63801489,791138463600
"AAV","HNX","AAV Group joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-06-25",66656180,613236856000
"ABB","UPCOM","An Binh Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-12-28",940947082,10770080300572
"ABC","UPCOM","VMG Media Joint Stock Company","Telecommunications","Telecommunications","Mobile Telecommunications","Mobile Telecommunications","2016-08-18",20393000,167373301000
"ABI","UPCOM","Agriculture Bank Insurance Joint Stock Corporation (ABIC)","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2009-07-16",43157815,1968941951200
"ABR","HOSE","Viet Brand Invest Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Support Services","2018-06-12",20000000,228000000000
"ABS","HOSE","BinhThuan Agriculture Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2020-03-18",80000000,992000000000
"ABT","HOSE","Bentre Aquaproduct Import And Export Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2006-12-25",14387207,471090280000
"ACB","HOSE","Asia Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2006-11-21",3377435094,83084903312400
"ACC","HOSE","ACC Binh Duong Investment and Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2011-06-30",104999993,2021249865250
"ACE","UPCOM","An Giang Centrifugal Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2009-11-10",3050781,122031240000
"ACG","UPCOM","An Cuong Wood - Working Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2021-08-04",135846122,8927991244972
"ACL","HOSE","Cuu Long An Giang Fish Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2007-09-05",50159019,940481606250
"ACM","UPCOM","A Cuong Mineral Group Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2015-07-23",51000000,76755000000
"ACS","UPCOM","Architects & Construction Service Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-13",4000000,34000000000
"ACV","UPCOM","Airports Corporation of Vietnam","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2016-11-21",2177173236,187555164813580
"ADC","HNX","Art Design and Communication Joint Stock Company","Consumer Services","Media","Media","Publishing","2010-12-24",3977936,69216086400
"ADG","HOSE","Clever Group Corporation","Consumer Services","Media","Media","Media Agencies","2019-12-26",19889098,787608280800
"ADP","UPCOM","A Dong Paint Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2010-02-02",23039850,557564370000
"ADS","HOSE","Damsan Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2016-06-29",38069450,730933440000
"AFX","UPCOM","An Giang Agriculture and Foods Import - Export Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Food Retailers & Wholesalers","2016-12-02",35000000,523145000000
"AG1","UPCOM","28.1 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-01-10",4863386,29890370356
"AGF","UPCOM","An Giang Fisheries Import and Export Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2002-05-02",28109743,79775450634
"AGG","HOSE","An Gia Real Estate Investment And Development Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2020-01-09",111713195,4049603318750
"AGM","HOSE","An Giang Import Export Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2012-12-14",18200000,518700000000
"AGP","UPCOM","AGIMEXPHARM Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2015-10-06",17969247,370328211423
