"id","title","firstName","lastName","name","stateAbbreviation","partyShort","leadershipRole"
"A000017","Senator, 2nd Class","James","Abourezk","James Abourezk","SD","D",""
"A000127","Senator, 3rd Class","James","Allen","James Allen","AL","D",""
"A000139","Senator, 3rd Class","Maryon","Allen","Maryon Allen","AL","D",""
"A000202","Senator, 2nd Class","Wendell","Anderson","Wendell Anderson","MN","I",""
"B000063","Senator, 2nd Class","Howard","Baker","Howard Baker","TN","R",""
"B000200","Senator, 2nd Class","Dewey","Bartlett","Dewey Bartlett","OK","R",""
"B000243","Senator, 2nd Class","Max","Baucus","Max Baucus","MT","D",""
"B000254","Senator, 3rd Class","Birch","Bayh","Birch Bayh","IN","D",""
"B000351","Senator, 3rd Class","Henry","Bellmon","Henry Bellmon","OK","R",""
"B000401","Senator, 1st Class","Lloyd","Bentsen","Lloyd Bentsen","TX","D",""
"B000444","Senator, 2nd Class","Joseph","Biden","Joseph Biden","DE","D",""
"B000647","Senator, 2nd Class","Rudolph","Boschwitz","Rudolph Boschwitz","MN","R",""
"B000871","Senator, 2nd Class","Edward","Brooke","Edward Brooke","MA","R",""
"B001057","Senator, 3rd Class","Dale","Bumpers","Dale Bumpers","AR","D",""
"B001077","Senator, 1st Class","Quentin","Burdick","Quentin Burdick","ND","D",""
"B001209","Senator, 1st Class","Harry","Byrd","Harry Byrd","VA","I",""
"B001210","Senator, 1st Class","Robert","Byrd","Robert Byrd","WV","D",""
"C000120","Senator, 1st Class","Howard","Cannon","Howard Cannon","NV","D",""
"C000220","Senator, 2nd Class","Clifford","Case","Clifford Case","NJ","R",""
"C000269","Senator, 1st Class","John","Chafee","John Chafee","RI","R",""
"C000356","Senator, 1st Class","Lawton","Chiles","Lawton Chiles","FL","D",""
"C000388","Senator, 3rd Class","Frank","Church","Frank Church","ID","D",""
"C000448","Senator, 2nd Class","Richard","Clark","Richard Clark","IA","D",""
"C000567","Senator, 2nd Class","Thad","Cochran","Thad Cochran","MS","R",""
"C000877","Senator, 3rd Class","Alan","Cranston","Alan Cranston","CA","D",""
"C000979","Senator, 3rd Class","John","Culver","John Culver","IA","D",""
"C001006","Senator, 2nd Class","Carl","Curtis","Carl Curtis","NE","R",""
"D000030","Senator, 1st Class","John","Danforth","John Danforth","MO","R",""
"D000185","Senator, 1st Class","Dennis","DeConcini","Dennis DeConcini","AZ","D",""
