plate,type,name
11,province,Cao Bằng
12,province,Lạng Sơn
13,province,Bắc Giang
14,province,Quảng Ninh
15,province,Hải Phòng
16,province,Hải Phòng
17,province,Thái Bình
18,province,Nam Định
19,province,Phú Thọ
20,province,Thái Nguyên
21,province,Yên Bái
22,province,Tuyên Quang
23,province,Hà Giang
24,province,Lào Cai
25,province,Lai Châu
26,province,Sơn La
27,province,Điện Biên
28,province,Hòa Bình
29,province,Hà Nội
30,province,Hà Nội
31,province,Hà Nội
32,province,Hà Nội
33,province,Hà Nội
34,province,Hải Dương
35,province,Ninh Bình
36,province,Thanh Hóa
37,province,Nghệ An
38,province,Hà Tĩnh
39,province,Đồng Nai
40,province,Hà Nội
41,province,Hồ Chí Minh
43,province,Đà Nẵng
47,province,Đắk Lắk
48,province,Đắk Nông
49,province,Lâm Đồng
50,province,Hồ Chí Minh
51,province,Hồ Chí Minh
52,province,Hồ Chí Minh
53,province,Hồ Chí Minh
54,province,Hồ Chí Minh
55,province,Hồ Chí Minh
56,province,Hồ Chí Minh
57,province,Hồ Chí Minh
58,province,Hồ Chí Minh
59,province,Hồ Chí Minh
60,province,Đồng Nai
61,province,Bình Dương
62,province,Long An
63,province,Tiền Giang
64,province,Vĩnh Long
65,province,Cần Thơ
66,province,Đồng Tháp
67,province,An Giang
68,province,Kiên Giang
69,province,Cà Mau
70,province,Tây Ninh
71,province,Bến Tre
72,province,Bà Rịa - Vũng Tàu
73,province,Quảng Bình
74,province,Quảng Trị
75,province,Thừa Thiên - Huế
76,province,Quảng Ngãi
77,province,Bình Định
78,province,Phú Yên
79,province,Khánh Hòa
80,Đặc Biệt,Chính Phủ
81,province,Gia Lai
82,province,Kon Tum
83,province,Sóc Trăng
84,province,Trà Vinh
85,province,Ninh Thuận
86,province,Bình Thuận
88,province,Vĩnh Phúc
89,province,Hưng Yên
90,province,Hà Nam
92,province,Quảng Nam
93,province,Bình Phước
94,province,Bạc Liêu
95,province,Hậu Giang
97,province,Bắc Kạn
98,province,Bắc Giang
99,province,Bắc Ninh
AA,Quân Đoàn,Quân đoàn 1 - Binh đoàn Quyết Thắng
AB,Quân Đoàn,Quân đoàn 2 - Binh đoàn Hương Giang
AC,Quân Đoàn,Quân đoàn 3 - Binh đoàn Tây Nguyên
AD,Quân Đoàn,Quân Đoàn 4 - Binh đoàn Cửu Long
AN,Quân Đoàn,Binh đoàn 15
AP,Quân Đoàn,Lữ đoàn M44
AT,Quân Đoàn,Binh đoàn 12 - Tổng công ty Trường Sơn
AV,Quân Đoàn,Binh đoàn 11 - Tổng Công Ty Xây Dựng Thành An
BBB,"Bộ Tư Lệnh, Binh Chủng",Bộ binh - Binh chủng Tăng thiết giáp
BC,"Bộ Tư Lệnh, Binh Chủng",Binh chủng Công binh
BH,"Bộ Tư Lệnh, Binh Chủng",Binh chủng Hóa học
BK,"Bộ Tư Lệnh, Binh Chủng",Binh chủng Đặc công
BL,"Bộ Tư Lệnh, Binh Chủng",Bộ tư lệnh bảo vệ lăng
