bourse_en,bourse_vi,created,data_index_id,foreign_ownership,fund_id,id,market_value,modified,per_nav,sector_en,sector_vi,shares,stock
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6564,0.00,2022-10-13 06:46:38,12.88,Retailing,Bán Lẻ,0,MWG
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6565,0.00,2022-10-13 06:46:38,4.09,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6566,0.00,2022-10-13 06:46:38,3.96,Materials,Vật Liệu,0,DPM
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6567,0.00,2022-10-13 06:46:38,3.65,Banks,Ngân Hàng,0,VCB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6568,0.00,2022-10-13 06:46:38,3.34,Banks,Ngân Hàng,0,BID
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6569,0.00,2022-10-13 06:46:38,2.97,Utilities,Tiện Ích Công Cộng,0,GAS
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6570,0.00,2022-10-13 06:46:38,2.91,Food Beverage & Tobacco,"Thực Phẩm, Nước Giải Khát & Thuốc Lá",0,VNM
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6571,0.00,2022-10-13 06:46:38,2.59,Food Beverage & Tobacco,"Thực Phẩm, Nước Giải Khát & Thuốc Lá",0,SAB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6572,0.00,2022-10-13 06:46:38,2.57,Capital Goods,Hàng Hóa Công Nghiệp,0,HDG
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5331,0.00,1,6573,0.00,2022-10-13 06:46:38,2.39,Retailing,Bán Lẻ,0,FRT
HOSE,HOSE,2022-08-31 00:00:00,5185,0.00,1,6434,0.00,2022-09-09 08:44:39,9.90,Retailing,Bán Lẻ,0,MWG
HOSE,HOSE,2022-08-31 00:00:00,5185,0.00,1,6435,0.00,2022-09-09 08:44:39,5.50,Banks,Ngân Hàng,0,MBB
HOSE,HOSE,2022-08-31 00:00:00,5185,0.00,1,6436,0.00,2022-09-09 08:44:39,5.50,Banks,Ngân Hàng,0,VCB
HOSE,HOSE,2022-08-31 00:00:00,5185,0.00,1,6437,0.00,2022-09-09 08:44:39,5.20,Banks,Ngân Hàng,0,TCB
HOSE,HOSE,2022-08-31 00:00:00,5185,0.00,1,6438,0.00,2022-09-09 08:44:39,5.00,Consumer Durables & Apparel,Dệt May & Thiết Bị Tiêu Dùng,0,PNJ
