congress,role,role_id,name,party,state,district
1,Speaker,speaker,,,,
2,Speaker,speaker,,,,
3,Speaker,speaker,,,,
4,Speaker,speaker,,,,
5,Speaker,speaker,,,,
6,Speaker,speaker,,,,
7,Speaker,speaker,,,,
8,Speaker,speaker,,,,
9,Speaker,speaker,,,,
10,Speaker,speaker,,,,
11,Speaker,speaker,,,,
12,Speaker,speaker,,,,
13,Speaker,speaker,,,,
14,Speaker,speaker,,,,
15,Speaker,speaker,,,,
16,Speaker,speaker,,,,
17,Speaker,speaker,,,,
18,Speaker,speaker,,,,
19,Speaker,speaker,,,,
20,Speaker,speaker,,,,
21,Speaker,speaker,,,,
22,Speaker,speaker,,,,
23,Speaker,speaker,,,,
24,Speaker,speaker,,,,
25,Speaker,speaker,,,,
26,Speaker,speaker,,,,
27,Speaker,speaker,,,,
28,Speaker,speaker,,,,
29,Speaker,speaker,,,,
30,Speaker,speaker,,,,
31,Speaker,speaker,,,,
32,Speaker,speaker,,,,
33,Speaker,speaker,,,,
34,Speaker,speaker,,,,
35,Speaker,speaker,,,,
36,Speaker,speaker,,,,
37,Speaker,speaker,,,,
38,Speaker,speaker,,,,
39,Speaker,speaker,,,,
40,Speaker,speaker,,,,
41,Speaker,speaker,,,,
42,Speaker,speaker,,,,
43,Speaker,speaker,,,,
44,Speaker,speaker,,,,
45,Speaker,speaker,,,,
46,Speaker,speaker,,,,
47,Speaker,speaker,,,,
48,Speaker,speaker,,,,
49,Speaker,speaker,,,,
50,Speaker,speaker,,,,
51,Speaker,speaker,,,,
52,Speaker,speaker,,,,
53,Speaker,speaker,,,,
54,Speaker,speaker,,,,
55,Speaker,speaker,,,,
56,Speaker,speaker,,,,
57,Speaker,speaker,,,,
58,Speaker,speaker,,,,
59,Speaker,speaker,,,,
60,Speaker,speaker,,,,
61,Speaker,speaker,,,,
62,Speaker,speaker,,,,
63,Speaker,speaker,,,,
64,Speaker,speaker,,,,
65,Speaker,speaker,,,,
66,Speaker,speaker,,,,
67,Speaker,speaker,,,,
68,Speaker,speaker,,,,
69,Speaker,speaker,,,,
70,Speaker,speaker,,,,
71,Speaker,speaker,,,,
72,Speaker,speaker,,,,
73,Speaker,speaker,,,,
74,Speaker,speaker,,,,
75,Speaker,speaker,,,,
76,Speaker,speaker,,,,
77,Speaker,speaker,,,,
78,Speaker,speaker,,,,
79,Speaker,speaker,,,,
80,Speaker,speaker,,,,
81,Speaker,speaker,,,,
82,Speaker,speaker,,,,
83,Speaker,speaker,,,,
84,Speaker,speaker,,,,
85,Speaker,speaker,,,,
86,Speaker,speaker,,,,
87,Speaker,speaker,,,,
88,Speaker,speaker,,,,
89,Speaker,speaker,,,,
90,Speaker,speaker,,,,
91,Speaker,speaker,,,,
92,Speaker,speaker,,,,
93,Speaker,speaker,,,,
94,Speaker,speaker,,,,
95,Speaker,speaker,,,,
96,Speaker,speaker,,,,
97,Speaker,speaker,,,,
98,Speaker,speaker,,,,
99,Speaker,speaker,,,,
100,Speaker,speaker,,,,
101,Speaker,speaker,,,,
102,Speaker,speaker,,,,
103,Speaker,speaker,,,,
104,Speaker,speaker,,,,
105,Speaker,speaker,,,,
106,Speaker,speaker,,,,
107,Speaker,speaker,,,,
108,Speaker,speaker,,,,
109,Speaker,speaker,,,,
110,Speaker,speaker,,,,
111,Speaker,speaker,,,,
112,Speaker,speaker,,,,
113,Speaker,speaker,,,,
114,Speaker,speaker,,,,
115,Speaker,speaker,,,,
116,Speaker,speaker,,,,
117,Speaker,speaker,,,,
118,Speaker,speaker,,,,
1,Majority Leader,majority_leader,,,,
2,Majority Leader,majority_leader,,,,
3,Majority Leader,majority_leader,,,,
4,Majority Leader,majority_leader,,,,
5,Majority Leader,majority_leader,,,,
6,Majority Leader,majority_leader,,,,
7,Majority Leader,majority_leader,,,,
8,Majority Leader,majority_leader,,,,
9,Majority Leader,majority_leader,,,,
10,Majority Leader,majority_leader,,,,
11,Majority Leader,majority_leader,,,,
12,Majority Leader,majority_leader,,,,
