"id","title","firstName","lastName","name","partyShort","stateAbbreviation","leadershipRole"
"A000014","Representative","Neil","Abercrombie","Neil Abercrombie","D","HI",""
"A000022","Representative","Gary","Ackerman","Gary Ackerman","D","NY",""
"A000055","Representative","Robert","Aderholt","Robert Aderholt","R","AL",""
"A000210","Representative","Robert","Andrews","Robert Andrews","D","NJ",""
"A000357","Representative","Thomas","Allen","Thomas Allen","D","ME",""
"A000358","Representative","Todd","Akin","Todd Akin","R","MO",""
"A000361","Representative","Rodney","Alexander","Rodney Alexander","R","LA",""
"A000362","Representative","Jason","Altmire","Jason Altmire","D","PA",""
"A000363","Representative","Michael","Arcuri","Michael Arcuri","D","NY",""
"B000013","Representative","Spencer","Bachus","Spencer Bachus","R","AL",""
"B000072","Representative","Richard","Baker","Richard Baker","R","LA",""
"B000208","Representative","Roscoe","Bartlett","Roscoe Bartlett","R","MD",""
"B000213","Representative","Joe","Barton","Joe Barton","R","TX",""
"B000287","Representative","Xavier","Becerra","Xavier Becerra","D","CA",""
"B000410","Representative","Howard","Berman","Howard Berman","D","CA",""
"B000420","Representative","Marion","Berry","Marion Berry","D","AR",""
"B000461","Representative","Brian","Bilbray","Brian Bilbray","R","CA",""
"B000490","Representative","Sanford","Bishop","Sanford Bishop","D","GA",""
"B000574","Representative","Earl","Blumenauer","Earl Blumenauer","D","OR",""
"B000575","Representative","Roy","Blunt","Roy Blunt","R","MO",""
"B000589","Representative","John","Boehner","John Boehner","R","OH",""
"B000652","Representative","Leonard","Boswell","Leonard Boswell","D","IA",""
"B000657","Representative","Rick","Boucher","Rick Boucher","D","VA",""
"B000716","Representative","Allen","Boyd","Allen Boyd","D","FL",""
"B000755","Representative","Kevin","Brady","Kevin Brady","R","TX",""
"B000911","Representative","Corrine","Brown","Corrine Brown","D","FL",""
"B001149","Representative","Dan","Burton","Dan Burton","R","IN",""
"B001203","Representative","Steve","Buyer","Steve Buyer","R","IN",""
"B001227","Representative","Robert","Brady","Robert Brady","D","PA",""
"B001228","Representative","Mary","Bono Mack","Mary Bono Mack","R","CA",""
"B001229","Representative","Brian","Baird","Brian Baird","D","WA",""
"B001230","Representative","Tammy","Baldwin","Tammy Baldwin","D","WI",""
"B001231","Representative","Shelley","Berkley","Shelley Berkley","D","NV",""
"B001232","Representative","Judy","Biggert","Judy Biggert","R","IL",""
"B001234","Representative","Joe","Baca","Joe Baca","D","CA",""
"B001235","Representative","Henry","Brown","Henry Brown","R","SC",""
"B001236","Representative","John","Boozman","John Boozman","R","AR",""
"B001239","Representative","J.","Barrett","J. Barrett","R","SC",""
"B001242","Representative","Timothy","Bishop","Timothy Bishop","D","NY",""
"B001243","Representative","Marsha","Blackburn","Marsha Blackburn","R","TN",""
"B001244","Representative","Jo","Bonner","Jo Bonner","R","AL",""
"B001245","Delegate","Madeleine","Bordallo","Madeleine Bordallo","D","GU",""
"B001247","Representative","Ginny","Brown-Waite","Ginny Brown-Waite","R","FL",""
"B001248","Representative","Michael","Burgess","Michael Burgess","R","TX",""
"B001250","Representative","Rob","Bishop","Rob Bishop","R","UT",""
"B001251","Representative","G.","Butterfield","G. Butterfield","D","NC",""
"B001252","Representative","John","Barrow","John Barrow","D","GA",""
"B001253","Representative","Melissa","Bean","Melissa Bean","D","IL",""
"B001254","Representative","Dan","Boren","Dan Boren","D","OK",""
"B001255","Representative","Charles","Boustany","Charles Boustany","R","LA",""
"B001256","Representative","Michele","Bachmann","Michele Bachmann","R","MN",""
"B001257","Representative","Gus","Bilirakis","Gus Bilirakis","R","FL",""
"B001258","Representative","Nancy","Boyda","Nancy Boyda","D","KS",""
"B001259","Representative","Bruce","Braley","Bruce Braley","D","IA",""
"B001260","Representative","Vern","Buchanan","Vern Buchanan","R","FL",""
"B001262","Representative","Paul","Broun","Paul Broun","R","GA",""
"C000059","Representative","Ken","Calvert","Ken Calvert","R","CA",""
"C000071","Representative","Dave","Camp","Dave Camp","R","MI",""
"C000116","Representative","Christopher","Cannon","Christopher Cannon","R","UT",""
"C000191","Representative","Julia","Carson","Julia Carson","D","IN",""
"C000243","Representative","Michael","Castle","Michael Castle","R","DE",""
"C000266","Representative","Steven","Chabot","Steven Chabot","R","OH",""
"C000380","Delegate","Donna","Christensen","Donna Christensen","D","VI",""
"C000537","Representative","James","Clyburn","James Clyburn","D","SC",""
"C000556","Representative","Howard","Coble","Howard Coble","R","NC",""
"C000714","Representative","John","Conyers","John Conyers","D","MI",""
"C000754","Representative","Jim","Cooper","Jim Cooper","D","TN",""
"C000794","Representative","Jerry","Costello","Jerry Costello","D","IL",""
"C000868","Representative","Robert","Cramer","Robert Cramer","D","AL",""
"C000962","Representative","Barbara","Cubin","Barbara Cubin","R","WY",""
"C000984","Representative","Elijah","Cummings","Elijah Cummings","D","MD",""
"C001036","Representative","Lois","Capps","Lois Capps","D","CA",""
"C001037","Representative","Michael","Capuano","Michael Capuano","D","MA",""
"C001038","Representative","Joseph","Crowley","Joseph Crowley","D","NY",""
"C001045","Representative","Ander","Crenshaw","Ander Crenshaw","R","FL",""
