"id","name","partyShort","stateAbbreviation","committeeId","committeeName","committeePosition","committeeSide","committeeRank"
"C000567","Thad Cochran","R","MS","C000567","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"S001197","Ben Sasse","R","NE","S001197","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"D000607","Joe Donnelly","D","IN","D000607","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"T000250","John Thune","R","SD","T000250","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"E000295","Joni Ernst","R","IA","E000295","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"T000476","Thom Tillis","R","NC","T000476","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"G000555","Kirsten E. Gillibrand","D","NY","G000555","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"G000386","Charles E. Grassley","R","IA","G000386","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"H001069","Heidi Heitkamp","D","ND","H001069","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"H001061","John Hoeven","R","ND","H001061","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"K000367","Amy Klobuchar","D","MN","K000367","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"L000174","Patrick J. Leahy","D","VT","L000174","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"M000355","Mitch McConnell","R","KY","M000355","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"B001267","Michael Bennet","D","CO","B001267","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"B001236","John Boozman","R","AR","B001236","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"P000612","David Perdue","R","GA","P000612","Committee on Agriculture, Nutrition, and Forestry","member","majority",
"B000944","Sherrod Brown","D","OH","B000944","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"C001070","Bob Casey","D","PA","C001070","Committee on Agriculture, Nutrition, and Forestry","member","minority",
"S000770","Debbie Stabenow","D","MI","S000770","Committee on Agriculture, Nutrition, and Forestry","member","minority",1
"R000307","Pat Roberts","R","KS","R000307","Committee on Agriculture, Nutrition, and Forestry","member","majority",1
"C001035","Susan Collins","R","ME","C001035","Committee on Appropriations","member","majority",
"C001088","Christopher A. Coons","D","DE","C001088","Committee on Appropriations","member","minority",
"S001194","Brian Schatz","D","HI","S001194","Committee on Appropriations","member","minority",
"S001181","Jeanne Shaheen","D","NH","S001181","Committee on Appropriations","member","minority",
"S000320","Richard C. Shelby","R","AL","S000320","Committee on Appropriations","member","majority",
"D000618","Steve Daines","R","MT","D000618","Committee on Appropriations","member","majority",
"D000563","Richard J. Durbin","D","IL","D000563","Committee on Appropriations","member","minority",
"T000464","Jon Tester","D","MT","T000464","Committee on Appropriations","member","minority",
"F000062","Dianne Feinstein","D","CA","F000062","Committee on Appropriations","member","minority",
"U000039","Tom Udall","D","NM","U000039","Committee on Appropriations","member","minority",
"G000359","Lindsey Graham","R","SC","G000359","Committee on Appropriations","member","majority",
"H001061","John Hoeven","R","ND","H001061","Committee on Appropriations","member","majority",
"K000360","Mark Steven Kirk","R","IL","K000360","Committee on Appropriations","member","majority",
"L000575","James Lankford","R","OK","L000575","Committee on Appropriations","member","majority",
"L000174","Patrick J. Leahy","D","VT","L000174","Committee on Appropriations","member","minority",
"A000360","Lamar Alexander","R","TN","A000360","Committee on Appropriations","member","majority",
"M000355","Mitch McConnell","R","KY","M000355","Committee on Appropriations","member","majority",
"B001230","Tammy Baldwin","D","WI","B001230","Committee on Appropriations","member","minority",
"M001176","Jeff Merkley","D","OR","M001176","Committee on Appropriations","member","minority",
"M000934","Jerry Moran","R","KS","M000934","Committee on Appropriations","member","majority",
"M001153","Lisa Murkowski","R","AK","M001153","Committee on Appropriations","member","majority",
"B000575","Roy Blunt","R","MO","B000575","Committee on Appropriations","member","majority",
"M001169","Christopher S. Murphy","D","CT","M001169","Committee on Appropriations","member","minority",
"M001111","Patty Murray","D","WA","M001111","Committee on Appropriations","member","minority",
"B001236","John Boozman","R","AR","B001236","Committee on Appropriations","member","majority",
"R000122","Jack Reed","D","RI","R000122","Committee on Appropriations","member","minority",
"C001047","Shelley Moore Capito","R","WV","C001047","Committee on Appropriations","member","majority",
"C001075","Bill Cassidy","R","LA","C001075","Committee on Appropriations","member","majority",
"M000702","Barbara A. Mikulski","D","MD","M000702","Committee on Appropriations","member","minority",1
"C000567","Thad Cochran","R","MS","C000567","Committee on Appropriations","member","majority",1
"C001095","Tom Cotton","R","AR","C001095","Committee on Armed Services","member","majority",
"S001141","Jeff Sessions","R","AL","S001141","Committee on Armed Services","member","majority",
"S001181","Jeanne Shaheen","D","NH","S001181","Committee on Armed Services","member","minority",
"C001098","Ted Cruz","R","TX","C001098","Committee on Armed Services","member","majority",
"D000607","Joe Donnelly","D","IN","D000607","Committee on Armed Services","member","minority",
"S001198","Dan Sullivan","R","AK","S001198","Committee on Armed Services","member","majority",
"E000295","Joni Ernst","R","IA","E000295","Committee on Armed Services","member","majority",
"T000476","Thom Tillis","R","NC","T000476","Committee on Armed Services","member","majority",
"F000463","Deb Fischer","R","NE","F000463","Committee on Armed Services","member","majority",
"G000555","Kirsten E. Gillibrand","D","NY","G000555","Committee on Armed Services","member","minority",
"G000359","Lindsey Graham","R","SC","G000359","Committee on Armed Services","member","majority",
"W000437","Roger Wicker","R","MS","W000437","Committee on Armed Services","member","majority",
"H001046","Martin Heinrich","D","NM","H001046","Committee on Armed Services","member","minority",
"H001042","Mazie K. Hirono","D","HI","H001042","Committee on Armed Services","member","minority",
"I000024","James M. Inhofe","R","OK","I000024","Committee on Armed Services","member","majority",
"K000384","Tim Kaine","D","VA","K000384","Committee on Armed Services","member","minority",
"K000383","Angus King","ID","ME","K000383","Committee on Armed Services","member","minority",
"L000577","Mike Lee","R","UT","L000577","Committee on Armed Services","member","majority",
"M001183","Joe Manchin III","D","WV","M001183","Committee on Armed Services","member","minority",
"M001170","Claire McCaskill","D","MO","M001170","Committee on Armed Services","member","minority",
"A000368","Kelly Ayotte","R","NH","A000368","Committee on Armed Services","member","majority",
"B001277","Richard Blumenthal","D","CT","B001277","Committee on Armed Services","member","minority",
"N000032","Bill Nelson","D","FL","N000032","Committee on Armed Services","member","minority",
"R000605","Mike Rounds","R","SD","R000605","Committee on Armed Services","member","majority",
"M000303","John McCain","R","AZ","M000303","Committee on Armed Services","member","majority",1
"R000122","Jack Reed","D","RI","R000122","Committee on Armed Services","member","minority",1
"S001197","Ben Sasse","R","NE","S001197","Committee on Banking, Housing, and Urban Affairs","member","majority",
"C001071","Bob Corker","R","TN","C001071","Committee on Banking, Housing, and Urban Affairs","member","majority",
"S000148","Charles E. Schumer","D","NY","S000148","Committee on Banking, Housing, and Urban Affairs","member","minority",
"S001184","Tim Scott","R","SC","S001184","Committee on Banking, Housing, and Urban Affairs","member","majority",
"C001095","Tom Cotton","R","AR","C001095","Committee on Banking, Housing, and Urban Affairs","member","majority",
"C000880","Michael D. Crapo","R","ID","C000880","Committee on Banking, Housing, and Urban Affairs","member","majority",
"D000607","Joe Donnelly","D","IN","D000607","Committee on Banking, Housing, and Urban Affairs","member","minority",
"T000464","Jon Tester","D","MT","T000464","Committee on Banking, Housing, and Urban Affairs","member","minority",
"T000461","Patrick J. Toomey","R","PA","T000461","Committee on Banking, Housing, and Urban Affairs","member","majority",
"V000127","David Vitter","R","LA","V000127","Committee on Banking, Housing, and Urban Affairs","member","majority",
"W000805","Mark Warner","D","VA","W000805","Committee on Banking, Housing, and Urban Affairs","member","minority",
"W000817","Elizabeth Warren","D","MA","W000817","Committee on Banking, Housing, and Urban Affairs","member","minority",
"H001069","Heidi Heitkamp","D","ND","H001069","Committee on Banking, Housing, and Urban Affairs","member","minority",
"H001041","Dean Heller","R","NV","H001041","Committee on Banking, Housing, and Urban Affairs","member","majority",
"K000360","Mark Steven Kirk","R","IL","K000360","Committee on Banking, Housing, and Urban Affairs","member","majority",
"M000639","Robert Menendez","D","NJ","M000639","Committee on Banking, Housing, and Urban Affairs","member","minority",
"M001176","Jeff Merkley","D","OR","M001176","Committee on Banking, Housing, and Urban Affairs","member","minority",
"M000934","Jerry Moran","R","KS","M000934","Committee on Banking, Housing, and Urban Affairs","member","majority",
"R000122","Jack Reed","D","RI","R000122","Committee on Banking, Housing, and Urban Affairs","member","minority",
"R000605","Mike Rounds","R","SD","R000605","Committee on Banking, Housing, and Urban Affairs","member","majority",
"S000320","Richard C. Shelby","R","AL","S000320","Committee on Banking, Housing, and Urban Affairs","member","majority",1
"B000944","Sherrod Brown","D","OH","B000944","Committee on Banking, Housing, and Urban Affairs","member","minority",1
"S001194","Brian Schatz","D","HI","S001194","Committee on Commerce, Science, and Transportation","member","minority",
"C001098","Ted Cruz","R","TX","C001098","Committee on Commerce, Science, and Transportation","member","majority",
"D000618","Steve Daines","R","MT","D000618","Committee on Commerce, Science, and Transportation","member","majority",
"S001198","Dan Sullivan","R","AK","S001198","Committee on Commerce, Science, and Transportation","member","majority",
"F000463","Deb Fischer","R","NE","F000463","Committee on Commerce, Science, and Transportation","member","majority",
"U000039","Tom Udall","D","NM","U000039","Committee on Commerce, Science, and Transportation","member","minority",
"G000562","Cory Gardner","R","CO","G000562","Committee on Commerce, Science, and Transportation","member","majority",
"W000437","Roger Wicker","R","MS","W000437","Committee on Commerce, Science, and Transportation","member","majority",
"H001041","Dean Heller","R","NV","H001041","Committee on Commerce, Science, and Transportation","member","majority",
"J000293","Ron Johnson","R","WI","J000293","Committee on Commerce, Science, and Transportation","member","majority",
"K000367","Amy Klobuchar","D","MN","K000367","Committee on Commerce, Science, and Transportation","member","minority",
"M001183","Joe Manchin III","D","WV","M001183","Committee on Commerce, Science, and Transportation","member","minority",
"M000133","Edward J. Markey","D","MA","M000133","Committee on Commerce, Science, and Transportation","member","minority",
"M001170","Claire McCaskill","D","MO","M001170","Committee on Commerce, Science, and Transportation","member","minority",
"A000368","Kelly Ayotte","R","NH","A000368","Committee on Commerce, Science, and Transportation","member","majority",
"B001277","Richard Blumenthal","D","CT","B001277","Committee on Commerce, Science, and Transportation","member","minority",
"M000934","Jerry Moran","R","KS","M000934","Committee on Commerce, Science, and Transportation","member","majority",
"B000575","Roy Blunt","R","MO","B000575","Committee on Commerce, Science, and Transportation","member","majority",
"B001288","Cory Booker","D","NJ","B001288","Committee on Commerce, Science, and Transportation","member","minority",
"P000595","Gary Peters","D","MI","P000595","Committee on Commerce, Science, and Transportation","member","minority",
"C000127","Maria Cantwell","D","WA","C000127","Committee on Commerce, Science, and Transportation","member","minority",
"R000595","Marco Rubio","R","FL","R000595","Committee on Commerce, Science, and Transportation","member","majority",
"T000250","John Thune","R","SD","T000250","Committee on Commerce, Science, and Transportation","member","majority",1
"N000032","Bill Nelson","D","FL","N000032","Committee on Commerce, Science, and Transportation","member","minority",1
"S000770","Debbie Stabenow","D","MI","S000770","Committee on Energy and Natural Resources","member","minority",
"D000618","Steve Daines","R","MT","D000618","Committee on Energy and Natural Resources","member","majority",
"F000444","Jeff Flake","R","AZ","F000444","Committee on Energy and Natural Resources","member","majority",
"F000457","Al Franken","D","MN","F000457","Committee on Energy and Natural Resources","member","minority",
"G000562","Cory Gardner","R","CO","G000562","Committee on Energy and Natural Resources","member","majority",
"W000817","Elizabeth Warren","D","MA","W000817","Committee on Energy and Natural Resources","member","minority",
"W000779","Ron Wyden","D","OR","W000779","Committee on Energy and Natural Resources","member","minority",
"H001046","Martin Heinrich","D","NM","H001046","Committee on Energy and Natural Resources","member","minority",
"H001042","Mazie K. Hirono","D","HI","H001042","Committee on Energy and Natural Resources","member","minority",
"H001061","John Hoeven","R","ND","H001061","Committee on Energy and Natural Resources","member","majority",
"K000383","Angus King","ID","ME","K000383","Committee on Energy and Natural Resources","member","minority",
"L000577","Mike Lee","R","UT","L000577","Committee on Energy and Natural Resources","member","majority",
"M001183","Joe Manchin III","D","WV","M001183","Committee on Energy and Natural Resources","member","minority",
"A000360","Lamar Alexander","R","TN","A000360","Committee on Energy and Natural Resources","member","majority",
"B001261","John Barrasso","R","WY","B001261","Committee on Energy and Natural Resources","member","majority",
"P000449","Rob Portman","R","OH","P000449","Committee on Energy and Natural Resources","member","majority",
"C001047","Shelley Moore Capito","R","WV","C001047","Committee on Energy and Natural Resources","member","majority",
"R000584","Jim Risch","R","ID","R000584","Committee on Energy and Natural Resources","member","majority",
"C001075","Bill Cassidy","R","LA","C001075","Committee on Energy and Natural Resources","member","majority",
"S000033","Bernard Sanders","ID","VT","S000033","Committee on Energy and Natural Resources","member","minority",
"M001153","Lisa Murkowski","R","AK","M001153","Committee on Energy and Natural Resources","member","majority",1
"C000127","Maria Cantwell","D","WA","C000127","Committee on Energy and Natural Resources","member","minority",1
"S001141","Jeff Sessions","R","AL","S001141","Committee on Environment and Public Works","member","majority",
"C000880","Michael D. Crapo","R","ID","C000880","Committee on Environment and Public Works","member","majority",
"S001198","Dan Sullivan","R","AK","S001198","Committee on Environment and Public Works","member","majority",
"F000463","Deb Fischer","R","NE","F000463","Committee on Environment and Public Works","member","majority",
"V000127","David Vitter","R","LA","V000127","Committee on Environment and Public Works","member","majority",
"G000555","Kirsten E. Gillibrand","D","NY","G000555","Committee on Environment and Public Works","member","minority",
"W000802","Sheldon Whitehouse","D","RI","W000802","Committee on Environment and Public Works","member","minority",
"W000437","Roger Wicker","R","MS","W000437","Committee on Environment and Public Works","member","majority",
"M000133","Edward J. Markey","D","MA","M000133","Committee on Environment and Public Works","member","minority",
"M001176","Jeff Merkley","D","OR","M001176","Committee on Environment and Public Works","member","minority",
"B001261","John Barrasso","R","WY","B001261","Committee on Environment and Public Works","member","majority",
"B001288","Cory Booker","D","NJ","B001288","Committee on Environment and Public Works","member","minority",
"B001236","John Boozman","R","AR","B001236","Committee on Environment and Public Works","member","majority",
"C001047","Shelley Moore Capito","R","WV","C001047","Committee on Environment and Public Works","member","majority",
"C000141","Benjamin L. Cardin","D","MD","C000141","Committee on Environment and Public Works","member","minority",
"C000174","Thomas R. Carper","D","DE","C000174","Committee on Environment and Public Works","member","minority",
"R000605","Mike Rounds","R","SD","R000605","Committee on Environment and Public Works","member","majority",
"S000033","Bernard Sanders","ID","VT","S000033","Committee on Environment and Public Works","member","minority",
"I000024","James M. Inhofe","R","OK","I000024","Committee on Environment and Public Works","member","majority",1
"B000711","Barbara Boxer","D","CA","B000711","Committee on Environment and Public Works","member","minority",1
"S000148","Charles E. Schumer","D","NY","S000148","Committee on Finance","member","minority",
"C001056","John Cornyn","R","TX","C001056","Committee on Finance","member","majority",
"S001184","Tim Scott","R","SC","S001184","Committee on Finance","member","majority",
"C000880","Michael D. Crapo","R","ID","C000880","Committee on Finance","member","majority",
"S000770","Debbie Stabenow","D","MI","S000770","Committee on Finance","member","minority",
"E000285","Michael B. Enzi","R","WY","E000285","Committee on Finance","member","majority",
"T000250","John Thune","R","SD","T000250","Committee on Finance","member","majority",
"T000461","Patrick J. Toomey","R","PA","T000461","Committee on Finance","member","majority",
"W000805","Mark Warner","D","VA","W000805","Committee on Finance","member","minority",
"G000386","Charles E. Grassley","R","IA","G000386","Committee on Finance","member","majority",
"H001041","Dean Heller","R","NV","H001041","Committee on Finance","member","majority",
"I000055","Johnny Isakson","R","GA","I000055","Committee on Finance","member","majority",
"M000639","Robert Menendez","D","NJ","M000639","Committee on Finance","member","minority",
"B001267","Michael Bennet","D","CO","B001267","Committee on Finance","member","minority",
"N000032","Bill Nelson","D","FL","N000032","Committee on Finance","member","minority",
"B000944","Sherrod Brown","D","OH","B000944","Committee on Finance","member","minority",
"B001135","Richard M. Burr","R","NC","B001135","Committee on Finance","member","majority",
"P000449","Rob Portman","R","OH","P000449","Committee on Finance","member","majority",
"C000127","Maria Cantwell","D","WA","C000127","Committee on Finance","member","minority",
"C000141","Benjamin L. Cardin","D","MD","C000141","Committee on Finance","member","minority",
"C000174","Thomas R. Carper","D","DE","C000174","Committee on Finance","member","minority",
"R000307","Pat Roberts","R","KS","R000307","Committee on Finance","member","majority",
"C001070","Bob Casey","D","PA","C001070","Committee on Finance","member","minority",
"C000542","Daniel Coats","R","IN","C000542","Committee on Finance","member","majority",
"H000338","Orrin G. Hatch","R","UT","H000338","Committee on Finance","member","majority",1
"W000779","Ron Wyden","D","OR","W000779","Committee on Finance","member","minority",1
"C001088","Christopher A. Coons","D","DE","C001088","Committee on Foreign Relations","member","minority",
"S001181","Jeanne Shaheen","D","NH","S001181","Committee on Foreign Relations","member","minority",
"F000444","Jeff Flake","R","AZ","F000444","Committee on Foreign Relations","member","majority",
"U000039","Tom Udall","D","NM","U000039","Committee on Foreign Relations","member","minority",
"G000562","Cory Gardner","R","CO","G000562","Committee on Foreign Relations","member","majority",
"I000055","Johnny Isakson","R","GA","I000055","Committee on Foreign Relations","member","majority",
"J000293","Ron Johnson","R","WI","J000293","Committee on Foreign Relations","member","majority",
"K000384","Tim Kaine","D","VA","K000384","Committee on Foreign Relations","member","minority",
"M000133","Edward J. Markey","D","MA","M000133","Committee on Foreign Relations","member","minority",
"M000639","Robert Menendez","D","NJ","M000639","Committee on Foreign Relations","member","minority",
"B001261","John Barrasso","R","WY","B001261","Committee on Foreign Relations","member","majority",
"M001169","Christopher S. Murphy","D","CT","M001169","Committee on Foreign Relations","member","minority",
"P000603","Rand Paul","R","KY","P000603","Committee on Foreign Relations","member","majority",
"B000711","Barbara Boxer","D","CA","B000711","Committee on Foreign Relations","member","minority",
"P000612","David Perdue","R","GA","P000612","Committee on Foreign Relations","member","majority",
"R000584","Jim Risch","R","ID","R000584","Committee on Foreign Relations","member","majority",
"R000595","Marco Rubio","R","FL","R000595","Committee on Foreign Relations","member","majority",
"C001071","Bob Corker","R","TN","C001071","Committee on Foreign Relations","member","majority",1
"C000141","Benjamin L. Cardin","D","MD","C000141","Committee on Foreign Relations","member","minority",1
"C001035","Susan Collins","R","ME","C001035","Committee on Health, Education, Labor, and Pensions","member","majority",
"S001184","Tim Scott","R","SC","S001184","Committee on Health, Education, Labor, and Pensions","member","majority",
"E000285","Michael B. Enzi","R","WY","E000285","Committee on Health, Education, Labor, and Pensions","member","majority",
"F000457","Al Franken","D","MN","F000457","Committee on Health, Education, Labor, and Pensions","member","minority",
"W000817","Elizabeth Warren","D","MA","W000817","Committee on Health, Education, Labor, and Pensions","member","minority",
"W000802","Sheldon Whitehouse","D","RI","W000802","Committee on Health, Education, Labor, and Pensions","member","minority",
"H000338","Orrin G. Hatch","R","UT","H000338","Committee on Health, Education, Labor, and Pensions","member","majority",
"I000055","Johnny Isakson","R","GA","I000055","Committee on Health, Education, Labor, and Pensions","member","majority",
"K000360","Mark Steven Kirk","R","IL","K000360","Committee on Health, Education, Labor, and Pensions","member","majority",
"B001230","Tammy Baldwin","D","WI","B001230","Committee on Health, Education, Labor, and Pensions","member","minority",
"M000702","Barbara A. Mikulski","D","MD","M000702","Committee on Health, Education, Labor, and Pensions","member","minority",
"B001267","Michael Bennet","D","CO","B001267","Committee on Health, Education, Labor, and Pensions","member","minority",
"M001153","Lisa Murkowski","R","AK","M001153","Committee on Health, Education, Labor, and Pensions","member","majority",
"M001169","Christopher S. Murphy","D","CT","M001169","Committee on Health, Education, Labor, and Pensions","member","minority",
"P000603","Rand Paul","R","KY","P000603","Committee on Health, Education, Labor, and Pensions","member","majority",
"B001135","Richard M. Burr","R","NC","B001135","Committee on Health, Education, Labor, and Pensions","member","majority",
"R000307","Pat Roberts","R","KS","R000307","Committee on Health, Education, Labor, and Pensions","member","majority",
"C001070","Bob Casey","D","PA","C001070","Committee on Health, Education, Labor, and Pensions","member","minority",
"C001075","Bill Cassidy","R","LA","C001075","Committee on Health, Education, Labor, and Pensions","member","majority",
"S000033","Bernard Sanders","ID","VT","S000033","Committee on Health, Education, Labor, and Pensions","member","minority",
"A000360","Lamar Alexander","R","TN","A000360","Committee on Health, Education, Labor, and Pensions","member","majority",1
"M001111","Patty Murray","D","WA","M001111","Committee on Health, Education, Labor, and Pensions","member","minority",1
"S001197","Ben Sasse","R","NE","S001197","Committee on Homeland Security and Governmental Affairs","member","majority",
"E000285","Michael B. Enzi","R","WY","E000285","Committee on Homeland Security and Governmental Affairs","member","majority",
"T000464","Jon Tester","D","MT","T000464","Committee on Homeland Security and Governmental Affairs","member","minority",
"E000295","Joni Ernst","R","IA","E000295","Committee on Homeland Security and Governmental Affairs","member","majority",
"H001069","Heidi Heitkamp","D","ND","H001069","Committee on Homeland Security and Governmental Affairs","member","minority",
"L000575","James Lankford","R","OK","L000575","Committee on Homeland Security and Governmental Affairs","member","majority",
"M000303","John McCain","R","AZ","M000303","Committee on Homeland Security and Governmental Affairs","member","majority",
"M001170","Claire McCaskill","D","MO","M001170","Committee on Homeland Security and Governmental Affairs","member","minority",
"A000368","Kelly Ayotte","R","NH","A000368","Committee on Homeland Security and Governmental Affairs","member","majority",
"B001230","Tammy Baldwin","D","WI","B001230","Committee on Homeland Security and Governmental Affairs","member","minority",
"B001288","Cory Booker","D","NJ","B001288","Committee on Homeland Security and Governmental Affairs","member","minority",
"P000603","Rand Paul","R","KY","P000603","Committee on Homeland Security and Governmental Affairs","member","majority",
"P000595","Gary Peters","D","MI","P000595","Committee on Homeland Security and Governmental Affairs","member","minority",
"P000449","Rob Portman","R","OH","P000449","Committee on Homeland Security and Governmental Affairs","member","majority",
"J000293","Ron Johnson","R","WI","J000293","Committee on Homeland Security and Governmental Affairs","member","majority",1
"C000174","Thomas R. Carper","D","DE","C000174","Committee on Homeland Security and Governmental Affairs","member","minority",1
"S001194","Brian Schatz","D","HI","S001194","Committee on Indian Affairs","member","minority",
"C000880","Michael D. Crapo","R","ID","C000880","Committee on Indian Affairs","member","majority",
"D000618","Steve Daines","R","MT","D000618","Committee on Indian Affairs","member","majority",
