"symbol","action","fullName","firstName","lastName","amount","asset","disclosureYear","disclosureDate","transactionDate","url"
"LHX","purchase","Hon. Abigail Spanberger","Abigail","Spanberger","$1,001 - $15,000","L3Harris Technolgies - Spouse granted RSU as part of compensation - will vest in Sept 2025","2022","2022-09-04","2022-09-01","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021643.pdf"
"LHX","purchase","Hon. Abigail Spanberger","Abigail","Spanberger","$1,001 - $15,000","L3Harris Special Stock Grant","2021","2021-06-03","2021-06-01","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018843.pdf"
"--","purchase","Hon. Abigail Spanberger","Abigail","Spanberger","$1,001 - $15,000","L3Harris Special Stock Grant","2020","2020-03-20","2020-02-28","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016276.pdf"
"ABBV","sale_full","Hon. Adam B. Schiff","Adam","Schiff","$15,001 - $50,000","AbbVie Inc","2021","2021-12-21","2021-12-13","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020070.pdf"
"ABBV","sale_partial","Hon. Adam B. Schiff","Adam","Schiff","$1,001 - $15,000","AbbVie Inc","2021","2021-07-30","2021-07-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019197.pdf"
"AAPL","sale_full","Hon. Adam B. Schiff","Adam","Schiff","$1,001 - $15,000","Apple Inc","2020","2020-07-09","2020-07-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217364.pdf"
"APPL","sale_full","Hon. Adam B. Schiff","Adam","Schiff","$15,001 - $50,000","Apple Inc","2020","2020-01-08","2020-01-02","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8216880.pdf"
"USFD","sale_partial","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","US Foods Holding Corp.","2020","2020-07-21","2020-06-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"USFD","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","US Foods Holding Corp.","2020","2020-07-21","2020-07-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"USFD","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","US Foods Holding Corp.","2020","2020-07-21","2020-06-04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"AAL","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-07-21","2020-06-25","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"AAL","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-07-21","2020-06-11","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"AAL","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-07-21","2020-06-09","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017001.pdf"
"AAL","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-06-10","2020-06-01","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016743.pdf"
"AAL","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-06-10","2020-05-26","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016743.pdf"
"USFD","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","US Foods Holding Corp.","2020","2020-06-10","2020-05-26","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016742.pdf"
"USFD","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","US Foods Holding Corp.","2020","2020-06-10","2020-05-04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016742.pdf"
"USFD","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Us Foods Holding Corp.","2020","2020-05-07","2020-04-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"USFD","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Us Foods Holding Corp.","2020","2020-05-07","2020-04-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"USFD","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Us Foods Holding Corp.","2020","2020-05-07","2020-04-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"USFD","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Us Foods Holding Corp.","2020","2020-05-07","2020-04-03","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"USO","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","United States Oil Fund","2020","2020-05-07","2020-04-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"USO","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","United States Oil Fund","2020","2020-05-07","2020-04-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-17","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-14","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-08","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"PS","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","Pluralsight, Inc. - Class A","2020","2020-05-07","2020-04-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"AAL","sale_full","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-05-07","2020-04-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"AAL","purchase","Hon. Adam Kinzinger","Adam","Kinzinger","$1,001 - $15,000","American Airlines Group, Inc.","2020","2020-05-07","2020-04-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016564.pdf"
"ZTS","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Zoetis Inc Class A","2022","2022-09-03","2022-08-26","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021641.pdf"
"CCK","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Crown Holdings Inc","2022","2022-09-03","2022-08-10","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021641.pdf"
"MDT","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Medtronic Plc Ordinary Shares","2022","2022-08-07","2022-07-29","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021498.pdf"
"MDT","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Medtronic plc Ordinary Shares","2022","2022-08-04","2022-07-28","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021483.pdf"
"ECL","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Ecolab Inc.","2022","2022-07-25","2022-07-20","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021431.pdf"
"ECL","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Ecolab Inc.","2022","2022-07-25","2022-07-19","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021431.pdf"
"UBER","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Uber Technologies Inc","2022","2022-07-06","2022-06-29","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021325.pdf"
"NEE","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","NextEra Energy Cap Hldgs - 4.20% interest","2022","2022-06-30","2022-06-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021299.pdf"
"NEE","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","NextEra Energy Cap Hldgs - 4.20% interest","2022","2022-06-30","2022-06-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021298.pdf"
"IFF","exchange","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-06-24","2021-02-04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021251.pdf"
"IFF","exchange","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","International Flavors & Fragrances Inc","2022","2022-06-24","2021-02-04","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021251.pdf"
"GM","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","General Motors Company","2022","2022-06-24","2021-08-23","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021251.pdf"
"EQIX","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Equinix Inc Not 5.375% Due 05/15/2027","2022","2022-06-24","2021-06-02","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021251.pdf"
"VRSK","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Verisk Analytics","2022","2022-06-19","2022-06-16","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021246.pdf"
"VRSK","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Verisk Analytics Inc","2022","2022-06-19","2022-06-17","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021246.pdf"
"IWN","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","iShares Russel 2000 Value ETF","2022","2022-06-19","2022-06-16","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021246.pdf"
"BA","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Boeing Company","2022","2022-06-19","2022-06-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021246.pdf"
"AMZN","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Amazon.com","2022","2022-06-19","2022-06-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021246.pdf"
"HCA","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","HCA Inc","2022","2022-06-19","2022-05-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021245.pdf"
"EXPE","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Expedia Inc","2022","2022-06-19","2022-06-13","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021245.pdf"
"ELAN","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Elanco Animal Health Incorporated","2022","2022-06-19","2022-04-13","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021244.pdf"
"SPGI","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","S&P Global Inc","2022","2022-06-19","2022-06-01","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021244.pdf"
"IWN","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","iShares Russel 2000 ETF Value ETF","2022","2022-06-19","2022-06-16","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021244.pdf"
"BA","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Boeing Company","2022","2022-06-19","2022-06-15","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021244.pdf"
"--","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","San Francisco Calif City","2022","2022-06-19","2022-05-18","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021240.pdf"
"HCA","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","HCA Inc","2022","2022-06-19","2022-05-07","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021240.pdf"
"EXPE","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Expedia Inc","2022","2022-06-19","2022-06-13","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021240.pdf"
"TMUS","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","T-Mobile US Inc","2022","2022-05-22","2022-05-17","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021093.pdf"
"JPM","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","JP Morgan Chase & Co","2022","2022-05-22","2022-05-17","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021093.pdf"
"ICE","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Intercontental Exchange Inc","2022","2022-05-21","2022-05-06","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021090.pdf"
"ICE","sale_partial","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Intercontental Exchange Inc","2022","2022-05-21","2022-05-05","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021090.pdf"
"STZ","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$15,001 - $50,000","Constellation Brands Inc","2022","2022-05-21","2022-05-02","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021090.pdf"
"--","sale_full","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Elanco Animal Health Inc","2022","2022-05-21","2022-04-13","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021089.pdf"
"--","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","San Francisco Calif City & City Bonds - 5% 06/15/2023","2022","2022-05-02","2022-04-27","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020920.pdf"
"BOA","purchase","Hon. Alan S. Lowenthal","Alan","Lowenthal","$1,001 - $15,000","Bank of America Corp Note - Maturity 4/27/2025","2022","2022-04-28","2022-04-21","https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020892.pdf"
