api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000370.json,False,,,N00035451,76386,1946-05-27,12,-0.465,CongresswomanAdams,,H4NC12100,Alma,F,3712,/m/02b45d,412607,21545,A000370,,True,Adams,2022-10-30 04:00:14 -0400,,,3,0.32,2022,ocd-division/country:us/state:nc/cd:12,2436 Rayburn House Office Building,D,202-225-1510,https://adams.house.gov/rss.xml,10,Rep.,NC,,Representative,0,925,RepAdams,https://adams.house.gov,0.87,99.02,5935,
https://api.propublica.org/congress/v1/members/A000055.json,False,,,N00003028,45516,1965-07-22,4,0.38,RobertAderholt,,H6AL04098,Robert,M,0104,/m/024p03,400004,29701,A000055,,True,Aderholt,2022-10-30 04:00:13 -0400,,B.,14,1.51,2022,ocd-division/country:us/state:al/cd:4,266 Cannon House Office Building,R,202-225-4876,https://aderholt.house.gov/rss.xml,26,Rep.,AL,,Representative,0,925,Robert_Aderholt,https://aderholt.house.gov,3.65,96.24,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000371.json,False,,,N00033997,79994,1979-06-19,31,-0.296,reppeteaguilar,,H2CA31125,Pete,M,0631,/m/0jwv0xf,412615,21506,A000371,,True,Aguilar,2022-10-30 04:00:14 -0400,House Democratic Caucus Vice Chair,,3,0.32,2022,ocd-division/country:us/state:ca/cd:31,109 Cannon House Office Building,D,202-225-3201,,8,Rep.,CA,,Representative,0,925,reppeteaguilar,https://aguilar.house.gov,1.09,98.8,70114,
https://api.propublica.org/congress/v1/members/A000372.json,False,,,N00033720,62545,1951-11-07,12,0.699,CongressmanRickAllen,,H2GA12121,Rick,M,1312,/m/0127y9dk,412625,21516,A000372,,True,Allen,2022-10-30 04:00:12 -0400,,,28,3.03,2022,ocd-division/country:us/state:ga/cd:12,570 Cannon House Office Building,R,202-225-2823,,8,Rep.,GA,,Representative,0,925,reprickallen,https://allen.house.gov,8.97,90.92,136062,
https://api.propublica.org/congress/v1/members/A000376.json,False,,,N00040989,,1983-04-15,32,,,,H8TX32098,Colin,M,4832,/m/03d066b,412828,,A000376,,True,Allred,2022-10-30 04:00:13 -0400,,,10,1.08,2022,ocd-division/country:us/state:tx/cd:32,114 Cannon House Office Building,D,202-225-2231,,4,Rep.,TX,,Representative,0,925,RepColinAllred,https://allred.house.gov,1.75,98.14,177357,
https://api.propublica.org/congress/v1/members/A000369.json,False,,,N00031177,62817,1958-06-12,2,0.381,MarkAmodeiNV2,,H2NV02395,Mark,M,3202,/m/03bzdkn,412500,21196,A000369,,True,Amodei,2022-10-30 04:00:13 -0400,,,9,0.97,2022,ocd-division/country:us/state:nv/cd:2,104 Cannon House Office Building,R,202-225-6155,,12,Rep.,NV,,Representative,0,925,MarkAmodeiNV2,https://amodei.house.gov,3.62,96.27,12537,markamodeinv2
https://api.propublica.org/congress/v1/members/A000377.json,True,,,N00042868,,1976-10-08,At-Large,,,,H8ND00096,Kelly,M,3800,/g/11hcszksh3,412794,,A000377,,True,Armstrong,2022-10-30 04:00:13 -0400,,,47,5.08,2022,ocd-division/country:us/state:nd/cd:1,1740 Longworth House Office Building,R,202-225-2611,,4,Rep.,ND,,Representative,1,925,RepArmstrongND,https://armstrong.house.gov,4.24,95.64,139338,
https://api.propublica.org/congress/v1/members/A000375.json,False,,,N00038285,1016482,1972-03-09,19,0.656,JodeyArrington,,H6TX19099,Jodey,M,4819,/m/0g9_f_1,412726,21700,A000375,,True,Arrington,2022-10-30 04:00:12 -0400,,,82,8.86,2022,ocd-division/country:us/state:tx/cd:19,1107 Longworth House Office Building,R,202-225-4005,,6,Rep.,TX,,Representative,0,925,RepArrington,https://arrington.house.gov,11.23,88.65,155685,
https://api.propublica.org/congress/v1/members/A000148.json,False,,,N00045506,,1988-01-29,4,,,,H0MA04192,Jake,M,2504,/g/11f0xw2_p4,456825,,A000148,,True,Auchincloss,2022-10-30 04:00:14 -0400,,,3,0.32,2022,ocd-division/country:us/state:ma/cd:4,1524 Longworth House Office Building,D,202-225-5931,,2,Rep.,MA,,Representative,0,925,RepAuchincloss,https://auchincloss.house.gov,0.76,99.13,,
https://api.propublica.org/congress/v1/members/A000378.json,False,,,N00041104,,1965-04-20,3,,,,H8IA03124,Cynthia,F,1903,/g/11fgktcgcb,412772,,A000378,,True,Axne,2022-10-30 04:00:13 -0400,,,1,0.11,2022,ocd-division/country:us/state:ia/cd:3,1034 Longworth House Office Building,D,202-225-5476,,4,Rep.,IA,,Representative,0,925,RepCindyAxne,https://axne.house.gov,2.39,97.51,179226,
https://api.propublica.org/congress/v1/members/B001291.json,False,,,N00005736,44883,1948-03-23,36,0.708,RepBrianBabin,,H6TX02079,Brian,M,4836,/m/010qgj35,412655,21551,B001291,,True,Babin,2022-10-30 04:00:12 -0400,,,14,1.51,2022,ocd-division/country:us/state:tx/cd:36,2236 Rayburn House Office Building,R,202-225-1555,,8,Rep.,TX,,Representative,0,925,RepBrianBabin,https://babin.house.gov,9.6,90.29,360,
https://api.propublica.org/congress/v1/members/B001298.json,False,,,N00037049,103442,1963-08-16,2,0.357,RepDonBacon,,H6NE02125,Don,M,3102,/m/01311t71,412713,21701,B001298,,True,Bacon,2022-10-30 04:00:12 -0400,,,1,0.11,2022,ocd-division/country:us/state:ne/cd:2,1024 Longworth House Office Building,R,202-225-4155,,6,Rep.,NE,,Representative,0,925,repdonbacon,https://bacon.house.gov,8.82,91.07,166299,
https://api.propublica.org/congress/v1/members/B001307.json,False,,,N00041954,,1945-06-04,4,,,,H8IN04199,James,M,1804,/g/11gfd5wndr,412777,,B001307,,True,Baird,2022-10-30 04:00:13 -0400,,,3,0.32,2022,ocd-division/country:us/state:in/cd:4,1314 Longworth House Office Building,R,202-225-5037,,4,Rep.,IN,,Representative,0,925,RepJimBaird,https://baird.house.gov,3.28,96.62,86013,
https://api.propublica.org/congress/v1/members/B001306.json,False,,,N00042194,,1962-01-16,12,,,,H8OH12180,Troy,M,3912,/m/09ry4tm,412747,,B001306,,True,Balderson,2022-10-30 04:00:13 -0400,,,10,1.08,2022,ocd-division/country:us/state:oh/cd:12,2429 Rayburn House Office Building,R,202-225-5355,,6,Rep.,OH,,Representative,0,925,RepBalderson,https://balderson.house.gov,2.53,97.36,102781,
https://api.propublica.org/congress/v1/members/B001299.json,False,,,N00037185,89806,1979-07-16,3,0.647,RepJimBanks,,H6IN03229,Jim,M,1803,/m/0j621nj,412702,21702,B001299,,True,Banks,2022-10-30 04:00:12 -0400,,,17,1.84,2022,ocd-division/country:us/state:in/cd:3,1713 Longworth House Office Building,R,202-225-4436,,6,Rep.,IN,,Representative,0,925,RepJimBanks,https://banks.house.gov,8.54,91.35,116801,
https://api.propublica.org/congress/v1/members/B001282.json,False,,,N00031233,61848,1973-07-24,6,0.476,RepAndyBarr,,H0KY06104,Andy,M,2106,/m/0ddc6r6,412541,21333,B001282,,True,Barr,2022-10-30 04:00:13 -0400,,,11,1.19,2022,ocd-division/country:us/state:ky/cd:6,2430 Rayburn House Office Building,R,202-225-4706,,10,Rep.,KY,,Representative,0,925,RepAndyBarr,https://barr.house.gov,2.75,97.14,117290,RepAndyBarr
https://api.propublica.org/congress/v1/members/B001300.json,False,,,N00037019,104730,1976-09-15,44,-0.515,CongresswomanBarragan,,H6CA44103,Nanette,F,0644,/g/11bx55ybbz,412687,21703,B001300,,True,Barragán,2022-10-30 04:00:14 -0400,,,11,1.19,2022,ocd-division/country:us/state:ca/cd:44,2246 Longworth House Office Building,D,202-225-8220,https://barragan.house.gov/feed/,6,Rep.,CA,,Representative,0,925,RepBarragan,https://barragan.house.gov,1.1,98.79,166270,
https://api.propublica.org/congress/v1/members/B001270.json,False,,,N00031877,62502,1953-10-03,37,-0.584,RepKarenBass,,H0CA33117,Karen,F,0637,/m/027g9m6,412404,21110,B001270,,True,Bass,2022-10-30 04:00:14 -0400,,,18,1.95,2022,ocd-division/country:us/state:ca/cd:37,2021 Rayburn House Office Building,D,202-225-7084,https://bass.house.gov/rss.xml,12,Rep.,CA,,Representative,0,925,RepKarenBass,https://bass.house.gov,0.88,99.01,28963,RepKarenBass
