symbol,name,lastsale,netchange,pctchange,marketCap,url
A,"Agilent Technologies, Inc. Common Stock",$155.865,0.885,0.571%,"45,980,175,000",/market-activity/stocks/a
AA,"Alcoa Corporation Common Stock ",$49.65,-0.48,-0.958%,"8,784,930,242",/market-activity/stocks/aa
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$10.02,UNCH,--,"1,252,500,000",/market-activity/stocks/aac
AACG,ATA Creativity Global American Depositary Shares,$1.72,-0.03,-1.714%,"53,968,302",/market-activity/stocks/aacg
AACI,Armada Acquisition Corp. I Common Stock,$9.99,UNCH,--,"206,887,905",/market-activity/stocks/aaci
AACIW,Armada Acquisition Corp. I Warrant,$0.0302,-0.0498,-62.25%,NA,/market-activity/stocks/aaciw
AADI,"Aadi Bioscience, Inc. Common Stock",$13.42,0.04,0.299%,"327,382,470",/market-activity/stocks/aadi
AAIC,Arlington Asset Investment Corp Class A (new),$3.0733,0.0333,1.095%,"87,179,311",/market-activity/stocks/aaic
AAIC^B,"Arlington Asset Investment Corp 7.00% ",$20.47,UNCH,--,NA,/market-activity/stocks/aaic^b
AAIC^C,"Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ",$21.8999,UNCH,--,NA,/market-activity/stocks/aaic^c
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.3999,0.0399,0.171%,NA,/market-activity/stocks/aain
AAL,American Airlines Group Inc. Common Stock,$14.2813,-0.1487,-1.03%,"9,281,429,538",/market-activity/stocks/aal
AAM^A,"Apollo Asset Management, Inc. 6.375% Series A Preferred Stock",$24.45,-0.11,-0.448%,NA,/market-activity/stocks/aam^a
AAM^B,"Apollo Asset Management, Inc. 6.375% Series B Preferred Stock",$24.90,-0.18,-0.718%,NA,/market-activity/stocks/aam^b
AAMC,Altisource Asset Management Corp Com,$19.39,UNCH,--,"34,460,005",/market-activity/stocks/aamc
AAME,Atlantic American Corporation Common Stock,$2.88,UNCH,--,"58,657,620",/market-activity/stocks/aame
AAN,"Aarons Holdings Company, Inc. Common Stock ",$12.36,0.17,1.395%,"380,446,708",/market-activity/stocks/aan
AAOI,"Applied Optoelectronics, Inc. Common Stock",$2.22,0.02,0.909%,"63,322,656",/market-activity/stocks/aaoi
AAON,"AAON, Inc. Common Stock",$78.335,-0.925,-1.167%,"4,167,385,731",/market-activity/stocks/aaon
AAP,Advance Auto Parts Inc.,$150.82,-0.17,-0.113%,"8,936,645,447",/market-activity/stocks/aap
AAPL,Apple Inc. Common Stock,$147.37,-0.66,-0.446%,"2,555,003,795,800",/market-activity/stocks/aapl
AAQC,Accelerate Acquisition Corp. Class A Common Stock,$10.065,-0.005,-0.05%,"503,250,000",/market-activity/stocks/aaqc
AAT,"American Assets Trust, Inc. Common Stock",$29.67,0.38,1.297%,"1,795,869,172",/market-activity/stocks/aat
