"id","teamId","shirtNumber","position",positionAcronym,"fullName","dateOfBirth","height","weight","goals","penalty","yellowCards","redCards"
"BIDU-1","BIDU","1","Thủ môn",GK,"Nguyễn Sơn Hải","06-05-1994","186","76","0","0","1","0"
"BIDU-2","BIDU","2","Hậu vệ",DF,"Nguyễn Hùng Thiện Đức","08-12-1999","169","66","0","0","0","0"
"BIDU-3","BIDU","3","Hậu vệ",DF,"Nguyễn Thanh Thảo","14-05-1995","178","67","0","0","0","0"
"BIDU-4","BIDU","4","Hậu vệ",DF,"Ndiaye Guy Olivier","05-05-1994","192","91","0","0","0","0"
"BIDU-5","BIDU","5","Hậu vệ",DF,"Uông Ngọc Tiến","23-03-2000","168","63","0","0","0","0"
"BIDU-6","BIDU","6","Tiền vệ",MF,"Nguyễn Trọng Huy","25-06-1997","179","71","0","0","0","0"
"BIDU-7","BIDU","7","Hậu vệ",DF,"Nguyễn Thanh Long","10-01-1993","182","80","0","0","1","0"
"BIDU-8","BIDU","8","Hậu vệ",DF,"Nguyễn Anh Tài","05-02-1996","168","70","0","0","0","0"
"BIDU-9","BIDU","9","Tiền vệ",MF,"Đoàn Tuấn Cảnh","27-07-1998","175","63","0","0","0","0"
"BIDU-10","BIDU","10","Tiền đạo",ST,"Teofilo Soares Eydison","30-05-1988","178","82","0","0","0","0"
"BIDU-11","BIDU","11","Tiền đạo",ST,"Bùi Vĩ Hào","24-02-2003","180","69","0","0","0","0"
"BIDU-12","BIDU","12","Tiền vệ",MF,"Trần Duy Khánh","20-07-1997","171","69","0","0","0","0"
"BIDU-13","BIDU","13","Thủ môn",GK,"Nguyễn Huỳnh Văn Bin","12-01-2002","178","69","0","0","0","0"
"BIDU-14","BIDU","14","Tiền vệ",MF,"Trần Hoàng Phương","11-04-1994","167","62","0","0","0","0"
"BIDU-15","BIDU","15","Hậu vệ",DF,"Trương Dũ Đạt","25-07-1997","180","75","0","0","0","0"
"BIDU-16","BIDU","16","Tiền đạo",ST,"Nguyễn Trần Việt Cường","27-12-2000","174","63","0","0","0","0"
"BIDU-17","BIDU","17","Tiền vệ",MF,"Tống Anh Tỷ","24-01-1997","172","67","0","0","0","0"
"BIDU-18","BIDU","18","Tiền đạo",ST,"Hồ Sỹ Giáp","18-04-1994","176","67","1","0","1","0"
"BIDU-19","BIDU","19","Tiền vệ",MF,"Lưu Tự Nhân","18-12-2001","178","67","0","0","0","0"
"BIDU-20","BIDU","20","Hậu vệ",DF,"Đoàn Văn Quý","02-01-1998","171","64","0","0","0","0"
"BIDU-22","BIDU","22","Tiền đạo",ST,"Nguyễn Tiến Linh","20-10-1997","178","67","1","0","0","0"
