id,name,province
1,Hàng Đẫy,Hà Nội
2,Quy Nhơn,Bình Định
3,Gò Đậu,Bình Dương
4,Hòa Xuân,Đà Nẵng
5,Pleiku,Gia Lai
6,Lạch Tray,Hải Phòng
7,Hà Tĩnh,Hà Tĩnh
8,Thống Nhất,Hồ Chí Minh
9,Thiên Trường,Nam Định
10,Vinh,Nghệ An
11,Thanh Hóa,Thanh Hóa
12,Ninh Bình,Ninh Bình
13,Bà Rịa,Bà Rịa-Vũng Tàu
14,Bình Phước,Bình Phước
15,Cần Thơ,Cần Thơ
16,Buôn Ma Thuột,Đắk Lắk
17,Tự Do,Thừa Thiên Huế
18,19 tháng 8,Khánh Hòa
19,Long An,Long An
20,Trung tâm đào tạo bóng đá trẻ PVF,Hưng Yên
21,Thanh Trì,Hà Nội
22,Việt Trì,Phú Thọ
23,Tam Kỳ,Quảng Nam
