"symbol","action","fullName","firstName","lastName","amount","asset","assetType","disclosureYear","disclosureDate","transactionDate","url"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company Common Stock","Stock","2022","2022-06-13","2022-06-03","https://efdsearch.senate.gov/search/view/ptr/5ed49813-1cfe-42fc-8235-9da7d7a21051/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company Common Stock","Stock","2022","2022-03-14","2022-03-03","https://efdsearch.senate.gov/search/view/ptr/6cabc9a2-da3c-424e-9bab-5ce572bc3f24/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company Common Stock","Stock","2021","2021-12-16","2021-12-03","https://efdsearch.senate.gov/search/view/ptr/029bd30d-5f2a-4ad4-9235-4e153b41a29e/"
"--","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","WFC - Wells Fargo &amp; Company","Stock","2021","2021-09-15","2021-09-03","https://efdsearch.senate.gov/search/view/ptr/1a756e7a-56c4-4406-8a4b-1f6c549bd17d/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2021","2021-06-07","2021-06-03","https://efdsearch.senate.gov/search/view/ptr/18c33f81-90a3-4bc3-a8d9-a7cc62898c64/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2021","2021-03-16","2021-03-03","https://efdsearch.senate.gov/search/view/ptr/ed8c186c-c456-4ce6-a8d7-4e8cc7175fd3/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2020","2020-12-07","2020-12-03","https://efdsearch.senate.gov/search/view/ptr/dba1fc54-346e-48f1-b96c-62bc43cdd8a1/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2020","2020-09-11","2020-09-02","https://efdsearch.senate.gov/search/view/ptr/34ebca60-a389-42b5-874e-c59eeea89ad6/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2020","2020-03-11","2020-03-04","https://efdsearch.senate.gov/search/view/ptr/ce3e9174-2da2-4f53-9f7f-37f9e0305a9f/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2019","2019-12-12","2019-12-04","https://efdsearch.senate.gov/search/view/ptr/c8736c02-d30a-4c66-a4d9-0bac2e7afd46/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2019","2019-09-16","2019-09-01","https://efdsearch.senate.gov/search/view/ptr/1867563f-44a7-41d0-8e2e-96ddf747eae4/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2019","2019-06-21","2019-06-01","https://efdsearch.senate.gov/search/view/ptr/54feb2cd-c07e-499e-a649-964d9b6fb1d0/"
"IR","sale_full","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$250,001 - $500,000","Ingersoll-Rand Plc","Stock","2019","2019-06-14","2019-06-03","https://efdsearch.senate.gov/search/view/ptr/00f9f9ee-b87b-4736-950b-41f9a6cfe2b4/"
"VMC","sale_full","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$250,001 - $500,000","Vulcan Materials Company","Stock","2019","2019-06-14","2019-06-03","https://efdsearch.senate.gov/search/view/ptr/00f9f9ee-b87b-4736-950b-41f9a6cfe2b4/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2019","2019-03-06","2019-03-05","https://efdsearch.senate.gov/search/view/ptr/78a66c3d-1d51-4b8f-ac8a-12ca25b75563/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2018","2018-12-17","2018-12-05","https://efdsearch.senate.gov/search/view/ptr/13374d99-cbb7-4f1c-a630-2125b6c108ab/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2018","2018-09-14","2018-09-06","https://efdsearch.senate.gov/search/view/ptr/f02256a2-006a-4b22-96f6-79561a1f3a91/"
"WFC","purchase","A. Mitchell Mcconnell, Jr.","A.","Mcconnell","$1,001 - $15,000","Wells Fargo &amp; Company","Stock","2018","2018-06-13","2018-06-01","https://efdsearch.senate.gov/search/view/ptr/3eb0d309-b3be-4678-b762-2f9137928430/"
