open,close,volume,symbol,timestamp,low,date,high
12.47,12.49,318800,VC7,1198800000,9.54,2007-12-28,12.95
12.49,12.9,95400,VC7,1199232000,12.27,2008-01-02,12.9
14.09,12.38,144300,VC7,1199318400,12.04,2008-01-03,14.09
12.72,12.04,97600,VC7,1199404800,11.7,2008-01-04,12.72
11.81,10.97,89700,VC7,1199664000,10.68,2008-01-07,12.27
10.9,11.36,57400,VC7,1199750400,10.9,2008-01-08,11.79
11.13,11.31,26500,VC7,1199836800,10.9,2008-01-09,11.36
11.13,11.34,31800,VC7,1199923200,10.47,2008-01-10,11.36
11.13,10.9,55300,VC7,1200009600,10.9,2008-01-11,11.59
10.9,10.34,35000,VC7,1200268800,10.22,2008-01-14,10.9
9.61,9.43,37400,VC7,1200355200,9.4,2008-01-15,9.65
10,10.38,24400,VC7,1200441600,9.95,2008-01-16,10.38
11.29,10.56,35100,VC7,1200528000,10.11,2008-01-17,11.31
10.02,10.56,47800,VC7,1200614400,10,2008-01-18,10.9
10.54,10.34,19800,VC7,1200873600,10.11,2008-01-21,10.54
10,9.97,27700,VC7,1200960000,9.68,2008-01-22,10
9.95,9.54,44500,VC7,1201046400,9.09,2008-01-23,9.95
10.22,9.43,25600,VC7,1201132800,9.27,2008-01-24,10.22
9.56,9.15,32400,VC7,1201219200,9.09,2008-01-25,9.65
9.36,8.68,18600,VC7,1201478400,8.63,2008-01-28,9.38
8.86,9.31,45200,VC7,1201564800,8.86,2008-01-29,9.52
9.97,10.04,43200,VC7,1201651200,9.77,2008-01-30,10.04
10.9,10.22,30100,VC7,1201737600,9.54,2008-01-31,10.99
10.4,10.45,51300,VC7,1201824000,10,2008-02-01,10.9
10.9,9.77,17800,VC7,1202774400,9.54,2008-02-12,11.31
9.65,9.45,26400,VC7,1202860800,9.43,2008-02-13,9.65
9.43,9.54,24200,VC7,1202947200,9.43,2008-02-14,9.81
9.65,9.54,14200,VC7,1203033600,9.34,2008-02-15,9.65
9.04,9.09,22900,VC7,1203292800,8.54,2008-02-18,9.31
8.63,8.86,24000,VC7,1203379200,8.41,2008-02-19,9.2
8.86,8.52,25000,VC7,1203465600,8.41,2008-02-20,8.86
7.95,7.75,35300,VC7,1203552000,7.75,2008-02-21,7.95
7,7.75,21400,VC7,1203638400,7,2008-02-22,7.97
7.34,8.06,18900,VC7,1203897600,7.34,2008-02-25,8.06
