open,close,volume,symbol,timestamp,low,date,high
70,70,10000,VSP,1167004800,70,2006-12-25,70
70,70,11000,VSP,1167177600,70,2006-12-27,70
75,75,200,VSP,1167264000,75,2006-12-28,75
76,75,5000,VSP,1167350400,75,2006-12-29,76
76,76,300,VSP,1167782400,76,2007-01-03,76
84,76,2000,VSP,1167868800,76,2007-01-04,84
80,80,5400,VSP,1167955200,80,2007-01-05,80
80,80,600,VSP,1168214400,80,2007-01-08,80
80,80,5100,VSP,1168300800,80,2007-01-09,80
79,80,2300,VSP,1168387200,79,2007-01-10,80
80,80.5,9900,VSP,1168473600,79,2007-01-11,81
88,88,41100,VSP,1168560000,81,2007-01-12,88
89,88.7,10100,VSP,1168819200,89,2007-01-15,89
98,97.5,11800,VSP,1168905600,98,2007-01-16,98
107,106.8,51400,VSP,1168992000,98,2007-01-17,107
106,106,16700,VSP,1169078400,104,2007-01-18,115
114,116,14100,VSP,1169164800,110,2007-01-19,116
106,122.6,14500,VSP,1169424000,106,2007-01-22,123
129,127,20000,VSP,1169510400,127,2007-01-23,131
141,140.8,7600,VSP,1169596800,133,2007-01-24,141
141,140,9200,VSP,1169683200,140,2007-01-25,145
138,139,700,VSP,1169769600,138,2007-01-26,139
140,138,9500,VSP,1170028800,138,2007-01-29,140
140,130,5800,VSP,1170115200,130,2007-01-30,140
130,133.5,8000,VSP,1170201600,130,2007-01-31,135
133,130.5,4500,VSP,1170288000,130,2007-02-01,133
137,133.4,16200,VSP,1170374400,133,2007-02-02,137
142,141,48100,VSP,1170633600,140,2007-02-05,147
157,150,31000,VSP,1170720000,150,2007-02-06,157
166,169,24300,VSP,1170806400,160,2007-02-07,170
184,170,16500,VSP,1170892800,166,2007-02-08,184
172,159,43700,VSP,1170979200,158,2007-02-09,180
163,165,15400,VSP,1171238400,162,2007-02-12,170
170,169,10800,VSP,1171324800,167,2007-02-13,170
170,169,5100,VSP,1171411200,167,2007-02-14,170
168,169,4900,VSP,1171497600,165,2007-02-15,169
185,185,17100,VSP,1172448000,178,2007-02-26,185
200,190,18800,VSP,1172534400,182,2007-02-27,200
193,179.5,4700,VSP,1172620800,180,2007-02-28,200
