name,dateOfBirth,gender,province,percentage,district,cityOfBirth,degree,active
Linh mục Vương Đình Ái,1911-11-11,nam,Nghệ An,0,,,,TRUE
Nguyễn Năng An,1931-05-03,nam,TP Hà Nội,0,,,,TRUE
Nguyễn Văn An,1937-10-01,nam,Ninh Bình,0,,,,TRUE
Nguyễn Hoàng Anh,1960-11-27,Nữ,Long An,0,,,,TRUE
Trượng Ngọc Anh (Trượng Màng),1956-04-02,nam,Ninh Thuận,0,,,,TRUE
Trần Hà Anh,1938-03-15,nam,Lâm Đồng,0,,,,TRUE
Đồng Thị Ánh,1947-12-15,Nữ,TP Hồ Chí Minh,0,,,,TRUE
Tưởng Duy Ánh,1949-05-10,nam,Hà Tây,0,,,,TRUE
Hoàng Thị Ba,1961-07-01,Nữ,Thái Nguyên,0,,,,TRUE
Lý Văn Ba,1965-10-20,nam,Lào Cai,0,,,,TRUE
Lê Thị Thu Ba,1956-03-10,Nữ,Đồng Nai,0,,,,TRUE
Đặng Phương Bắc,1958-08-23,nam,Thái Bình,0,,,,TRUE
Đinh Hoài Bắc (Đinh Hoài Bắc (Đinh Văn Bắc)),1955-08-24,nam,Quảng Ngãi,0,,,,TRUE
Tôn Thất Bách,1946-02-25,nam,TP Hà Nội,0,,,,TRUE
Cao Lương Bằng,1945-09-10,nam,Quảng Bình,0,,,,TRUE
Nguyễn Trọng Bằng,1931-05-01,nam,Đồng Nai,0,,,,TRUE
Sầm Văn Bằng,1945-08-09,nam,Cao Bằng,0,,,,TRUE
Nguyễn Hoài Bão,1944-09-18,nam,Lâm Đồng,0,,,,TRUE
Điểu Bảo,1959-04-22,nam,Đồng Nai,0,,,,TRUE
Huỳnh Văn Be (Huỳnh Văn Be (Phương Hùng)),1949-11-10,nam,Bến Tre,0,,,,TRUE
Nguyễn Văn Bênh,1958-06-16,nam,Tây Ninh,0,,,,TRUE
Hoàng Văn Bình (Hoàng Văn Bình (Hoàng Văn Phệ)),1962-03-29,nam,Bắc Giang,0,,,,TRUE
Lê Quang Bình,1947-10-28,nam,Kon Tum,0,,,,TRUE
Nguyễn Thái Bình,1953-05-12,nam,Trà Vinh,0,,,,TRUE
Nguyễn Thị Hoà Bình,1954-07-20,Nữ,Bình Định,0,,,,TRUE
Trương Hoà Bình,1955-04-13,nam,TP Hồ Chí Minh,0,,,,TRUE
Nguyễn Thị Bình (Nguyễn Thị Bình (Nguyễn Châu Sa)),1927-05-26,Nữ,Quảng Nam,0,,,,TRUE
KPă Bình (KSor Phước),1954-02-08,nam,Gia Lai,0,,,,TRUE
Nguyễn Văn Bon (Nguyễn Văn Bon (Nguyễn Thanh Phương)),1941-01-20,nam,Bến Tre,0,,,,TRUE
Nguyễn Mạnh Cầm,1929-06-15,nam,Nghệ An,0,,,,TRUE
Đặng Văn Cảo,1942-06-01,nam,Hưng Yên,0,,,,TRUE
Hoàng Thiện Cát,1947-01-10,nam,Hưng Yên,0,,,,TRUE
Hù Chà Cây,1949-12-19,nam,Lai Châu,0,,,,TRUE
Trần Thị Minh Chánh,1948-12-25,Nữ,Phú Yên,0,,,,TRUE
Nguyễn Thị Chắt,1947-07-14,Nữ,Hà Tây,0,,,,TRUE
Nguyễn Văn Châu,1954-06-01,nam,Tiền Giang,0,,,,TRUE
Lê Minh Châu,1944-07-15,nam,Đồng Tháp,0,,,,TRUE
Hoà thượng Thích Minh Châu,1920-10-20,nam,TP Hồ Chí Minh,0,,,,TRUE
Phạm Thị Trân Châu,1938-07-29,Nữ,TP Hà Nội,0,,,,TRUE
Neáng Kim Cheng (Neáng Kim Cheng (A-Tích)),1954-03-02,Nữ,An Giang,0,,,,TRUE
Nguyễn Văn Chia,1942-05-10,nam,Tây Ninh,0,,,,TRUE
Đàm Văn Chiến,1956-11-17,nam,Bắc Kạn,0,,,,TRUE
Nguyễn Đức Chính,1953-09-13,nam,TP Hồ Chí Minh,0,,,,TRUE
Nguyễn Đức Chính,1959-12-02,nam,Quảng Trị,0,,,,TRUE
Lầu Sáy Chứ (Lầu Sáy Chứ (Lầu A Chứ)),1958-08-18,nam,Sơn La,0,,,,TRUE
Nguyễn Thanh Chương,1949-07-15,nam,Thanh Hoá,0,,,,TRUE
Phạm Huy Chưởng,1944-08-10,nam,Thừa Thiên - Huế,0,,,,TRUE
Phạm Chuyên,1943-02-15,nam,TP Hà Nội,0,,,,TRUE
Phạm Thị Hải Chuyền,1952-08-19,Nữ,Bắc Giang,0,,,,TRUE
Đỗ Xuân Công (Đỗ Xuân Công (Đỗ Xuân Côi)),1943-05-06,nam,Khánh Hoà,0,,,,TRUE
Lữ Ngọc Cư,1955-05-10,nam,Đắc Lắk,0,,,,TRUE
Mã Điền Cư,1954-01-25,nam,Bình Thuận,0,,,,TRUE
Măng Cư,1943-05-01,nam,Phú Yên,0,,,,TRUE
Hoàng Xuân Cừ,1946-12-10,nam,Phú Thọ,0,,,,TRUE
Vũ Đình Cự,1936-02-15,nam,Lạng Sơn,0,,,,TRUE
Dương Công Đá,1943-05-21,nam,Lạng Sơn,0,,,,TRUE
Mai Hoa Niêk Đăm (Mai Hoa Niêk Đăm (H'Đan Niêk Đăm)),1954-12-23,Nữ,Đắc Lắk,0,,,,TRUE
Y Luyện Niêk Đăm (Y Luyện Niêk Đăm (AMa Hoa)),1943-10-09,nam,Đắc Lắk,0,,,,TRUE
Huỳnh Đảm,1948-12-30,nam,TP Hồ Chí Minh,0,,,,TRUE
Trần Thị Tâm Đan,1939-11-29,Nữ,Nam Định,0,,,,TRUE
Trần Văn Đăng,1933-02-01,nam,Phú Thọ,0,,,,TRUE
Yang Danh (Yang Danh (Yang Đêu)),1946-08-30,nam,Bình Định,0,,,,TRUE
Lê Quang Đạo (Lê Quang Đạo (Nguyễn Đức Nguyện)),1921-08-08,nam,Bắc Ninh,0,,,,TRUE
Nguyễn Tấn Đạt (Nguyễn Tấn Đạt (Nguyễn Văn Định)),1938-10-20,nam,Long An,0,,,,TRUE
Phan Tấn Đạt (Phan Tấn Đạt (Phan Quốc Hưng)),1949-12-02,nam,Bạc Liêu,0,,,,TRUE
Nguyễn Khoa Điềm,1943-04-15,nam,Thừa Thiên - Huế,0,,,,TRUE
Lý Thị Diện,1972-10-06,Nữ,Yên Bái,0,,,,TRUE
Lư Văn Điền (Lư Văn Điền (Tám Thanh)),1938-12-25,nam,Cần Thơ,0,,,,TRUE
Lê Văn Diêu,1946-03-13,nam,Thanh Hoá,0,,,,TRUE
Chamaléa Điêu (Chamaléa Điêu (Chamalea Ngao)),1948-02-20,nam,Ninh Thuận,0,,,,TRUE
Điểu Điều,1973-10-01,nam,Bình Phước,0,,,,TRUE
Vũ Tuấn Điều,1958-06-05,nam,Kon Tum,0,,,,TRUE
Nguyễn Cảnh Dinh,1934-06-14,nam,Nghệ An,0,,,,TRUE
Nguyễn Phúc Đình,1941-03-12,nam,Hà Tây,0,,,,TRUE
Trần Mạnh Đĩnh,1952-02-22,nam,Nam Định,0,,,,TRUE
Cao Văn Đoàn,1944-12-22,nam,TP Hồ Chí Minh,0,,,,TRUE
Hà Quang Dự,1945-10-25,nam,Tuyên Quang,0,,,,TRUE
Phạm Quang Dự,1944-05-31,nam,TP Hồ Chí Minh,0,,,,TRUE
Trần Minh Duân,1945-12-15,nam,Khánh Hoà,0,,,,TRUE
Hoàng Công Dung,1946-04-20,nam,Yên Bái,0,,,,TRUE
Lê Thị Kim Dung,1968-11-06,Nữ,Tuyên Quang,0,,,,TRUE
