"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"B001236","John Boozman","AR","R","B001236","Commodities, Risk Management, and Trade Subcommittee","Chairman","majority","1"
"B000944","Sherrod Brown","OH","D","B000944","Commodities, Risk Management, and Trade Subcommittee","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Commodities, Risk Management, and Trade Subcommittee","member","majority","2"
"B001267","Michael Bennet","CO","D","B001267","Commodities, Risk Management, and Trade Subcommittee","member","minority","2"
"H001061","John Hoeven","ND","R","H001061","Commodities, Risk Management, and Trade Subcommittee","member","majority","3"
"G000555","Kirsten E. Gillibrand","NY","D","G000555","Commodities, Risk Management, and Trade Subcommittee","member","minority","3"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Commodities, Risk Management, and Trade Subcommittee","member","majority","4"
"S001203","Tina Smith","MN","D","S001203","Commodities, Risk Management, and Trade Subcommittee","member","minority","4"
"P000612","David Perdue","GA","R","P000612","Commodities, Risk Management, and Trade Subcommittee","member","majority","5"
"D000563","Richard J. Durbin","IL","D","D000563","Commodities, Risk Management, and Trade Subcommittee","member","minority","5"
"G000386","Charles E. Grassley","IA","R","G000386","Commodities, Risk Management, and Trade Subcommittee","member","majority","6"
"S000770","Debbie Stabenow","MI","D","S000770","Commodities, Risk Management, and Trade Subcommittee","Ex Officio","minority","6"
"R000307","Pat Roberts","KS","R","R000307","Commodities, Risk Management, and Trade Subcommittee","Ex Officio","majority","7"
"B001310","Mike Braun","IN","R","B001310","Conservation, Climate, Forestry, and Natural Resources","Chairman","majority","1"
"B001267","Michael Bennet","CO","D","B001267","Conservation, Climate, Forestry, and Natural Resources","Ranking Member","minority","1"
"B001236","John Boozman","AR","R","B001236","Conservation, Climate, Forestry, and Natural Resources","member","majority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Conservation, Climate, Forestry, and Natural Resources","member","minority","2"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Conservation, Climate, Forestry, and Natural Resources","member","majority","3"
"K000367","Amy Klobuchar","MN","D","K000367","Conservation, Climate, Forestry, and Natural Resources","member","minority","3"
"P000612","David Perdue","GA","R","P000612","Conservation, Climate, Forestry, and Natural Resources","member","majority","4"
"C001070","Bob Casey","PA","D","C001070","Conservation, Climate, Forestry, and Natural Resources","member","minority","4"
"G000386","Charles E. Grassley","IA","R","G000386","Conservation, Climate, Forestry, and Natural Resources","member","majority","5"
"D000563","Richard J. Durbin","IL","D","D000563","Conservation, Climate, Forestry, and Natural Resources","member","minority","5"
"T000250","John Thune","SD","R","T000250","Conservation, Climate, Forestry, and Natural Resources","member","majority","6"
"S000770","Debbie Stabenow","MI","D","S000770","Conservation, Climate, Forestry, and Natural Resources","Ex Officio","minority","6"
"R000307","Pat Roberts","KS","R","R000307","Conservation, Climate, Forestry, and Natural Resources","Ex Officio","majority","7"
"E000295","Joni Ernst","IA","R","E000295","Rural Development and Energy","Chairman","majority","1"
"S001203","Tina Smith","MN","D","S001203","Rural Development and Energy","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Rural Development and Energy","member","majority","2"
"B000944","Sherrod Brown","OH","D","B000944","Rural Development and Energy","member","minority","2"
"H001061","John Hoeven","ND","R","H001061","Rural Development and Energy","member","majority","3"
"K000367","Amy Klobuchar","MN","D","K000367","Rural Development and Energy","member","minority","3"
"B001310","Mike Braun","IN","R","B001310","Rural Development and Energy","member","majority","4"
"B001267","Michael Bennet","CO","D","B001267","Rural Development and Energy","member","minority","4"
"T000250","John Thune","SD","R","T000250","Rural Development and Energy","member","majority","5"
"D000563","Richard J. Durbin","IL","D","D000563","Rural Development and Energy","member","minority","5"
"F000463","Deb Fischer","NE","R","F000463","Rural Development and Energy","member","majority","6"
"S000770","Debbie Stabenow","MI","D","S000770","Rural Development and Energy","Ex Officio","minority","6"
"R000307","Pat Roberts","KS","R","R000307","Rural Development and Energy","Ex Officio","majority","7"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","Chairman","majority","1"
"G000555","Kirsten E. Gillibrand","NY","D","G000555","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","Ranking Member","minority","1"
"E000295","Joni Ernst","IA","R","E000295","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","majority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","minority","2"
"B001310","Mike Braun","IN","R","B001310","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","majority","3"
"K000367","Amy Klobuchar","MN","D","K000367","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","minority","3"
"P000612","David Perdue","GA","R","P000612","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","majority","4"
"C001070","Bob Casey","PA","D","C001070","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","minority","4"
"G000386","Charles E. Grassley","IA","R","G000386","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","majority","5"
"S001203","Tina Smith","MN","D","S001203","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","member","minority","5"
"F000463","Deb Fischer","NE","R","F000463","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","Chairman","majority","6"
"S000770","Debbie Stabenow","MI","D","S000770","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","Ex Officio","minority","6"
"R000307","Pat Roberts","KS","R","R000307","Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security","Ex Officio","majority","7"
"F000463","Deb Fischer","NE","R","F000463","Food and Nutrition, Specialty Crops, Organics, and Research","Chairman","majority","1"
"C001070","Bob Casey","PA","D","C001070","Food and Nutrition, Specialty Crops, Organics, and Research","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Food and Nutrition, Specialty Crops, Organics, and Research","member","majority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Food and Nutrition, Specialty Crops, Organics, and Research","member","minority","2"
"B001236","John Boozman","AR","R","B001236","Food and Nutrition, Specialty Crops, Organics, and Research","member","majority","3"
"B000944","Sherrod Brown","OH","D","B000944","Food and Nutrition, Specialty Crops, Organics, and Research","member","minority","3"
"H001061","John Hoeven","ND","R","H001061","Food and Nutrition, Specialty Crops, Organics, and Research","member","majority","4"
"K000367","Amy Klobuchar","MN","D","K000367","Food and Nutrition, Specialty Crops, Organics, and Research","member","minority","4"
"E000295","Joni Ernst","IA","R","E000295","Food and Nutrition, Specialty Crops, Organics, and Research","member","majority","5"
"G000555","Kirsten E. Gillibrand","NY","D","G000555","Food and Nutrition, Specialty Crops, Organics, and Research","member","minority","5"
"T000250","John Thune","SD","R","T000250","Food and Nutrition, Specialty Crops, Organics, and Research","member","majority","6"
"S000770","Debbie Stabenow","MI","D","S000770","Food and Nutrition, Specialty Crops, Organics, and Research","Ex Officio","minority","6"
"R000307","Pat Roberts","KS","R","R000307","Food and Nutrition, Specialty Crops, Organics, and Research","Ex Officio","majority","7"
"B000575","Roy Blunt","MO","R","B000575","Labor, Health and Human Services, and Education, and Related Agencies","Chairman","majority","1"
"M001111","Patty Murray","WA","D","M001111","Labor, Health and Human Services, and Education, and Related Agencies","Ranking Member","minority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","2"
"D000563","Richard J. Durbin","IL","D","D000563","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","2"
"A000360","Lamar Alexander","TN","R","A000360","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","3"
"R000122","Jack Reed","RI","D","R000122","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","3"
"G000359","Lindsey Graham","SC","R","G000359","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","4"
"S001181","Jeanne Shaheen","NH","D","S001181","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","4"
"M000934","Jerry Moran","KS","R","M000934","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","5"
"M001176","Jeff Merkley","OR","D","M001176","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","5"
"C001047","Shelley Moore Capito","WV","R","C001047","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","6"
"S001194","Brian Schatz","HI","D","S001194","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","6"
"K000393","John Kennedy","LA","R","K000393","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","7"
"B001230","Tammy Baldwin","WI","D","B001230","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","7"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","8"
"M001169","Christopher S. Murphy","CT","D","M001169","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","8"
"R000595","Marco Rubio","FL","R","R000595","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","9"
"M001183","Joe Manchin III","WV","D","M001183","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","9"
"L000575","James Lankford","OK","R","L000575","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","10"
"L000174","Patrick J. Leahy","VT","D","L000174","Labor, Health and Human Services, and Education, and Related Agencies","Ex Officio","minority","10"
"M000934","Jerry Moran","KS","R","M000934","Commerce, Justice, Science, and Related Agencies Subcommittee","Chairman","majority","1"
"S001181","Jeanne Shaheen","NH","D","S001181","Commerce, Justice, Science, and Related Agencies Subcommittee","Ranking Member","minority","1"
"A000360","Lamar Alexander","TN","R","A000360","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","2"
"L000174","Patrick J. Leahy","VT","D","L000174","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","2"
"M001153","Lisa Murkowski","AK","R","M001153","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","3"
"F000062","Dianne Feinstein","CA","D","F000062","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","3"
"C001035","Susan Collins","ME","R","C001035","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","4"
"R000122","Jack Reed","RI","D","R000122","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","4"
"G000359","Lindsey Graham","SC","R","G000359","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","5"
"C001088","Christopher A. Coons","DE","D","C001088","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","5"
"B001236","John Boozman","AR","R","B001236","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","6"
"S001194","Brian Schatz","HI","D","S001194","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","6"
"C001047","Shelley Moore Capito","WV","R","C001047","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","7"
"M001183","Joe Manchin III","WV","D","M001183","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","7"
"K000393","John Kennedy","LA","R","K000393","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","8"
"V000128","Chris Van Hollen","MD","D","V000128","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","8"
"R000595","Marco Rubio","FL","R","R000595","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","9"
"S000320","Richard C. Shelby","AL","R","S000320","Commerce, Justice, Science, and Related Agencies Subcommittee","Ex Officio","majority","10"
"A000360","Lamar Alexander","TN","R","A000360","Energy and Water Development Subcommittee","Chairman","majority","1"
"F000062","Dianne Feinstein","CA","D","F000062","Energy and Water Development Subcommittee","Ranking Member","minority","1"
"M000355","Mitch McConnell","KY","R","M000355","Energy and Water Development Subcommittee","member","majority","2"
"M001111","Patty Murray","WA","D","M001111","Energy and Water Development Subcommittee","member","minority","2"
"S000320","Richard C. Shelby","AL","R","S000320","Energy and Water Development Subcommittee","member","majority","3"
"T000464","Jon Tester","MT","D","T000464","Energy and Water Development Subcommittee","member","minority","3"
"C001035","Susan Collins","ME","R","C001035","Energy and Water Development Subcommittee","member","majority","4"
"D000563","Richard J. Durbin","IL","D","D000563","Energy and Water Development Subcommittee","member","minority","4"
