number_of_dates,percentage,symbol
0,-1,AAS
0,-1,AAT
0,-1,ABB
0,-1,ABS
0,-1,ACG
0,-1,AGE
0,-1,AGG
0,-1,AIC
0,-1,APH
0,-1,ASG
0,-1,AUM
0,-1,BAF
0,-1,BBH
0,-1,BCA
0,-1,BCB
0,-1,BCF
0,-1,BCV
0,-1,BDB
0,-1,BIG
0,-1,BIO
0,-1,BKG
0,-1,BMN
0,-1,BMV
0,-1,BNA
0,-1,BNW
0,-1,BSD
0,-1,BVB
0,-1,BVL
0,-1,CAB
0,-1,CAR
0,-1,CCT
0,-1,CFM
0,-1,CFV
0,-1,CKG
0,-1,CMK
0,-1,CMP
0,-1,CNA
0,-1,CPA
0,-1,CPH
0,-1,CQN
0,-1,CST
0,-1,CTA
0,-1,CVP
0,-1,DAN
0,-1,DBW
0,-1,DCH
0,-1,DDH
0,-1,DFF
0,-1,DKC
0,-1,DMN
0,-1,DNN
0,-1,DNT
0,-1,DPD
0,-1,DSD
0,-1,DTE
0,-1,DTH
0,-1,DTP
0,-1,DUS
0,-1,DVG
0,-1,DVM
0,-1,DWC
0,-1,DXS
0,-1,E12
0,-1,EMG
0,-1,EPC
0,-1,FBA
0,-1,FCC
0,-1,FTI
0,-1,GE2
0,-1,GEE
0,-1,GH3
0,-1,GIC
0,-1,GMA
0,-1,GMH
0,-1,HC1
0,-1,HD6
0,-1,HFX
0,-1,HGT
0,-1,HHN
0,-1,HHR
0,-1,HMR
0,-1,HSP
0,-1,HSV
0,-1,HTW
0,-1,IBN
0,-1,ICI
0,-1,ICT
0,-1,IDP
0,-1,KHG
0,-1,KLM
0,-1,KSF
0,-1,KTC
0,-1,L40
0,-1,LCC
0,-1,LCW
0,-1,LPT
0,-1,LQN
0,-1,LSG
0,-1,LYF
0,-1,MA1
0,-1,MBN
0,-1,MCI
0,-1,MCM
0,-1,MDA
0,-1,MED
0,-1,MES
0,-1,MGC
0,-1,MGR
0,-1,MIE
0,-1,MLC
0,-1,MPY
0,-1,MQB
0,-1,MSB
0,-1,MTB
0,-1,MTC
0,-1,MTL
0,-1,MTS
0,-1,NAB
0,-1,NAU
0,-1,NDW
0,-1,NHV
0,-1,NJC
0,-1,NSS
0,-1,NVP
0,-1,NWT
0,-1,NXT
0,-1,OCB
0,-1,ODE
0,-1,PAI
0,-1,PAP
0,-1,PAS
0,-1,PAT
0,-1,PCF
0,-1,PCH
0,-1,PEG
0,-1,PGB
0,-1,PID
0,-1,PLE
0,-1,PLO
0,-1,PPT
0,-1,PQN
0,-1,PRE
0,-1,PSH
0,-1,PTN
0,-1,PX1
0,-1,PXC
0,-1,QNT
0,-1,QNW
0,-1,RBC
0,-1,SAL
0,-1,SBR
0,-1,SCG
0,-1,SCV
0,-1,SCY
0,-1,SDX
0,-1,SGB
0,-1,SGI
0,-1,SGO
0,-1,SQC
0,-1,SSB
0,-1,SSH
0,-1,STH
0,-1,STW
0,-1,SVD
0,-1,SZG
0,-1,TAN
0,-1,TBH
0,-1,TBR
0,-1,TCK
0,-1,TDF
0,-1,TED
0,-1,THD
0,-1,THU
0,-1,TIN
0,-1,TKA
0,-1,TKG
0,-1,TNH
0,-1,TOS
0,-1,TQW
0,-1,TR1
0,-1,TS3
0,-1,TTA
0,-1,TTS
0,-1,TV6
0,-1,UCT
0,-1,UDL
0,-1,UEM
0,-1,UMC
0,-1,USD
0,-1,VAB
0,-1,VBG
0,-1,VCE
0,-1,VCT
0,-1,VDB
0,-1,VFS
0,-1,VIR
0,-1,VKP
0,-1,VPW
0,-1,VTM
0,-1,VTQ
0,-1,VTZ
0,-1,VUA
0,-1,VVS
0,-1,VW3
0,-1,VXT
0,-1,X77
0,-1,XLV
0,-1,XMD
0,-1,XMP
1,0.0,APL
1,0.0,BHG
2,0.0,BSC
2,0.0,BTG
1,0.0,CE1
2,0.0,CEG
1,0.0,CIP
1,0.0,DAC
1,0.0,DSG
1,0.0,FBC
1,0.0,FGL
1,0.0,FHN
1,0.0,FSO
1,0.0,GLW
1,0.0,HCB
1,0.0,HLR
1,0.0,HLT
1,0.0,HNR
1,0.0,IBD
1,0.0,ISG
1,0.0,L43
1,0.0,LDW
1,0.0,LNC
1,0.0,MEF
1,0.0,MEL
1,0.0,NBT
1,0.0,PNP
1,0.0,POB
1,0.0,PTG
2,0.0,PTO
2,0.0,S72
1,0.0,SCO
1,0.0,SDY
3,0.0,SHG
2,0.0,SPH
2,0.0,SSF
1,0.0,STS
1,0.0,SVG
1,0.0,TA3
1,0.0,TB8
1,0.0,TCJ
3,0.0,TH1
1,0.0,THN
2,0.0,THP
2,0.0,TNM
2,0.0,TNP
21,0.0,TSD
1,0.0,TVG
1,0.0,USC
1,0.0,VES
1,0.0,VLP
1,0.0,VMA
1,0.0,VXP
1,0.0,XDH
2,0.14,VHF
7,0.99,VE8
4,1.1,CJC
3,1.17,NQT
6,1.41,QNU
6,1.44,IRC
17,1.45,MML
5,1.46,CDG
13,1.51,VTH
2,1.56,DXL
247,2.33,BAB
2,2.63,BRS
2,2.88,DM7
12,3.79,TAG
2,3.85,SD1
250,3.86,GKM
4,4.25,KAC
6,4.25,PND
3,4.29,VC5
3,4.34,NSL
250,4.34,VPI
250,4.35,SJD
155,4.43,EMS
4,4.44,CT6
6,4.66,LBC
249,4.69,DSN
4,4.74,PRC
195,4.91,HTG
139,4.97,LHC
185,5.11,S4A
247,5.18,SFI
249,5.24,CNG
249,5.24,IMP
250,5.44,ACB
240,5.45,NBC
246,5.47,CHP
162,5.47,SED
148,5.5,BTS
80,5.54,TDB
2,5.56,BHT
194,5.64,HTV
250,5.65,DS3
161,5.66,HAT
250,5.69,VC3
3,5.78,UPH
33,5.85,LIC
250,5.92,HTN
246,5.98,LIX
3,5.98,NTT
9,6.07,TSG
11,6.13,QST
219,6.14,HU3
10,6.14,MKV
4,6.15,GLC
244,6.2,SHN
12,6.22,TET
250,6.24,NVL
2,6.25,S27
185,6.26,EID
76,6.27,ADC
93,6.35,DAE
110,6.35,VBB
250,6.43,CRE
110,6.47,HPP
239,6.56,CLC
51,6.63,HGM
7,6.73,TPH
250,6.83,PET
7,6.93,SZB
244,6.97,SWC
233,7.0,KHP
84,7.0,VSM
236,7.01,SHA
16,7.02,HTR
173,7.08,TL4
57,7.09,PHS
146,7.12,TTC
8,7.14,DCG
250,7.19,VNM
250,7.23,TDT
89,7.25,HC3
250,7.31,CSM
250,7.34,IBC
250,7.36,EVG
4,7.43,PTD
5,7.47,LCD
25,7.49,MCC
12,7.49,MND
250,7.54,PHC
167,7.54,TVD
58,7.6,TMC
214,7.61,SKH
249,7.74,FMC
235,7.81,BHN
143,7.83,C21
114,7.83,VSA
233,7.86,DP3
192,7.89,THT
6,7.93,TSB
228,8.01,ACC
208,8.02,CAV
245,8.03,GSP
232,8.08,MQN
2,8.09,VPR
250,8.1,LTG
4,8.12,BST
250,8.25,SKG
250,8.27,DAG
245,8.28,NSC
235,8.3,SVC
222,8.35,DXP
250,8.39,GMD
247,8.47,PGC
178,8.5,PTI
159,8.51,COM
125,8.59,PGN
250,8.6,HAI
248,8.63,SBA
245,8.64,CSC
222,8.66,BSA
248,8.67,TOP
250,8.75,MBS
173,8.75,ONE
250,8.76,TNI
195,8.77,S55
186,8.77,SHP
250,8.83,BWE
221,8.83,WSB
172,8.84,PGI
250,8.89,HDB
95,9.03,HPD
250,9.03,VND
181,9.07,FDC
244,9.08,FCM
19,9.11,SDN
238,9.12,SD9
23,9.15,THS
250,9.15,VRC
204,9.17,FOX
5,9.17,NQB
218,9.17,TV4
32,9.22,QSP
250,9.24,KMR
126,9.25,BTT
250,9.26,HAH
206,9.27,BBC
3,9.28,CAG
82,9.41,APP
122,9.41,PMS
231,9.48,IDC
147,9.48,PGV
130,9.49,DBT
66,9.5,C12
3,9.52,CCV
118,9.52,SMN
7,9.57,MLS
92,9.6,TTD
124,9.63,ND2
110,9.65,TIX
250,9.67,OGC
250,9.68,KDH
60,9.72,CC1
219,9.73,TBC
250,9.74,LPB
46,9.78,GMX
49,9.79,HEV
244,9.79,TVS
109,9.8,VBC
250,9.8,VPB
120,9.82,PTS
104,9.82,SVT
219,9.82,UDJ
232,9.83,DNP
230,9.85,DMC
214,9.85,GTA
250,9.85,HPG
242,9.89,VSH
207,9.9,PGD
247,9.9,VTO
250,9.92,SAB
23,9.94,X20
144,9.95,SGR
86,9.95,TKU
207,9.98,PMC
