"id","name","partyShort","stateAbbreviation","committeeId","committeeName","committeePosition","committeeSide","committeeRank"
"B001227","Robert A. Brady","D","PA","B001227","Committee on Administration","member","minority",1
"H001045","Gregg Harper","R","MS","H001045","Committee on Administration","member","majority",1
"D000619","Rodney Davis","R","IL","D000619","Committee on Administration","member","majority",2
"L000397","Zoe Lofgren","D","CA","L000397","Committee on Administration","member","minority",2
"C001105","Barbara Comstock","R","VA","C001105","Committee on Administration","member","majority",3
"R000606","Jamie Raskin","D","MD","R000606","Committee on Administration","member","minority",3
"W000819","Mark Walker","R","NC","W000819","Committee on Administration","member","majority",4
"S001172","Adrian Smith","R","NE","S001172","Committee on Administration","member","majority",5
"L000583","Barry Loudermilk","R","GA","L000583","Committee on Administration","member","majority",6
"P000258","Collin C. Peterson","D","MN","P000258","Committee on Agriculture","member","minority",1
"C001062","K. Michael Conaway","R","TX","C001062","Committee on Agriculture","member","majority",1
"G000289","Robert W. Goodlatte","R","VA","G000289","Committee on Agriculture","member","majority",2
"S001157","David Scott","D","GA","S001157","Committee on Agriculture","member","minority",2
"L000491","Frank D. Lucas","R","OK","L000491","Committee on Agriculture","member","majority",3
"C001059","Jim Costa","D","CA","C001059","Committee on Agriculture","member","minority",3
"K000362","Steve King","R","IA","K000362","Committee on Agriculture","member","majority",4
"W000799","Tim Walz","D","MN","W000799","Committee on Agriculture","member","minority",4
"R000575","Mike D. Rogers","R","AL","R000575","Committee on Agriculture","member","majority",5
"F000455","Marcia L. Fudge","D","OH","F000455","Committee on Agriculture","member","minority",5
"M000312","Jim McGovern","D","MA","M000312","Committee on Agriculture","member","minority",6
"T000467","Glenn Thompson","R","PA","T000467","Committee on Agriculture","member","majority",6
"G000563","Bob Gibbs","R","OH","G000563","Committee on Agriculture","member","majority",7
"V000132","Filemon Vela","D","TX","V000132","Committee on Agriculture","member","minority",7
"S001189","Austin Scott","R","GA","S001189","Committee on Agriculture","member","majority",8
"C001087","Rick Crawford","R","AR","C001087","Committee on Agriculture","member","majority",9
"K000382","Ann McLane Kuster","D","NH","K000382","Committee on Agriculture","member","minority",9
"D000616","Scott DesJarlais","R","TN","D000616","Committee on Agriculture","member","majority",10
"N000127","Rick Nolan","D","MN","N000127","Committee on Agriculture","member","minority",10
"B001286","Cheri Bustos","D","IL","B001286","Committee on Agriculture","member","minority",11
"H001053","Vicky Hartzler","R","MO","H001053","Committee on Agriculture","member","majority",11
"M001185","Sean Patrick Maloney","D","NY","M001185","Committee on Agriculture","member","minority",12
"D000612","Jeffrey Denham","R","CA","D000612","Committee on Agriculture","member","majority",12
"P000610","Stacey Plaskett","D","VI","P000610","Committee on Agriculture","member","minority",13
"L000578","Doug LaMalfa","R","CA","L000578","Committee on Agriculture","member","majority",13
"D000619","Rodney Davis","R","IL","D000619","Committee on Agriculture","member","majority",14
"A000370","Alma Adams","D","NC","A000370","Committee on Agriculture","member","minority",14
"E000296","Dwight Evans","D","PA","E000296","Committee on Agriculture","member","minority",15
"Y000065","Ted Yoho","R","FL","Y000065","Committee on Agriculture","member","majority",15
"A000372","Rick Allen","R","GA","A000372","Committee on Agriculture","member","majority",16
"L000586","Al Lawson","D","FL","L000586","Committee on Agriculture","member","minority",16
"O000171","Tom O'Halleran","D","AZ","O000171","Committee on Agriculture","member","minority",17
"B001295","Mike Bost","R","IL","B001295","Committee on Agriculture","member","majority",17
"P000613","Jimmy Panetta","D","CA","P000613","Committee on Agriculture","member","minority",18
"R000603","David Rouzer","R","NC","R000603","Committee on Agriculture","member","majority",18
"A000374","Ralph Abraham","R","LA","A000374","Committee on Agriculture","member","majority",19
"S001200","Darren Soto","D","FL","S001200","Committee on Agriculture","member","minority",19
"B001303","Lisa Blunt Rochester","D","DE","B001303","Committee on Agriculture","member","minority",20
"K000388","Trent Kelly","R","MS","K000388","Committee on Agriculture","member","majority",20
"C001108","James Comer","R","KY","C001108","Committee on Agriculture","member","majority",21
"M001198","Roger Marshall","R","KS","M001198","Committee on Agriculture","member","majority",22
"B001298","Don Bacon","R","NE","B001298","Committee on Agriculture","member","majority",23
"F000464","John Faso","R","NY","F000464","Committee on Agriculture","member","majority",24
"D000628","Neal Dunn","R","FL","D000628","Committee on Agriculture","member","majority",25
"A000375","Jodey Arrington","R","TX","A000375","Committee on Agriculture","member","majority",26
"F000372","Rodney Frelinghuysen","R","NJ","F000372","Committee on Appropriations","member","majority",1
"L000480","Nita M. Lowey","D","NY","L000480","Committee on Appropriations","member","minority",1
"K000009","Marcy Kaptur","D","OH","K000009","Committee on Appropriations","member","minority",2
"R000395","Harold Rogers","R","KY","R000395","Committee on Appropriations","member","majority",2
"A000055","Robert B. Aderholt","R","AL","A000055","Committee on Appropriations","member","majority",3
"V000108","Peter J. Visclosky","D","IN","V000108","Committee on Appropriations","member","minority",3
"S000248","José E. Serrano","D","NY","S000248","Committee on Appropriations","member","minority",4
"G000377","Kay Granger","R","TX","G000377","Committee on Appropriations","member","majority",4
"S001148","Mike Simpson","R","ID","S001148","Committee on Appropriations","member","majority",5
"D000216","Rosa DeLauro","D","CT","D000216","Committee on Appropriations","member","minority",5
"C001048","John Culberson","R","TX","C001048","Committee on Appropriations","member","majority",6
"P000523","David E. Price","D","NC","P000523","Committee on Appropriations","member","minority",6
"R000486","Lucille Roybal-Allard","D","CA","R000486","Committee on Appropriations","member","minority",7
"C001051","John Carter","R","TX","C001051","Committee on Appropriations","member","majority",7
"B000490","Sanford D. Bishop Jr.","D","GA","B000490","Committee on Appropriations","member","minority",8
"C000059","Ken Calvert","R","CA","C000059","Committee on Appropriations","member","majority",8
"L000551","Barbara Lee","D","CA","L000551","Committee on Appropriations","member","minority",9
"C001053","Tom Cole","R","OK","C001053","Committee on Appropriations","member","majority",9
"D000600","Mario Diaz-Balart","R","FL","D000600","Committee on Appropriations","member","majority",10
"M001143","Betty McCollum","D","MN","M001143","Committee on Appropriations","member","minority",10
"G000560","Tom Graves","R","GA","G000560","Committee on Appropriations","member","majority",11
"R000577","Tim Ryan","D","OH","R000577","Committee on Appropriations","member","minority",11
"Y000063","Kevin Yoder","R","KS","Y000063","Committee on Appropriations","member","majority",12
"R000576","C.A. Dutch Ruppersberger","D","MD","R000576","Committee on Appropriations","member","minority",12
"W000809","Steve Womack","R","AR","W000809","Committee on Appropriations","member","majority",13
"W000797","Debbie Wasserman Schultz","D","FL","W000797","Committee on Appropriations","member","minority",13
"F000449","Jeff Fortenberry","R","NE","F000449","Committee on Appropriations","member","majority",14
"C001063","Henry Cuellar","D","TX","C001063","Committee on Appropriations","member","minority",14
"P000597","Chellie Pingree","D","ME","P000597","Committee on Appropriations","member","minority",15
"R000583","Tom Rooney","R","FL","R000583","Committee on Appropriations","member","majority",15
"Q000023","Mike Quigley","D","IL","Q000023","Committee on Appropriations","member","minority",16
"F000459","Chuck Fleischmann","R","TN","F000459","Committee on Appropriations","member","majority",16
"H001056","Jaime Herrera Beutler","R","WA","H001056","Committee on Appropriations","member","majority",17
"K000381","Derek Kilmer","D","WA","K000381","Committee on Appropriations","member","minority",17
"J000295","Dave Joyce","R","OH","J000295","Committee on Appropriations","member","majority",18
"C001090","Matt Cartwright","D","PA","C001090","Committee on Appropriations","member","minority",18
"M001188","Grace Meng","D","NY","M001188","Committee on Appropriations","member","minority",19
"V000129","David Valadao","R","CA","V000129","Committee on Appropriations","member","majority",19
"P000607","Mark Pocan","D","WI","P000607","Committee on Appropriations","member","minority",20
"H001052","Andy Harris","R","MD","H001052","Committee on Appropriations","member","majority",20
"R000591","Martha Roby","R","AL","R000591","Committee on Appropriations","member","majority",21
"C001101","Katherine Clark","D","MA","C001101","Committee on Appropriations","member","minority",21
"A000369","Mark Amodei","R","NV","A000369","Committee on Appropriations","member","majority",22
"A000371","Pete Aguilar","D","CA","A000371","Committee on Appropriations","member","minority",22
"S001192","Chris Stewart","R","UT","S001192","Committee on Appropriations","member","majority",23
"Y000066","David Young","R","IA","Y000066","Committee on Appropriations","member","majority",24
"P000601","Steven Palazzo","R","MS","P000601","Committee on Appropriations","member","majority",26
"N000189","Dan Newhouse","R","WA","N000189","Committee on Appropriations","member","majority",27
"M001194","John Moolenaar","R","MI","M001194","Committee on Appropriations","member","majority",28
"T000477","Scott Taylor","R","VA","T000477","Committee on Appropriations","member","majority",29
"R000609","John Rutherford","R","FL","R000609","Committee on Appropriations","member","majority",30
"W000799","Tim Walz","D","MN","W000799","Committee on Armed Services","member","minority",
"S000510","Adam Smith","D","WA","S000510","Committee on Armed Services","member","minority",1
"T000238","William M. Thornberry","R","TX","T000238","Committee on Armed Services","member","majority",1
"B001227","Robert A. Brady","D","PA","B001227","Committee on Armed Services","member","minority",2
"J000255","Walter B. Jones","R","NC","J000255","Committee on Armed Services","member","majority",2
"W000795","Joe Wilson","R","SC","W000795","Committee on Armed Services","member","majority",3
"D000598","Susan A. Davis","D","CA","D000598","Committee on Armed Services","member","minority",3
"L000559","Jim Langevin","D","RI","L000559","Committee on Armed Services","member","minority",4
"L000554","Frank A. LoBiondo","R","NJ","L000554","Committee on Armed Services","member","majority",4
"B001250","Rob Bishop","R","UT","B001250","Committee on Armed Services","member","majority",5
"L000560","Rick Larsen","D","WA","L000560","Committee on Armed Services","member","minority",5
"T000463","Michael R. Turner","R","OH","T000463","Committee on Armed Services","member","majority",6
"C000754","Jim Cooper","D","TN","C000754","Committee on Armed Services","member","minority",6
"B001245","Madeleine Z. Bordallo","D","GU","B001245","Committee on Armed Services","member","minority",7
"R000575","Mike D. Rogers","R","AL","R000575","Committee on Armed Services","member","majority",7
