"id","name","partyShort","stateAbbreviation","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"F000455","Marcia L. Fudge","D","OH","F000455","Elections","Chair","majority",1
"D000619","Rodney Davis","R","IL","D000619","Elections","Ranking Member","minority",1
"B001251","G. K. Butterfield","D","NC","B001251","Elections","member","majority",2
"A000371","Pete Aguilar","D","CA","A000371","Elections","member","majority",3
"F000455","Marcia L. Fudge","D","OH","F000455","Elections","Chair","majority",1
"D000619","Rodney Davis","R","IL","D000619","Elections","Ranking Member","minority",1
"B001251","G. K. Butterfield","D","NC","B001251","Elections","member","majority",2
"A000371","Pete Aguilar","D","CA","A000371","Elections","member","majority",3
"F000455","Marcia L. Fudge","D","OH","F000455","Nutrition, Oversight, and Department Operations","Chair","majority",1
"J000301","Dusty Johnson","R","SD","J000301","Nutrition, Oversight, and Department Operations","Ranking Member","minority",1
"M000312","Jim McGovern","D","MA","M000312","Nutrition, Oversight, and Department Operations","member","majority",2
"D000616","Scott DesJarlais","R","TN","D000616","Nutrition, Oversight, and Department Operations","member","minority",2
"A000370","Alma Adams","D","NC","A000370","Nutrition, Oversight, and Department Operations","member","majority",3
"D000619","Rodney Davis","R","IL","D000619","Nutrition, Oversight, and Department Operations","member","minority",3
"H001081","Jahana Hayes","D","CT","H001081","Nutrition, Oversight, and Department Operations","member","majority",4
"Y000065","Ted Yoho","R","FL","Y000065","Nutrition, Oversight, and Department Operations","member","minority",4
"S001216","Kim Schrier","D","WA","S001216","Nutrition, Oversight, and Department Operations","member","majority",5
"B001298","Don Bacon","R","NE","B001298","Nutrition, Oversight, and Department Operations","member","minority",5
"H001088","Jim Hagedorn","R","MN","H001088","Nutrition, Oversight, and Department Operations","member","minority",6
"L000586","Al Lawson","D","FL","L000586","Nutrition, Oversight, and Department Operations","member","majority",7
"P000613","Jimmy Panetta","D","CA","P000613","Nutrition, Oversight, and Department Operations","member","majority",8
"V000132","Filemon Vela","D","TX","V000132","General Farm Commodities and Risk Management","Chair","majority",1
"T000467","Glenn Thompson","R","PA","T000467","General Farm Commodities and Risk Management","Ranking Member","minority",1
"C001119","Angie Craig","D","MN","C001119","General Farm Commodities and Risk Management","member","majority",2
"S001189","Austin Scott","R","GA","S001189","General Farm Commodities and Risk Management","member","minority",2
"S001157","David Scott","D","GA","S001157","General Farm Commodities and Risk Management","member","majority",3
"C001087","Rick Crawford","R","AR","C001087","General Farm Commodities and Risk Management","member","minority",3
"L000586","Al Lawson","D","FL","L000586","General Farm Commodities and Risk Management","member","majority",4
"A000372","Rick Allen","R","GA","A000372","General Farm Commodities and Risk Management","member","minority",4
"A000374","Ralph Abraham","R","LA","A000374","General Farm Commodities and Risk Management","member","minority",5
"C001112","Salud Carbajal","D","CA","C001112","General Farm Commodities and Risk Management","member","majority",6
"S001209","Abigail Spanberger","D","VA","S001209","Conservation and Forestry","Chair","majority",1
"L000578","Doug LaMalfa","R","CA","L000578","Conservation and Forestry","Ranking Member","minority",1
"F000455","Marcia L. Fudge","D","OH","F000455","Conservation and Forestry","member","majority",2
"A000372","Rick Allen","R","GA","A000372","Conservation and Forestry","member","minority",2
