"id","title","firstName","lastName","name","partyShort","stateAbbreviation","leadershipRole"
"A000055","Representative","Robert","Aderholt","Robert Aderholt","R","AL",""
"A000367","Representative","Justin","Amash","Justin Amash","I","MI",""
"A000367","Representative","Justin","Amash","Justin Amash","R","MI",""
"A000369","Representative","Mark","Amodei","Mark Amodei","R","NV",""
"A000370","Representative","Alma","Adams","Alma Adams","D","NC",""
"A000371","Representative","Pete","Aguilar","Pete Aguilar","D","CA",""
"A000372","Representative","Rick","Allen","Rick Allen","R","GA",""
"A000374","Representative","Ralph","Abraham","Ralph Abraham","R","LA",""
"A000375","Representative","Jodey","Arrington","Jodey Arrington","R","TX",""
"A000376","Representative","Colin","Allred","Colin Allred","D","TX",""
"A000377","Representative","Kelly","Armstrong","Kelly Armstrong","R","ND",""
"A000378","Representative","Cynthia","Axne","Cynthia Axne","D","IA",""
"B000490","Representative","Sanford","Bishop","Sanford Bishop","D","GA",""
"B000574","Representative","Earl","Blumenauer","Earl Blumenauer","D","OR",""
"B000755","Representative","Kevin","Brady","Kevin Brady","R","TX",""
"B001248","Representative","Michael","Burgess","Michael Burgess","R","TX",""
"B001250","Representative","Rob","Bishop","Rob Bishop","R","UT",""
"B001251","Representative","G.","Butterfield","G. Butterfield","D","NC",""
"B001257","Representative","Gus","Bilirakis","Gus Bilirakis","R","FL",""
"B001260","Representative","Vern","Buchanan","Vern Buchanan","R","FL",""
"B001270","Representative","Karen","Bass","Karen Bass","D","CA",""
"B001274","Representative","Mo","Brooks","Mo Brooks","R","AL",""
"B001275","Representative","Larry","Bucshon","Larry Bucshon","R","IN",""
"B001278","Representative","Suzanne","Bonamici","Suzanne Bonamici","D","OR",""
"B001281","Representative","Joyce","Beatty","Joyce Beatty","D","OH",""
"B001282","Representative","Andy","Barr","Andy Barr","R","KY",""
"B001284","Representative","Susan","Brooks","Susan Brooks","R","IN",""
"B001285","Representative","Julia","Brownley","Julia Brownley","D","CA",""
"B001286","Representative","Cheri","Bustos","Cheri Bustos","D","IL",""
"B001287","Representative","Ami","Bera","Ami Bera","D","CA",""
"B001289","Representative","Bradley","Byrne","Bradley Byrne","R","AL",""
"B001291","Representative","Brian","Babin","Brian Babin","R","TX",""
"B001292","Representative","Donald","Beyer","Donald Beyer","D","VA",""
"B001295","Representative","Mike","Bost","Mike Bost","R","IL",""
"B001296","Representative","Brendan","Boyle","Brendan Boyle","D","PA",""
"B001297","Representative","Ken","Buck","Ken Buck","R","CO",""
"B001298","Representative","Don","Bacon","Don Bacon","R","NE",""
"B001299","Representative","Jim","Banks","Jim Banks","R","IN",""
"B001300","Representative","Nanette","Barragán","Nanette Barragán","D","CA",""
"B001301","Representative","Jack","Bergman","Jack Bergman","R","MI",""
"B001302","Representative","Andy","Biggs","Andy Biggs","R","AZ",""
"B001303","Representative","Lisa","Blunt Rochester","Lisa Blunt Rochester","D","DE",""
"B001304","Representative","Anthony","Brown","Anthony Brown","D","MD",""
"B001305","Representative","Ted","Budd","Ted Budd","R","NC",""
"B001306","Representative","Troy","Balderson","Troy Balderson","R","OH",""
"B001307","Representative","James","Baird","James Baird","R","IN",""
"B001308","Representative","Anthony","Brindisi","Anthony Brindisi","D","NY",""
"B001309","Representative","Tim","Burchett","Tim Burchett","R","TN",""
"B001311","Representative","Dan","Bishop","Dan Bishop","R","NC",""
"C000059","Representative","Ken","Calvert","Ken Calvert","R","CA",""
"C000266","Representative","Steven","Chabot","Steven Chabot","R","OH",""
"C000537","Representative","James","Clyburn","James Clyburn","D","SC","House Majority Whip"
"C000754","Representative","Jim","Cooper","Jim Cooper","D","TN",""
"C000984","Representative","Elijah","Cummings","Elijah Cummings","D","MD",""
"C001049","Representative","William","Clay","William Clay","D","MO",""
"C001051","Representative","John","Carter","John Carter","R","TX",""
"C001053","Representative","Tom","Cole","Tom Cole","R","OK",""
"C001055","Representative","Ed","Case","Ed Case","D","HI",""
"C001059","Representative","Jim","Costa","Jim Costa","D","CA",""
"C001061","Representative","Emanuel","Cleaver","Emanuel Cleaver","D","MO",""
"C001062","Representative","K.","Conaway","K. Conaway","R","TX",""
"C001063","Representative","Henry","Cuellar","Henry Cuellar","D","TX",""
"C001066","Representative","Kathy","Castor","Kathy Castor","D","FL",""
"C001067","Representative","Yvette","Clarke","Yvette Clarke","D","NY",""
"C001068","Representative","Steve","Cohen","Steve Cohen","D","TN",""
"C001069","Representative","Joe","Courtney","Joe Courtney","D","CT",""
"C001072","Representative","André","Carson","André Carson","D","IN",""
"C001078","Representative","Gerald","Connolly","Gerald Connolly","D","VA",""
"C001080","Representative","Judy","Chu","Judy Chu","D","CA",""
