bourse_en,bourse_vi,created,data_index_id,foreign_ownership,fund_id,id,market_value,modified,per_nav,sector_en,sector_vi,shares,stock
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6880,0.00,2022-12-16 08:03:32,5.60,Banks,Ngân Hàng,0,VCB
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6881,0.00,2022-12-16 08:03:32,5.20,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6882,0.00,2022-12-16 08:03:32,4.70,Retailing,Bán Lẻ,0,MWG
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6883,0.00,2022-12-16 08:03:32,4.40,Banks,Ngân Hàng,0,BID
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6884,0.00,2022-12-16 08:03:32,3.80,Utilities,Tiện Ích Công Cộng,0,GAS
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6885,0.00,2022-12-16 08:03:32,3.50,Banks,Ngân Hàng,0,CTG
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6886,0.00,2022-12-16 08:03:32,3.20,Banks,Ngân Hàng,0,STB
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6887,0.00,2022-12-16 08:03:32,2.90,Real Estate,Bất Động Sản,0,VHM
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6888,0.00,2022-12-16 08:03:32,2.80,Banks,Ngân Hàng,0,MBB
HOSE,Ho Chi Minh,2022-11-30 00:00:00,5637,0.00,2,6889,0.00,2022-12-16 08:03:32,2.70,Retailing,Bán Lẻ,0,PNJ
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6653,0.00,2022-11-10 08:10:39,8.10,Retailing,Bán Lẻ,0,MWG
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6654,0.00,2022-11-10 08:10:39,5.10,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6655,0.00,2022-11-10 08:10:39,4.80,Banks,Ngân Hàng,0,VCB
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6656,0.00,2022-11-10 08:10:39,4.20,Utilities,Tiện Ích Công Cộng,0,GAS
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6657,0.00,2022-11-10 08:10:39,3.80,Banks,Ngân Hàng,0,BID
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6658,0.00,2022-11-10 08:10:39,3.80,Food Beverage & Tobacco,"Thực Phẩm, Nước Giải Khát & Thuốc Lá",0,VNM
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6659,0.00,2022-11-10 08:10:39,2.90,Retailing,Bán Lẻ,0,FRT
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6660,0.00,2022-11-10 08:10:39,2.80,Banks,Ngân Hàng,0,CTG
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6661,0.00,2022-11-10 08:10:39,2.60,Materials,Vật Liệu,0,DPM
HOSE,Ho Chi Minh,2022-10-31 00:00:00,5446,0.00,2,6662,0.00,2022-11-10 08:10:39,2.50,Food Beverage & Tobacco,"Thực Phẩm, Nước Giải Khát & Thuốc Lá",0,SAB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6554,0.00,2022-10-13 06:46:07,10.40,Retailing,Bán Lẻ,0,MWG
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6555,0.00,2022-10-13 06:46:07,5.00,Banks,Ngân Hàng,0,MBB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6556,0.00,2022-10-13 06:46:07,4.70,Banks,Ngân Hàng,0,VPB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6557,0.00,2022-10-13 06:46:07,4.20,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6558,0.00,2022-10-13 06:46:07,4.20,Banks,Ngân Hàng,0,VCB
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6559,0.00,2022-10-13 06:46:07,3.90,Utilities,Tiện Ích Công Cộng,0,GAS
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6560,0.00,2022-10-13 06:46:07,3.40,Banks,Ngân Hàng,0,BID
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6561,0.00,2022-10-13 06:46:07,3.20,Materials,Vật Liệu,0,HPG
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6562,0.00,2022-10-13 06:46:07,2.90,Retailing,Bán Lẻ,0,PNJ
HOSE,Ho Chi Minh,2022-09-30 00:00:00,5330,0.00,2,6563,0.00,2022-10-13 06:46:07,2.90,Energy,Năng Lượng,0,PVT
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6464,0.00,2022-09-12 08:25:58,9.50,Retailing,Bán Lẻ,0,MWG
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6465,0.00,2022-09-12 08:25:58,9.40,Banks,Ngân Hàng,0,MBB
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6466,0.00,2022-09-12 08:25:58,5.00,Banks,Ngân Hàng,0,VPB
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6467,0.00,2022-09-12 08:25:58,4.90,Banks,Ngân Hàng,0,BID
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6468,0.00,2022-09-12 08:25:58,4.50,Retailing,Bán Lẻ,0,PNJ
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6469,0.00,2022-09-12 08:25:58,4.50,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6470,0.00,2022-09-12 08:25:58,4.30,Banks,Ngân Hàng,0,VCB
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6471,0.00,2022-09-12 08:25:58,4.10,Capital Goods,Hàng Hóa Công Nghiệp,0,HDG
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6472,0.00,2022-09-12 08:25:58,3.80,Capital Goods,Hàng Hóa Công Nghiệp,0,VGC
HOSE,HOSE,2022-08-31 00:00:00,5195,0.00,2,6473,0.00,2022-09-12 08:25:58,3.50,Banks,Ngân Hàng,0,STB
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6424,0.00,2022-08-11 02:37:06,9.70,Banks,Ngân Hàng,0,MBB
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6425,0.00,2022-08-11 02:37:06,6.50,Retailing,Bán Lẻ,0,MWG
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6426,0.00,2022-08-11 02:37:06,6.40,Retailing,Bán Lẻ,0,PNJ
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6427,0.00,2022-08-11 02:37:06,5.10,Banks,Ngân Hàng,0,STB
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6428,0.00,2022-08-11 02:37:06,4.90,Banks,Ngân Hàng,0,BID
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6429,0.00,2022-08-11 02:37:06,4.70,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6430,0.00,2022-08-11 02:37:06,4.60,Banks,Ngân Hàng,0,TCB
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6431,0.00,2022-08-11 02:37:06,4.30,Banks,Ngân Hàng,0,VPB
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6432,0.00,2022-08-11 02:37:06,4.20,Capital Goods,Hàng Hóa Công Nghiệp,0,HDG
HOSE,HOSE,2022-07-31 00:00:00,5106,0.00,2,6433,0.00,2022-08-11 02:37:06,4.00,Materials,Vật Liệu,0,HPG
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6284,0.00,2022-07-11 03:12:05,9.30,Software & Services,Phần Mềm & Dịch Vụ Phần Mềm,0,FPT
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6285,0.00,2022-07-11 03:12:05,8.70,Banks,Ngân Hàng,0,MBB
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6286,0.00,2022-07-11 03:12:05,7.70,Retailing,Bán Lẻ,0,MWG
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6287,0.00,2022-07-11 03:12:05,6.90,Retailing,Bán Lẻ,0,PNJ
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6288,0.00,2022-07-11 03:12:05,4.70,Banks,Ngân Hàng,0,VPB
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6289,0.00,2022-07-11 03:12:05,4.60,Capital Goods,Hàng Hóa Công Nghiệp,0,HDG
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6290,0.00,2022-07-11 03:12:05,3.40,"Food, Beverage & Tobacco","Thực Phẩm, NGK & Thuốc Lá",0,VHC
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6291,0.00,2022-07-11 03:12:05,3.10,Utilities,Tiện ích Công Cộng,0,GAS
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6292,0.00,2022-07-11 03:12:05,3.10,Banks,Ngân Hàng,0,STB
HOSE,HOSE,2022-06-30 00:00:00,4998,0.00,2,6293,0.00,2022-07-11 03:12:05,2.80,Capital Goods,Hàng Hóa Công Nghiệp,0,VGC
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6174,0.00,2022-06-09 06:52:12,10.90,Retailing,Bán Lẻ,0,MWG
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6175,0.00,2022-06-09 06:52:12,9.50,Banks,Ngân Hàng,0,MBB
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6176,0.00,2022-06-09 06:52:12,4.70,Retailing,Bán Lẻ,0,PNJ
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6177,0.00,2022-06-09 06:52:12,4.40,Materials,Vật Liệu,0,HPG
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6178,0.00,2022-06-09 06:52:12,4.40,Capital Goods,Hàng Hóa Công Nghiệp,0,HDG
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6179,0.00,2022-06-09 06:52:12,4.40,"Food, Beverage & Tobacco","Thực Phẩm, NGK & Thuốc Lá",0,VHC
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6180,0.00,2022-06-09 06:52:12,4.20,Banks,Ngân Hàng,0,VPB
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6181,0.00,2022-06-09 06:52:12,4.20,Banks,Ngân Hàng,0,STB
HOSE,HOSE,2022-05-31 00:00:00,4888,0.00,2,6182,0.00,2022-06-09 06:52:12,3.30,Banks,Ngân hàng,0,TPB
