position,abbreviation,country,name,number,role
Central Forward,CF,Argentina,Messi,10,10
Goalkeeper,GK,Brazil,Alisson,1,1
Right Back,RB,Brazil,Dani Alves,2,2
Left Back,LB,Brazil,Marcelo,12,3
Striker,ST,Brazil,Ronaldo,9,9
Attacking Midfielder,AM,Brazil,Kaká,22,10
Left Winger,LW,Brazil,Ronaldinho,10,11
Left Winger,LW,Brazil,Neymar,11,11
Right Winger,RW,Egypt,Mo Salah,11,7
Left Back,LB,England,Ashley Cole,3,3
Centre Back,CB,England,Rio Ferdinand,5,4
Centre Back,CB,England,John Terry,26,5
Central Midfielder,CM,England,Steven Gerrard,8,8
Defensive Midfielder,DM,Spain,Sergio Busquets,5,6
Striker,ST,France,Karim Benzema,9,9
Attacking Midfielder,AM,France,Zinedine Zidane,5,10
Left Winger,LW,France,Thierry Henry,14,11
Goalkeeper,GK,Germany,Manuel Neuer,1,1
Right Back,RB,Germany,Philipp Lahm,21,2
Left Back,LB,Italy,Paolo Maldini,3,3
Centre Back,CB,Italy,Fabio Cannavaro,5,4
Centre Back,CB,Italy,Alessandro Nesta,13,4
Centre Back,CB,Italy,Franco Baresi,6,5
Right Winger,RW,Netherlands,Arjen Robben,10,7
Striker,ST,Poland,Robert Lewandowski,9,9
Left Winger,LW,Portugal,Cristiano Ronaldo,7,11
Defensive Midfielder,DM,Spain,Xabi Alonso,14,6
Central Midfielder,CM,Spain,Xavi,6,8
Attacking Midfielder,AM,Spain,Andrés Iniesta,8,10
Striker,ST,Uruguay,Luis Suárez,9,9
