number,start_year,start_month,start_date,end_year,end_month,end_date
1,1789,03,04,1791,03,03
2,1791,03,04,1793,03,03
3,1793,03,04,1795,03,03
4,1795,03,04,1797,03,03
5,1797,03,04,1799,03,03
6,1799,03,04,1801,03,03
7,1801,03,04,1803,03,03
8,1803,03,04,1805,03,03
9,1805,03,04,1807,03,03
10,1807,03,04,1809,03,03
11,1809,03,04,1811,03,03
12,1811,03,04,1813,03,03
13,1813,03,04,1815,03,03
14,1815,03,04,1817,03,03
15,1817,03,04,1819,03,03
16,1819,03,04,1821,03,03
17,1821,03,04,1823,03,03
18,1823,03,04,1825,03,03
19,1825,03,04,1827,03,03
20,1827,03,04,1829,03,03
21,1829,03,04,1831,03,03
22,1831,03,04,1833,03,03
23,1833,03,04,1835,03,03
24,1835,03,04,1837,03,03
25,1837,03,04,1839,03,03
26,1839,03,04,1841,03,03
27,1841,03,04,1843,03,03
28,1843,03,04,1845,03,03
29,1845,03,04,1847,03,03
30,1847,03,04,1849,03,03
31,1849,03,04,1851,03,03
32,1851,03,04,1853,03,03
33,1853,03,04,1855,03,03
34,1855,03,04,1857,03,03
35,1857,03,04,1859,03,03
36,1859,03,04,1861,03,03
37,1861,03,04,1863,03,03
38,1863,03,04,1865,03,03
39,1865,03,04,1867,03,03
40,1867,03,04,1869,03,03
41,1869,03,04,1871,03,03
42,1871,03,04,1873,03,03
43,1873,03,04,1875,03,03
44,1875,03,04,1877,03,03
45,1877,03,04,1879,03,03
46,1879,03,04,1881,03,03
47,1881,03,04,1883,03,03
48,1883,03,04,1885,03,03
49,1885,03,04,1887,03,03
50,1887,03,04,1889,03,03
51,1889,03,04,1891,03,03
52,1891,03,04,1893,03,03
53,1893,03,04,1895,03,03
54,1895,03,04,1897,03,03
55,1897,03,04,1899,03,03
56,1899,03,04,1901,03,03
57,1901,03,04,1903,03,03
58,1903,03,04,1905,03,03
59,1905,03,04,1907,03,03
60,1907,03,04,1909,03,03
61,1909,03,04,1911,03,03
62,1911,03,04,1913,03,03
63,1913,03,04,1915,03,03
64,1915,03,04,1917,03,03
65,1917,03,04,1919,03,03
66,1919,03,04,1921,03,03
67,1921,03,04,1923,03,03
68,1923,03,04,1925,03,03
69,1925,03,04,1927,03,03
70,1927,03,04,1929,03,03
71,1929,03,04,1931,03,03
72,1931,03,04,1933,03,03
73,1933,03,04,1935,01,03
74,1935,01,03,1937,01,03
75,1937,01,03,1939,01,03
76,1939,01,03,1941,01,03
77,1941,01,03,1943,01,03
78,1943,01,03,1945,01,03
79,1945,01,03,1947,01,03
80,1947,01,03,1949,01,03
81,1949,01,03,1951,01,03
82,1951,01,03,1953,01,03
83,1953,01,03,1955,01,03
84,1955,01,03,1957,01,03
85,1957,01,03,1959,01,03
86,1959,01,03,1961,01,03
87,1961,01,03,1963,01,03
88,1963,01,03,1965,01,03
89,1965,01,03,1967,01,03
90,1967,01,03,1969,01,03
91,1969,01,03,1971,01,03
92,1971,01,03,1973,01,03
93,1973,01,03,1975,01,03
94,1975,01,03,1977,01,03
95,1977,01,03,1979,01,03
96,1979,01,03,1981,01,03
97,1981,01,03,1983,01,03
98,1983,01,03,1985,01,03
99,1985,01,03,1987,01,03
100,1987,01,03,1989,01,03
101,1989,01,03,1991,01,03
102,1991,01,03,1993,01,03
103,1993,01,03,1995,01,03
104,1995,01,03,1997,01,03
105,1997,01,03,1999,01,03
106,1999,01,03,2001,01,03
107,2001,01,03,2003,01,03
108,2003,01,03,2005,01,03
109,2005,01,03,2007,01,03
110,2007,01,03,2009,01,03
111,2009,01,03,2011,01,03
112,2011,01,03,2013,01,03
113,2013,01,03,2015,01,03
114,2015,01,03,2017,01,03
115,2017,01,03,2019,01,03
116,2019,01,03,2021,01,03
117,2021,01,03,2023,01,03
118,2023,01,03,2025,01,03
