year,host,host_continent,champion,champion_winner,runner_up,third,fourth
1930,Uruguay,South America,Uruguay,South America,Argentina,United States,Yugoslavia
1934,Italy,Europe,Italy,Europe,Czechoslovakia,Germany,Austria
1938,France,Europe,Italy,Europe,Hungary,Brazil,Sweden
1942,,,,,,,
1946,,,,,,,
1950,Brazil,South America,Uruguay,South America,Brazil,Sweden,Spain
1954,Switzerland,Europe,West Germany,Europe,Hungary,Austria,Uruguay
1958,Sweden,Europe,Brazil,South America,Sweden,France,West Germany
1962,Chile,South America,Brazil,South America,Czechoslovakia,Chile,Yugoslavia
1966,England,Europe,England,Europe,West Germany,Portugal,Soviet Union
1970,Mexico,North America,Brazil,South America,Italy,West Germany,Uruguay
1974,West Germany,Europe,West Germany,Europe,Netherlands,Poland,Brazil
1978,Argentina,South America,Argentina,South America,Netherlands,Brazil,Italy
1982,Spain,Europe,Italy,Europe,West Germany,Poland,France
1986,Mexico,North America,Argentina,South America,West Germany,France,Belgium
1990,Italy,Europe,West Germany,Europe,Argentina,Italy,England
1994,United States,North America,Brazil,South America,Italy,Sweden,Bulgaria
1998,France,Europe,France,Europe,Brazil,Croatia,Netherlands
2002,Japan - South Korea,Asia,Brazil,South America,Germany,Turkey,South Korea
2006,Germany,Europe,Italy,Europe,France,Germany,Portugal
2010,South Africa,Africa,Spain,Europe,Netherlands,Germany,Uruguay
2014,Brazil,North America,Germany,Europe,Argentina,Netherlands,Brazil
2018,Russia,Europe,France,Europe,Croatia,Belgium,England
2022,Qatar,Asia,,,,,
2026,Canada - Mexico - United States,North America,,,,,
