name,postal,code,capital,largest
New South Wales,NSW,AU-NSW,Sydney,Sydney
Victoria,VIC,AU-VIC,Melbourne,Melbourne
Queensland,QLD,AU-QLD,Brisbane,Brisbane
Western Australia,WA,AU-WA,Perth,Perth
South Australia,SA,AU-SA,Adelaide,Adelaide
Tasmania,TAS,AU-TAS,Hobart,Hobart
Australian Capital Territory,ACT,AU-ACT,Canberra,Canberra
Northern Territory,NT,AU-NT,Darwin,Darwin
Jervis Bay Territory,JBT,AU-JBT,,Jervis Bay Village
Christmas Island,WA,CX,Flying Fish Cove,Flying Fish Cove
Norfolk Island,NSW,NF,Kingston,Kingston
Cocos (Keeling) Islands,WA,CC,West Island,West Island
Australian Antarctic Territory,TAS,AQ,,Davis Station
Coral Sea Islands,,,,Willis Island
Ashmore and Cartier Islands,,,,
Heard Island and McDonald Islands,TAS,HM,,Atlas Cove
