"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"B000575","Roy Blunt","MO","R","B000575","Labor, Health and Human Services, and Education, and Related Agencies","Ranking Member","minority","1"
"M001111","Patty Murray","WA","D","M001111","Labor, Health and Human Services, and Education, and Related Agencies","Chairman","majority","1"
"S000320","Richard C. Shelby","AL","R","S000320","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","2"
"D000563","Richard J. Durbin","IL","D","D000563","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","2"
"G000359","Lindsey Graham","SC","R","G000359","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","3"
"R000122","Jack Reed","RI","D","R000122","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","3"
"M000934","Jerry Moran","KS","R","M000934","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","4"
"S001181","Jeanne Shaheen","NH","D","S001181","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","4"
"C001047","Shelley Moore Capito","WV","R","C001047","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","5"
"M001176","Jeff Merkley","OR","D","M001176","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","5"
"K000393","John Kennedy","LA","R","K000393","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","6"
"S001194","Brian Schatz","HI","D","S001194","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","6"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","7"
"B001230","Tammy Baldwin","WI","D","B001230","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","7"
"B001310","Mike Braun","IN","R","B001310","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","8"
"M001169","Christopher S. Murphy","CT","D","M001169","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","8"
"R000595","Marco Rubio","FL","R","R000595","Labor, Health and Human Services, and Education, and Related Agencies","member","minority","9"
"M001183","Joe Manchin III","WV","D","M001183","Labor, Health and Human Services, and Education, and Related Agencies","member","majority","9"
"L000174","Patrick J. Leahy","VT","D","L000174","Labor, Health and Human Services, and Education, and Related Agencies","Ex Officio","majority","10"
"S001181","Jeanne Shaheen","NH","D","S001181","Commerce, Justice, Science, and Related Agencies Subcommittee","Chairman","majority","1"
"M000934","Jerry Moran","KS","R","M000934","Commerce, Justice, Science, and Related Agencies Subcommittee","Ranking Member","minority","1"
"L000174","Patrick J. Leahy","VT","D","L000174","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","2"
"M001153","Lisa Murkowski","AK","R","M001153","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","2"
"F000062","Dianne Feinstein","CA","D","F000062","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","3"
"C001035","Susan Collins","ME","R","C001035","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","3"
"R000122","Jack Reed","RI","D","R000122","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","4"
"G000359","Lindsey Graham","SC","R","G000359","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","4"
"C001088","Christopher A. Coons","DE","D","C001088","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","5"
"B001236","John Boozman","AR","R","B001236","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","5"
"S001194","Brian Schatz","HI","D","S001194","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","6"
"C001047","Shelley Moore Capito","WV","R","C001047","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","6"
"M001183","Joe Manchin III","WV","D","M001183","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","7"
"K000393","John Kennedy","LA","R","K000393","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","7"
"V000128","Chris Van Hollen","MD","D","V000128","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","8"
"H000601","Bill Hagerty","TN","R","H000601","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","8"
"M001176","Jeff Merkley","OR","D","M001176","Commerce, Justice, Science, and Related Agencies Subcommittee","member","majority","9"
"B001310","Mike Braun","IN","R","B001310","Commerce, Justice, Science, and Related Agencies Subcommittee","member","minority","9"
"S000320","Richard C. Shelby","AL","R","S000320","Commerce, Justice, Science, and Related Agencies Subcommittee","Ex Officio","minority","10"
"F000062","Dianne Feinstein","CA","D","F000062","Energy and Water Development Subcommittee","Chairman","majority","1"
"K000393","John Kennedy","LA","R","K000393","Energy and Water Development Subcommittee","Ranking Member","minority","1"
"M001111","Patty Murray","WA","D","M001111","Energy and Water Development Subcommittee","member","majority","2"
"M000355","Mitch McConnell","KY","R","M000355","Energy and Water Development Subcommittee","member","minority","2"
"T000464","Jon Tester","MT","D","T000464","Energy and Water Development Subcommittee","member","majority","3"
"S000320","Richard C. Shelby","AL","R","S000320","Energy and Water Development Subcommittee","member","minority","3"
"D000563","Richard J. Durbin","IL","D","D000563","Energy and Water Development Subcommittee","member","majority","4"
"C001035","Susan Collins","ME","R","C001035","Energy and Water Development Subcommittee","member","minority","4"
"S001181","Jeanne Shaheen","NH","D","S001181","Energy and Water Development Subcommittee","member","majority","5"
"M001153","Lisa Murkowski","AK","R","M001153","Energy and Water Development Subcommittee","member","minority","5"
"M001176","Jeff Merkley","OR","D","M001176","Energy and Water Development Subcommittee","member","majority","6"
"G000359","Lindsey Graham","SC","R","G000359","Energy and Water Development Subcommittee","member","minority","6"
"C001088","Christopher A. Coons","DE","D","C001088","Energy and Water Development Subcommittee","member","majority","7"
"H001061","John Hoeven","ND","R","H001061","Energy and Water Development Subcommittee","member","minority","7"
"B001230","Tammy Baldwin","WI","D","B001230","Energy and Water Development Subcommittee","member","majority","8"
"H001079","Cindy Hyde-Smith","MS","R","H001079","Energy and Water Development Subcommittee","member","minority","8"
"H001046","Martin Heinrich","NM","D","H001046","Energy and Water Development Subcommittee","member","majority","9"
"H000601","Bill Hagerty","TN","R","H000601","Energy and Water Development Subcommittee","member","minority","9"
"L000174","Patrick J. Leahy","VT","D","L000174","Energy and Water Development Subcommittee","Ex Officio","majority","10"
"C001088","Christopher A. Coons","DE","D","C001088","State, Foreign Operations, and Related Programs Subcommittee","Chairman","majority","1"
"G000359","Lindsey Graham","SC","R","G000359","State, Foreign Operations, and Related Programs Subcommittee","Ranking Member","minority","1"
"L000174","Patrick J. Leahy","VT","D","L000174","State, Foreign Operations, and Related Programs Subcommittee","Ranking Member","majority","2"
"M000355","Mitch McConnell","KY","R","M000355","State, Foreign Operations, and Related Programs Subcommittee","member","minority","2"
"D000563","Richard J. Durbin","IL","D","D000563","State, Foreign Operations, and Related Programs Subcommittee","member","majority","3"
"B000575","Roy Blunt","MO","R","B000575","State, Foreign Operations, and Related Programs Subcommittee","member","minority","3"
"S001181","Jeanne Shaheen","NH","D","S001181","State, Foreign Operations, and Related Programs Subcommittee","member","majority","4"
"B001236","John Boozman","AR","R","B001236","State, Foreign Operations, and Related Programs Subcommittee","member","minority","4"
"M001176","Jeff Merkley","OR","D","M001176","State, Foreign Operations, and Related Programs Subcommittee","member","majority","5"
"M000934","Jerry Moran","KS","R","M000934","State, Foreign Operations, and Related Programs Subcommittee","member","minority","5"
"M001169","Christopher S. Murphy","CT","D","M001169","State, Foreign Operations, and Related Programs Subcommittee","member","majority","6"
"R000595","Marco Rubio","FL","R","R000595","State, Foreign Operations, and Related Programs Subcommittee","member","minority","6"
"V000128","Chris Van Hollen","MD","D","V000128","State, Foreign Operations, and Related Programs Subcommittee","member","majority","7"
"H000601","Bill Hagerty","TN","R","H000601","State, Foreign Operations, and Related Programs Subcommittee","member","minority","7"
"S000320","Richard C. Shelby","AL","R","S000320","State, Foreign Operations, and Related Programs Subcommittee","Ex Officio","minority","8"
"M001169","Christopher S. Murphy","CT","D","M001169","Homeland Security Subcommittee","Chairman","majority","1"
"C001047","Shelley Moore Capito","WV","R","C001047","Homeland Security Subcommittee","Ranking Member","minority","1"
"T000464","Jon Tester","MT","D","T000464","Homeland Security Subcommittee","member","majority","2"
"S000320","Richard C. Shelby","AL","R","S000320","Homeland Security Subcommittee","member","minority","2"
"S001181","Jeanne Shaheen","NH","D","S001181","Homeland Security Subcommittee","member","majority","3"
"M001153","Lisa Murkowski","AK","R","M001153","Homeland Security Subcommittee","member","minority","3"
"L000174","Patrick J. Leahy","VT","D","L000174","Homeland Security Subcommittee","member","majority","4"
