api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,lis_id,middle_name,missed_votes,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,twitter_account,url,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000022.json,False,,,,1002061,1942-11-19,7,,,,,Gary,M,3607,/m/03rhdq,400003,15080,A000022,,False,Ackerman,2016-06-14 16:25:53 -0400,,,L.,,ocd-division/country:us/state:ny/cd:7,,D,,,,2,Rep.,NY,,,Representative,,,repgaryackerman,,,RepAckerman
https://api.propublica.org/congress/v1/members/A000052.json,False,,,,,1925-03-17,6,,,,,Joseph,M,3606,,400713,10500,A000052,,False,Addabbo,2013-04-12 20:11:53 -0400,,,Patrick,,ocd-division/country:us/state:ny/cd:6,,D,,,,24,Rep.,NY,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000069.json,False,,,,8704,1924-09-11,2,,,,,Daniel,M,1502,/m/01rbrq,300001,14400,A000069,,False,Akaka,2016-06-14 16:25:53 -0400,,,K.,,ocd-division/country:us/state:hi/cd:2,,D,,,,8,Rep.,HI,,,Representative,,,SenatorAkaka,,,senatorakaka
https://api.propublica.org/congress/v1/members/A000076.json,False,,,,,1925-12-05,10,,,,,Donald,M,2610,,400735,14600,A000076,,False,Albosta,2013-04-12 20:11:52 -0400,,,Joseph,,ocd-division/country:us/state:mi/cd:10,,D,,,,6,Rep.,MI,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000103.json,False,,,,,1934-01-16,1,,,,,William,M,0501,,400761,12000,A000103,,False,Alexander,2013-04-12 20:11:55 -0400,,,Vollie,,ocd-division/country:us/state:ar/cd:1,,D,,,,16,Rep.,AR,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000189.json,False,,,,,1913-02-21,32,,,,,Glenn,,0632,,400844,12001,A000189,,False,Anderson,2013-04-12 20:11:55 -0400,,,Malcolm,,ocd-division/country:us/state:ca/cd:32,,D,,,,16,Rep.,CA,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000209.json,False,,,,,1944-02-07,25,,,,,Michael,M,4825,,400882,15000,A000209,,False,Andrews,2013-04-12 20:11:57 -0400,,,,,ocd-division/country:us/state:tx/cd:25,,D,,,,2,Rep.,TX,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000207.json,False,,,,,1925-09-02,4,,,,,Ike,,3704,,400878,14001,A000207,,False,Andrews,2013-04-12 20:11:52 -0400,,,Franklin,,ocd-division/country:us/state:nc/cd:4,,D,,,,12,Rep.,NC,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000212.json,False,,,,,1915-01-12,11,,,,,Frank,M,1711,,400895,10703,A000212,,False,Annunzio,2013-04-12 20:11:55 -0400,,,,,ocd-division/country:us/state:il/cd:11,,D,,,,20,Rep.,IL,,,Representative,,,,,,
https://api.propublica.org/congress/v1/members/A000213.json,False,,,,,1938-02-21,4,,,,,Beryl,,0504,,400898,14601,A000213,,False,Anthony,2013-04-12 20:11:55 -0400,,,Franklin,,ocd-division/country:us/state:ar/cd:4,,D,,,,6,Rep.,AR,,,Representative,,,,,,
