ace_mode,aliases,codemirror_mime_type,codemirror_mode,color,extensions,filenames,fs_name,group,interpreters,language,language_id,searchable,tm_scope,type,wrap
"text","","","","#814CCC",".bsl,.os","","","","","1C Enterprise","","","source.bsl","programming",""
"text","","","","#38761D",".2da","","","","","2-Dimensional Array","387204628","","source.2da","data",""
"text","","","","#004289",".4dm","","","","","4D","577529595","","source.4dm","programming",""
"abap","","","","#E8274B",".abap","","","","","ABAP","1","","source.abap","programming",""
"text","","","","#555e25",".asddls","","","","","ABAP CDS","452681853","","source.abapcds","programming",""
"text","","","","",".abnf","","","","","ABNF","429","","source.abnf","data",""
"c_cpp","ags","text/x-c++src","clike","#B9D9FF",".asc,.ash","","","","","AGS Script","2","","source.c++","programming",""
"text","","","","#34EB6B",".aidl","","","","aidl","AIDL","451700185","","source.aidl","programming",""
"text","","","","#3AA2B5",".al","","","","","AL","658971832","","source.al","programming",""
"text","","","","#E6EFBB",".ampl,.mod","","","","","AMPL","3","","source.ampl","programming",""
"text","","","","#9DC3FF",".g4","","","","","ANTLR","4","","source.antlr","programming",""
"markdown","","","","#2ACCA8",".apib","","","","","API Blueprint","5","","text.html.markdown.source.gfm.apib","markup",""
"text","","text/apl","apl","#5A8164",".apl,.dyalog","","","","apl,aplx,dyalog","APL","6","","source.apl","programming",""
"text","","","","",".asl,.dsl","","","","","ASL","124996147","","source.asl","programming",""
"text","","text/x-ttcn-asn","asn.1","",".asn,.asn1","","","","","ASN.1","7","","source.asn","data",""
"text","aspx,aspx-vb","application/x-aspx","htmlembedded","#9400ff",".asax,.ascx,.ashx,.asmx,.aspx,.axd","","","","","ASP.NET","564186416","","text.html.asp","programming",""
"ocaml","ats2","","","#1ac620",".dats,.hats,.sats","","","","","ATS","9","","source.ats","programming",""
"actionscript","actionscript 3,actionscript3,as3","","","#882B0F",".as","","","","","ActionScript","10","","source.actionscript.3","programming",""
"ada","ada95,ada2005","","","#02f88c",".adb,.ada,.ads","","","","","Ada","11","","source.ada","programming",""
"text","ad block filters,ad block,adb,adblock","","","#800000",".txt","","","","","Adblock Filter List","884614762","","text.adblock","data",""
"text","acfm,adobe composite font metrics,adobe multiple font metrics,amfm","","","#fa0f00",".afm","","","","","Adobe Font Metrics","147198098","","source.afm","data",""
"text","","","","#315665",".agda","","","","","Agda","12","","source.agda","programming",""
