api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000014.json,False,,,,,1938-06-26,1,,,,,Neil,M,1501,/m/0255rj,400001,15244,A000014,,False,Abercrombie,2019-10-07 11:08:52 -0400,,,117,6.25,ocd-division/country:us/state:hi/cd:1,,D,,,20,Rep.,HI,,Representative,4,1873,neilabercrombie,,4.04,96.37,,hawaiirep1
https://api.propublica.org/congress/v1/members/A000022.json,False,,,,1002061,1942-11-19,5,,,,,Gary,M,3605,/m/03rhdq,400003,15080,A000022,,False,Ackerman,2019-10-07 11:08:52 -0400,,L.,95,5.07,ocd-division/country:us/state:ny/cd:5,,D,,,26,Rep.,NY,,Representative,0,1873,repgaryackerman,,1.03,99.49,,RepAckerman
https://api.propublica.org/congress/v1/members/A000055.json,False,,,N00003028,45516,1965-07-22,4,,RobertAderholt,,,Robert,M,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,2021-03-02 02:35:23 -0500,,B.,51,2.72,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,12,Rep.,AL,,Representative,4,1873,Robert_Aderholt,https://aderholt.house.gov,6.26,94.25,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000358.json,False,,,,87412,1947-07-05,2,,,,,Todd,M,2902,/m/025xzm,400005,20123,A000358,,False,Akin,2019-10-07 11:08:52 -0400,,,36,1.92,ocd-division/country:us/state:mo/cd:2,,R,,,8,Rep.,MO,,Representative,5,1873,reptoddakin,,6.83,93.73,,RepToddAkin
https://api.propublica.org/congress/v1/members/A000361.json,False,,,,1004256,1946-12-05,5,,RepRodneyAlexander,,,Rodney,M,2205,/m/025jxc,400006,90327,A000361,,False,Alexander,2019-10-07 11:08:52 -0400,,,103,5.5,ocd-division/country:us/state:la/cd:5,,R,,,6,Rep.,LA,,Representative,2,1873,USRepAlexander,,6.63,93.95,,RepRodneyMAlexander
https://api.propublica.org/congress/v1/members/A000357.json,False,,,,,1945-04-16,1,,,,,Thomas,M,2301,,400007,29728,A000357,,False,Allen,2019-10-07 11:08:52 -0400,,H.,54,2.88,ocd-division/country:us/state:me/cd:1,,D,,,12,Rep.,ME,,Representative,0,1873,,,1.56,98.99,,
https://api.propublica.org/congress/v1/members/A000362.json,False,,,,1022872,1968-03-07,4,,,,,Jason,M,4204,/m/0dzy2v,412231,20743,A000362,,False,Altmire,2019-10-07 11:08:52 -0400,,,0,0.0,ocd-division/country:us/state:pa/cd:4,,D,,,2,Rep.,PA,,Representative,0,1873,RepJasonAltmire,,12.2,88.34,,congressmanaltmire
https://api.propublica.org/congress/v1/members/A000210.json,False,,,,19670,1957-08-04,1,,,,,Robert,M,3401,,400008,29132,A000210,,False,Andrews,2019-10-07 11:08:52 -0400,,E.,225,12.01,ocd-division/country:us/state:nj/cd:1,,D,,,20,Rep.,NJ,,Representative,0,1873,RepAndrews,http://andrews.house.gov/,1.6,99.01,,
https://api.propublica.org/congress/v1/members/A000363.json,False,,,,1021495,1959-06-11,24,,,,,Michael,M,3624,,412224,20736,A000363,,False,Arcuri,2019-10-07 11:08:52 -0400,,,16,0.85,ocd-division/country:us/state:ny/cd:24,,D,,,2,Rep.,NY,,Representative,0,1873,,,2.3,98.25,,RepArcuri
https://api.propublica.org/congress/v1/members/B001234.json,False,,,,81682,1947-01-23,43,,,,,Joe,M,0643,/m/024xk0,400009,29942,B001234,,False,Baca,2019-10-07 11:08:52 -0400,,,58,3.1,ocd-division/country:us/state:ca/cd:43,,D,,,10,Rep.,CA,,Representative,0,1873,,,1.79,98.71,,
https://api.propublica.org/congress/v1/members/B001256.json,False,,,,1021492,1956-04-06,6,,RepMicheleBachmann,,,Michele,F,2706,/m/06jm4y,412216,20728,B001256,,False,Bachmann,2019-10-07 11:08:52 -0400,,,33,1.76,ocd-division/country:us/state:mn/cd:6,,R,,,2,Rep.,MN,,Representative,3,1873,MicheleBachmann,http://bachmann.house.gov,6.26,94.3,,RepMicheleBachmann
https://api.propublica.org/congress/v1/members/B000013.json,False,,,,26397,1947-12-28,6,,SpencerBachus,,,Spencer,M,0106,/m/024p0v,400010,29301,B000013,,False,Bachus,2019-10-07 11:08:52 -0400,,,137,7.31,ocd-division/country:us/state:al/cd:6,,R,,,16,Rep.,AL,,Representative,3,1873,BachusAL06,http://bachus.house.gov,5.69,94.85,,congressmanbachus
https://api.propublica.org/congress/v1/members/B001229.json,False,,,,45981,1956-03-07,3,,,,,Brian,M,5303,/m/02593n,400011,29938,B001229,,False,Baird,2019-10-07 11:08:52 -0400,,,103,5.5,ocd-division/country:us/state:wa/cd:3,,D,,,10,Rep.,WA,,Representative,1,1873,,,4.74,95.6,,
https://api.propublica.org/congress/v1/members/B000072.json,False,,,,,1948-05-22,6,,,,,Richard,M,2206,,400012,15400,B000072,,False,Baker,2019-10-07 11:08:52 -0400,,Hugh,59,4.86,ocd-division/country:us/state:la/cd:6,,R,,,22,Rep.,LA,,Representative,0,1214,,,7.6,93.11,,
https://api.propublica.org/congress/v1/members/B001230.json,False,,,N00004367,57884,1962-02-11,2,,senatortammybaldwin,,,Tammy,F,5502,/m/024v02,400013,29940,B001230,,False,Baldwin,2019-10-07 11:08:52 -0400,,,18,0.96,ocd-division/country:us/state:wi/cd:2,,D,,,10,Rep.,WI,,Representative,1,1873,SenatorBaldwin,https://www.baldwin.senate.gov,2.46,98.08,3470,witammybaldwin
https://api.propublica.org/congress/v1/members/B001239.json,False,,,,1003613,1961-02-14,3,,,,,J.,M,4503,,400016,20347,B001239,,False,Barrett,2019-10-07 11:08:52 -0400,,Gresham,39,2.08,ocd-division/country:us/state:sc/cd:3,,R,,,6,Rep.,SC,,Representative,10,1873,greshambarrett,,8.47,92.09,,Repgreshambarrett
